comp_go_id,component_id,go_id
2547989,5,GO:0006950
2547984,5,GO:0007155
2547980,5,GO:0007165
2547968,5,GO:0008150
2547990,5,GO:0016020
2547986,5,GO:0016192
2547993,5,GO:0016853
2547985,5,GO:0019838
2547998,5,GO:0019899
2547982,5,GO:0022607
2547972,5,GO:0030154
2548000,5,GO:0031994
2547970,5,GO:0032880
2547981,5,GO:0034330
2547992,5,GO:0040011
2547979,5,GO:0042802
2547974,5,GO:0043085
2547973,5,GO:0043167
2547995,5,GO:0043226
2547991,5,GO:0044403
2547988,5,GO:0048646
2547983,5,GO:0048856
2547971,5,GO:0048870
2547967,5,GO:0050840
2547996,5,GO:0051604
2548022,6,GO:0000902
2548002,6,GO:0001618
2548017,6,GO:0001968
2548020,6,GO:0002376
2548014,6,GO:0003013
2548029,6,GO:0003674
2548006,6,GO:0005178
2548019,6,GO:0005515
2548015,6,GO:0005575
2548021,6,GO:0005737
2548035,6,GO:0005768
2548041,6,GO:0005886
2548032,6,GO:0006950
2548039,6,GO:0007010
2548016,6,GO:0007017
2548026,6,GO:0007155
2548023,6,GO:0007165
2548031,6,GO:0008092
2548005,6,GO:0008150
2548007,6,GO:0008283
2548003,6,GO:0009790
2548033,6,GO:0016020
2548027,6,GO:0016192
2548040,6,GO:0019899
2548024,6,GO:0022607
2548010,6,GO:0030154
2548004,6,GO:0030198
2548009,6,GO:0032880
2548028,6,GO:0040007
2548034,6,GO:0042592
2548036,6,GO:0043065
2548013,6,GO:0043085
2548011,6,GO:0043167
2548038,6,GO:0043226
2548037,6,GO:0044403
2548012,6,GO:0046982
2548030,6,GO:0048646
2548025,6,GO:0048856
2548008,6,GO:0048870
2548001,6,GO:0050840
2548018,6,GO:0050877
2548068,7,GO:0000166
2548042,7,GO:0001618
2548074,7,GO:0003682
2548057,7,GO:0005515
2548052,7,GO:0005575
2548056,7,GO:0005634
2548078,7,GO:0005654
2548058,7,GO:0005737
2548054,7,GO:0005739
2548076,7,GO:0005815
2548048,7,GO:0005829
2548062,7,GO:0005856
2548070,7,GO:0006259
2548071,7,GO:0006950
2548079,7,GO:0007010
2548051,7,GO:0007017
2548065,7,GO:0007049
2548061,7,GO:0007165
2548044,7,GO:0008150
2548066,7,GO:0008219
2548046,7,GO:0008283
2548055,7,GO:0009636
2548072,7,GO:0016020
2548067,7,GO:0016301
2548043,7,GO:0016310
2548060,7,GO:0016740
2548049,7,GO:0030154
2548064,7,GO:0030554
2548045,7,GO:0032880
2548050,7,GO:0043167
2548077,7,GO:0043226
2548073,7,GO:0044403
2548063,7,GO:0048856
2548047,7,GO:0048870
2548059,7,GO:0051276
2548069,7,GO:0051301
2548053,7,GO:0061024
2548075,7,GO:0065003
2548080,8,GO:0001618
2548089,8,GO:0001968
2548097,8,GO:0003674
2548104,8,GO:0005102
2548083,8,GO:0005178
2548090,8,GO:0005515
2548088,8,GO:0005575
2548085,8,GO:0005829
2548107,8,GO:0005886
2548094,8,GO:0007155
2548091,8,GO:0007165
2548082,8,GO:0008150
2548102,8,GO:0009058
2548099,8,GO:0016020
2548096,8,GO:0016192
2548095,8,GO:0019838
2548106,8,GO:0019899
2548103,8,GO:0022857
2548086,8,GO:0030154
2548108,8,GO:0031994
2548101,8,GO:0040011
2548087,8,GO:0043167
2548105,8,GO:0043226
2548100,8,GO:0044403
2548098,8,GO:0048646
2548093,8,GO:0048856
2548084,8,GO:0048870
2548081,8,GO:0050840
2548092,8,GO:0055085
2548111,9,GO:0003674
2548110,9,GO:0005515
2548114,9,GO:0005575
2548109,9,GO:0005886
2548118,9,GO:0006810
2548116,9,GO:0007165
2548119,9,GO:0007267
2548112,9,GO:0008150
2548115,9,GO:0016020
2548113,9,GO:0022857
2548117,9,GO:0055085
2548127,10,GO:0004930
2548124,10,GO:0005575
2548120,10,GO:0005886
2548128,10,GO:0006810
2548126,10,GO:0007165
2548129,10,GO:0007267
2548122,10,GO:0008150
2548125,10,GO:0016020
2548123,10,GO:0032880
2548121,10,GO:0050877
2548142,11,GO:0003013
2548134,11,GO:0003674
2548140,11,GO:0004930
2548136,11,GO:0005102
2548133,11,GO:0005515
2548137,11,GO:0005575
2548131,11,GO:0005783
2548130,11,GO:0005886
2548143,11,GO:0006810
2548139,11,GO:0007165
2548144,11,GO:0007267
2548132,11,GO:0008150
2548138,11,GO:0016020
2548135,11,GO:0032880
2548141,11,GO:0043167
2548152,12,GO:0004930
2548147,12,GO:0005085
2548146,12,GO:0005515
2548149,12,GO:0005575
2548153,12,GO:0005886
2548151,12,GO:0007165
2548154,12,GO:0007267
2548148,12,GO:0008150
2548150,12,GO:0016020
2548145,12,GO:0050877
2548161,13,GO:0004930
2548158,13,GO:0005575
2548155,13,GO:0005886
2548162,13,GO:0006810
2548160,13,GO:0007165
2548163,13,GO:0007267
2548157,13,GO:0008150
2548159,13,GO:0016020
2548156,13,GO:0050877
2548167,14,GO:0002376
2548168,14,GO:0003674
2548170,14,GO:0005515
2548171,14,GO:0005575
2548164,14,GO:0005886
2548172,14,GO:0006259
2548179,14,GO:0006810
2548173,14,GO:0006950
2548175,14,GO:0007165
2548180,14,GO:0007267
2548177,14,GO:0007585
2548166,14,GO:0008150
2548174,14,GO:0016020
2548169,14,GO:0022857
2548176,14,GO:0043167
2548165,14,GO:0050877
2548178,14,GO:0055085
2548186,15,GO:0004930
2548181,15,GO:0005515
2548183,15,GO:0005575
2548187,15,GO:0005886
2548185,15,GO:0007165
2548188,15,GO:0007267
2548182,15,GO:0008150
2548184,15,GO:0016020
2548192,16,GO:0003674
2548191,16,GO:0005515
2548195,16,GO:0005575
2548189,16,GO:0005886
2548200,16,GO:0006810
2548197,16,GO:0007165
2548201,16,GO:0007267
2548194,16,GO:0008150
2548196,16,GO:0016020
2548193,16,GO:0022857
2548198,16,GO:0043167
2548202,16,GO:0048856
2548190,16,GO:0050877
2548199,16,GO:0055085
2548203,16,GO:0061024
2548218,17,GO:0000166
2548210,17,GO:0005515
2548208,17,GO:0005575
2548209,17,GO:0005634
2548222,17,GO:0005654
2548214,17,GO:0005730
2548211,17,GO:0005737
2548206,17,GO:0005829
2548216,17,GO:0007049
2548213,17,GO:0007165
2548205,17,GO:0008150
2548221,17,GO:0016020
2548217,17,GO:0016301
2548204,17,GO:0016310
2548212,17,GO:0016740
2548219,17,GO:0030234
2548215,17,GO:0030554
2548207,17,GO:0043167
2548220,17,GO:0051301
2548225,18,GO:0003674
2548228,18,GO:0005575
2548232,18,GO:0005654
2548227,18,GO:0005737
2548223,18,GO:0005886
2548233,18,GO:0006810
2548230,18,GO:0007165
2548234,18,GO:0007267
2548224,18,GO:0008150
2548229,18,GO:0016020
2548226,18,GO:0022857
2548231,18,GO:0055085
2548238,19,GO:0002376
2548240,19,GO:0003674
2548242,19,GO:0005515
2548243,19,GO:0005575
2548235,19,GO:0005886
2548249,19,GO:0006810
2548244,19,GO:0006950
2548246,19,GO:0007165
2548250,19,GO:0007267
2548237,19,GO:0008150
2548239,19,GO:0008283
2548245,19,GO:0016020
2548241,19,GO:0022857
2548247,19,GO:0043167
2548251,19,GO:0048856
2548236,19,GO:0050877
2548248,19,GO:0055085
2548254,20,GO:0003674
2548256,20,GO:0005515
2548257,20,GO:0005575
2548252,20,GO:0005886
2548262,20,GO:0006810
2548259,20,GO:0007165
2548263,20,GO:0007267
2548253,20,GO:0008150
2548258,20,GO:0016020
2548255,20,GO:0022857
2548260,20,GO:0043167
2548261,20,GO:0055085
2548271,21,GO:0001968
2548273,21,GO:0002376
2548269,21,GO:0003013
2548278,21,GO:0003674
2548282,21,GO:0003823
2548264,21,GO:0005178
2548272,21,GO:0005515
2548270,21,GO:0005575
2548284,21,GO:0005886
2548281,21,GO:0006810
2548275,21,GO:0007155
2548274,21,GO:0007165
2548265,21,GO:0008150
2548279,21,GO:0016020
2548276,21,GO:0016192
2548267,21,GO:0030154
2548277,21,GO:0040007
2548280,21,GO:0043065
2548268,21,GO:0043167
2548283,21,GO:0043226
2548266,21,GO:0048870
2548292,22,GO:0005102
2548289,22,GO:0005515
2548301,22,GO:0005575
2548287,22,GO:0005634
2548298,22,GO:0005654
2548294,22,GO:0005737
2548295,22,GO:0005815
2548291,22,GO:0005829
2548302,22,GO:0005856
2548296,22,GO:0007010
2548297,22,GO:0007017
2548285,22,GO:0007049
2548290,22,GO:0008150
2548286,22,GO:0009790
2548299,22,GO:0016020
2548300,22,GO:0019899
2548288,22,GO:0030234
2548293,22,GO:0051301
2548306,23,GO:0003674
2548309,23,GO:0005575
2548303,23,GO:0005886
2548315,23,GO:0006810
2548312,23,GO:0007165
2548316,23,GO:0007267
2548305,23,GO:0008150
2548311,23,GO:0016020
2548308,23,GO:0022607
2548307,23,GO:0022857
2548314,23,GO:0034330
2548310,23,GO:0043226
2548304,23,GO:0050877
2548313,23,GO:0055085
2548322,24,GO:0003674
2548328,24,GO:0004930
2548324,24,GO:0005102
2548325,24,GO:0005575
2548323,24,GO:0005635
2548317,24,GO:0005886
2548330,24,GO:0006810
2548327,24,GO:0007165
2548331,24,GO:0007267
2548320,24,GO:0008150
2548318,24,GO:0009636
2548326,24,GO:0016020
2548321,24,GO:0022857
2548332,24,GO:0048856
2548319,24,GO:0050877
2548329,24,GO:0055085
2548347,25,GO:0003013
2548344,25,GO:0004930
2548339,25,GO:0005575
2548333,25,GO:0005634
2548338,25,GO:0005737
2548348,25,GO:0005886
2548346,25,GO:0005975
2548340,25,GO:0006091
2548343,25,GO:0007165
2548349,25,GO:0007267
2548337,25,GO:0008150
2548336,25,GO:0009056
2548341,25,GO:0016020
2548334,25,GO:0040007
2548342,25,GO:0042592
2548345,25,GO:0046982
2548350,25,GO:0048856
2548335,25,GO:0050877
2548357,26,GO:0002376
2548354,26,GO:0003674
2548353,26,GO:0005515
2548358,26,GO:0005575
2548351,26,GO:0005886
2548364,26,GO:0006810
2548359,26,GO:0006950
2548361,26,GO:0007165
2548365,26,GO:0007267
2548356,26,GO:0008150
2548360,26,GO:0016020
2548355,26,GO:0022857
2548362,26,GO:0043167
2548366,26,GO:0048856
2548352,26,GO:0050877
2548363,26,GO:0055085
2548371,27,GO:0003674
2548372,27,GO:0005575
2548367,27,GO:0005886
2548376,27,GO:0006810
2548374,27,GO:0007165
2548377,27,GO:0007267
2548369,27,GO:0008150
2548373,27,GO:0016020
2548370,27,GO:0022857
2548368,27,GO:0050877
2548375,27,GO:0055085
2548381,28,GO:0003674
2548383,28,GO:0005515
2548385,28,GO:0005575
2548378,28,GO:0005886
2548391,28,GO:0006810
2548389,28,GO:0007165
2548392,28,GO:0007267
2548380,28,GO:0008150
2548387,28,GO:0016020
2548384,28,GO:0022607
2548382,28,GO:0022857
2548390,28,GO:0034330
2548386,28,GO:0043226
2548379,28,GO:0050877
2548388,28,GO:0055085
2548397,29,GO:0003674
2548400,29,GO:0005102
2548401,29,GO:0005575
2548406,29,GO:0005654
2548398,29,GO:0005829
2548393,29,GO:0005886
2548408,29,GO:0006810
2548402,29,GO:0006950
2548404,29,GO:0007165
2548409,29,GO:0007267
2548395,29,GO:0008150
2548403,29,GO:0016020
2548399,29,GO:0022607
2548396,29,GO:0022857
2548407,29,GO:0034330
2548410,29,GO:0048856
2548394,29,GO:0050877
2548405,29,GO:0055085
2548415,30,GO:0003674
2548413,30,GO:0005515
2548418,30,GO:0005575
2548411,30,GO:0005886
2548423,30,GO:0006810
2548420,30,GO:0007165
2548424,30,GO:0007267
2548416,30,GO:0008150
2548419,30,GO:0016020
2548417,30,GO:0022607
2548414,30,GO:0022857
2548422,30,GO:0034330
2548412,30,GO:0050877
2548421,30,GO:0055085
2548429,31,GO:0003674
2548431,31,GO:0005102
2548432,31,GO:0005575
2548425,31,GO:0005886
2548437,31,GO:0006810
2548434,31,GO:0007165
2548438,31,GO:0007267
2548427,31,GO:0008150
2548433,31,GO:0016020
2548430,31,GO:0022607
2548428,31,GO:0022857
2548436,31,GO:0034330
2548426,31,GO:0050877
2548435,31,GO:0055085
2548442,32,GO:0003674
2548445,32,GO:0005575
2548439,32,GO:0005886
2548451,32,GO:0006810
2548448,32,GO:0007165
2548452,32,GO:0007267
2548441,32,GO:0008150
2548447,32,GO:0016020
2548444,32,GO:0022607
2548443,32,GO:0022857
2548450,32,GO:0034330
2548446,32,GO:0043226
2548440,32,GO:0050877
2548449,32,GO:0055085
2548458,33,GO:0003013
2548457,33,GO:0004930
2548459,33,GO:0005886
2548456,33,GO:0007165
2548460,33,GO:0007267
2548453,33,GO:0008150
2548455,33,GO:0016020
2548454,33,GO:0042802
2548468,34,GO:0005515
2548466,34,GO:0005575
2548467,34,GO:0005634
2548480,34,GO:0005654
2548469,34,GO:0005737
2548479,34,GO:0005815
2548463,34,GO:0005829
2548478,34,GO:0006810
2548476,34,GO:0006950
2548472,34,GO:0007049
2548470,34,GO:0007165
2548461,34,GO:0008150
2548462,34,GO:0008283
2548477,34,GO:0016020
2548473,34,GO:0016301
2548481,34,GO:0019899
2548464,34,GO:0030154
2548474,34,GO:0030234
2548482,34,GO:0030674
2548465,34,GO:0043085
2548471,34,GO:0048856
2548475,34,GO:0051301
2548488,35,GO:0005515
2548500,35,GO:0005575
2548485,35,GO:0005634
2548498,35,GO:0005654
2548493,35,GO:0005737
2548496,35,GO:0005815
2548491,35,GO:0005829
2548494,35,GO:0006259
2548484,35,GO:0007049
2548497,35,GO:0007165
2548489,35,GO:0008150
2548486,35,GO:0016301
2548483,35,GO:0016310
2548499,35,GO:0019899
2548487,35,GO:0030234
2548490,35,GO:0032880
2548495,35,GO:0051276
2548492,35,GO:0051301
2548519,36,GO:0000166
2548510,36,GO:0005515
2548507,36,GO:0005575
2548509,36,GO:0005634
2548528,36,GO:0005635
2548530,36,GO:0005654
2548508,36,GO:0005694
2548511,36,GO:0005737
2548525,36,GO:0005768
2548529,36,GO:0005815
2548503,36,GO:0005829
2548515,36,GO:0005856
2548522,36,GO:0006259
2548526,36,GO:0006810
2548523,36,GO:0006950
2548506,36,GO:0007017
2548517,36,GO:0007049
2548513,36,GO:0007165
2548502,36,GO:0008150
2548505,36,GO:0008152
2548527,36,GO:0009058
2548518,36,GO:0016301
2548501,36,GO:0016310
2548512,36,GO:0016740
2548524,36,GO:0019904
2548514,36,GO:0022607
2548516,36,GO:0030554
2548520,36,GO:0034641
2548504,36,GO:0043167
2548521,36,GO:0051301
2548555,37,GO:0000166
2548541,37,GO:0005515
2548537,37,GO:0005575
2548539,37,GO:0005634
2548564,37,GO:0005635
2548565,37,GO:0005654
2548544,37,GO:0005737
2548538,37,GO:0005739
2548561,37,GO:0005768
2548543,37,GO:0005794
2548533,37,GO:0005829
2548547,37,GO:0005856
2548567,37,GO:0005886
2548568,37,GO:0006914
2548559,37,GO:0006950
2548550,37,GO:0007049
2548546,37,GO:0007165
2548552,37,GO:0008134
2548532,37,GO:0008150
2548553,37,GO:0008219
2548563,37,GO:0009058
2548562,37,GO:0016020
2548551,37,GO:0016192
2548554,37,GO:0016301
2548531,37,GO:0016310
2548545,37,GO:0016740
2548566,37,GO:0019899
2548534,37,GO:0030154
2548549,37,GO:0030554
2548557,37,GO:0034641
2548560,37,GO:0042592
2548542,37,GO:0042802
2548536,37,GO:0043085
2548535,37,GO:0043167
2548558,37,GO:0048646
2548548,37,GO:0048856
2548540,37,GO:0050877
2548556,37,GO:0051219
2548573,38,GO:0003674
2548575,38,GO:0005575
2548569,38,GO:0005886
2548580,38,GO:0006810
2548577,38,GO:0007165
2548581,38,GO:0007267
2548571,38,GO:0008150
2548576,38,GO:0016020
2548574,38,GO:0022607
2548572,38,GO:0022857
2548579,38,GO:0034330
2548582,38,GO:0048856
2548570,38,GO:0050877
2548578,38,GO:0055085
2548586,39,GO:0003674
2548589,39,GO:0005575
2548597,39,GO:0005730
2548596,39,GO:0005856
2548583,39,GO:0005886
2548594,39,GO:0006810
2548591,39,GO:0007165
2548595,39,GO:0007267
2548585,39,GO:0008150
2548590,39,GO:0016020
2548588,39,GO:0022607
2548587,39,GO:0022857
2548593,39,GO:0034330
2548584,39,GO:0050877
2548592,39,GO:0055085
2548626,40,GO:0000166
2548612,40,GO:0002376
2548640,40,GO:0003677
2548610,40,GO:0005515
2548605,40,GO:0005575
2548632,40,GO:0005576
2548608,40,GO:0005634
2548638,40,GO:0005654
2548614,40,GO:0005737
2548606,40,GO:0005739
2548633,40,GO:0005768
2548613,40,GO:0005794
2548636,40,GO:0005815
2548601,40,GO:0005829
2548619,40,GO:0005856
2548607,40,GO:0005886
2548630,40,GO:0006950
2548622,40,GO:0007049
2548617,40,GO:0007165
2548618,40,GO:0007267
2548599,40,GO:0008150
2548624,40,GO:0008219
2548600,40,GO:0008283
2548634,40,GO:0016020
2548623,40,GO:0016192
2548625,40,GO:0016301
2548598,40,GO:0016310
2548616,40,GO:0016740
2548639,40,GO:0019899
2548602,40,GO:0030154
2548621,40,GO:0030554
2548628,40,GO:0034641
2548635,40,GO:0040011
2548631,40,GO:0042592
2548611,40,GO:0042802
2548604,40,GO:0043085
2548603,40,GO:0043167
2548637,40,GO:0043226
2548615,40,GO:0044281
2548629,40,GO:0048646
2548620,40,GO:0048856
2548609,40,GO:0050877
2548627,40,GO:0051219
2548644,41,GO:0003674
2548647,41,GO:0005575
2548641,41,GO:0005886
2548652,41,GO:0006810
2548649,41,GO:0007165
2548653,41,GO:0007267
2548643,41,GO:0008150
2548648,41,GO:0016020
2548646,41,GO:0022607
2548645,41,GO:0022857
2548651,41,GO:0034330
2548642,41,GO:0050877
2548650,41,GO:0055085
2548656,42,GO:0003674
2548655,42,GO:0005515
2548659,42,GO:0005575
2548654,42,GO:0005886
2548663,42,GO:0006810
2548661,42,GO:0007165
2548664,42,GO:0007267
2548657,42,GO:0008150
2548660,42,GO:0016020
2548658,42,GO:0022857
2548662,42,GO:0055085
2548669,43,GO:0003674
2548668,43,GO:0005515
2548673,43,GO:0005575
2548666,43,GO:0005783
2548672,43,GO:0005794
2548665,43,GO:0005886
2548680,43,GO:0006810
2548676,43,GO:0007165
2548681,43,GO:0007267
2548671,43,GO:0008150
2548675,43,GO:0016020
2548670,43,GO:0022857
2548678,43,GO:0043085
2548677,43,GO:0043167
2548674,43,GO:0043226
2548682,43,GO:0048856
2548679,43,GO:0055085
2548667,43,GO:0065003
2548700,44,GO:0001540
2548702,44,GO:0003674
2548712,44,GO:0005102
2548692,44,GO:0005515
2548685,44,GO:0005516
2548688,44,GO:0005575
2548706,44,GO:0005576
2548694,44,GO:0005737
2548683,44,GO:0005783
2548715,44,GO:0005886
2548689,44,GO:0006805
2548708,44,GO:0006810
2548703,44,GO:0006950
2548696,44,GO:0007165
2548698,44,GO:0007267
2548684,44,GO:0008150
2548709,44,GO:0009058
2548690,44,GO:0009636
2548705,44,GO:0016020
2548714,44,GO:0019899
2548687,44,GO:0021700
2548711,44,GO:0022857
2548701,44,GO:0034641
2548693,44,GO:0035254
2548704,44,GO:0042592
2548707,44,GO:0043065
2548686,44,GO:0043167
2548713,44,GO:0043226
2548695,44,GO:0046677
2548699,44,GO:0048856
2548691,44,GO:0050877
2548697,44,GO:0055085
2548710,44,GO:0065003
2548726,45,GO:0003013
2548723,45,GO:0004930
2548720,45,GO:0005575
2548716,45,GO:0005634
2548719,45,GO:0005737
2548727,45,GO:0005886
2548722,45,GO:0007165
2548728,45,GO:0007267
2548718,45,GO:0008150
2548721,45,GO:0016020
2548717,45,GO:0040007
2548724,45,GO:0046982
2548729,45,GO:0048856
2548725,45,GO:0055085
2548736,46,GO:0002376
2548733,46,GO:0003674
2548732,46,GO:0005515
2548737,46,GO:0005575
2548730,46,GO:0005886
2548738,46,GO:0006259
2548744,46,GO:0006810
2548739,46,GO:0006950
2548741,46,GO:0007165
2548745,46,GO:0007267
2548734,46,GO:0008150
2548740,46,GO:0016020
2548735,46,GO:0022857
2548742,46,GO:0043167
2548731,46,GO:0050877
2548743,46,GO:0055085
2548750,47,GO:0003674
2548752,47,GO:0005575
2548746,47,GO:0005886
2548758,47,GO:0006810
2548755,47,GO:0007165
2548759,47,GO:0007267
2548748,47,GO:0008150
2548754,47,GO:0016020
2548751,47,GO:0022607
2548749,47,GO:0022857
2548757,47,GO:0034330
2548753,47,GO:0043226
2548760,47,GO:0048856
2548747,47,GO:0050877
2548756,47,GO:0055085
2548764,48,GO:0003674
2548763,48,GO:0005515
2548768,48,GO:0005575
2548761,48,GO:0005886
2548774,48,GO:0006810
2548771,48,GO:0007165
2548775,48,GO:0007267
2548766,48,GO:0008150
2548770,48,GO:0016020
2548767,48,GO:0022607
2548765,48,GO:0022857
2548773,48,GO:0034330
2548769,48,GO:0043226
2548762,48,GO:0050877
2548772,48,GO:0055085
2548780,49,GO:0003674
2548781,49,GO:0005515
2548784,49,GO:0005575
2548776,49,GO:0005886
2548790,49,GO:0006810
2548787,49,GO:0007165
2548791,49,GO:0007267
2548778,49,GO:0008150
2548786,49,GO:0016020
2548783,49,GO:0022607
2548779,49,GO:0022857
2548789,49,GO:0034330
2548782,49,GO:0042802
2548785,49,GO:0043226
2548792,49,GO:0048856
2548777,49,GO:0050877
2548788,49,GO:0055085
2548796,50,GO:0003674
2548798,50,GO:0005515
2548800,50,GO:0005575
2548793,50,GO:0005886
2548806,50,GO:0006810
2548804,50,GO:0007165
2548807,50,GO:0007267
2548795,50,GO:0008150
2548802,50,GO:0016020
2548799,50,GO:0022607
2548797,50,GO:0022857
2548805,50,GO:0034330
2548801,50,GO:0043226
2548808,50,GO:0048856
2548794,50,GO:0050877
2548803,50,GO:0055085
2548834,51,GO:0000166
2548835,51,GO:0003674
2548843,51,GO:0005102
2548820,51,GO:0005515
2548817,51,GO:0005575
2548818,51,GO:0005634
2548845,51,GO:0005654
2548821,51,GO:0005737
2548813,51,GO:0005829
2548847,51,GO:0005886
2548841,51,GO:0006810
2548846,51,GO:0007010
2548816,51,GO:0007017
2548828,51,GO:0007049
2548829,51,GO:0007155
2548824,51,GO:0007267
2548837,51,GO:0008092
2548810,51,GO:0008150
2548831,51,GO:0008219
2548842,51,GO:0009056
2548839,51,GO:0016020
2548830,51,GO:0016192
2548833,51,GO:0016301
2548809,51,GO:0016310
2548822,51,GO:0016740
2548825,51,GO:0022607
2548814,51,GO:0030154
2548827,51,GO:0030554
2548811,51,GO:0032880
2548823,51,GO:0034330
2548832,51,GO:0040007
2548840,51,GO:0043065
2548815,51,GO:0043167
2548844,51,GO:0043226
2548836,51,GO:0048646
2548826,51,GO:0048856
2548812,51,GO:0048870
2548819,51,GO:0050877
2548838,51,GO:0051301
2548868,52,GO:0003674
2548876,52,GO:0005102
2548858,52,GO:0005515
2548854,52,GO:0005575
2548860,52,GO:0005737
2548848,52,GO:0005783
2548879,52,GO:0005886
2548872,52,GO:0006810
2548869,52,GO:0006950
2548862,52,GO:0007165
2548864,52,GO:0007267
2548849,52,GO:0008150
2548853,52,GO:0008152
2548874,52,GO:0009056
2548855,52,GO:0009308
2548856,52,GO:0009636
2548870,52,GO:0016020
2548866,52,GO:0016192
2548878,52,GO:0019899
2548875,52,GO:0022857
2548851,52,GO:0030154
2548850,52,GO:0032880
2548867,52,GO:0034641
2548859,52,GO:0035254
2548873,52,GO:0040011
2548871,52,GO:0043065
2548852,52,GO:0043167
2548877,52,GO:0043226
2548861,52,GO:0046677
2548865,52,GO:0048856
2548857,52,GO:0050877
2548863,52,GO:0055085
2548896,53,GO:0003674
2548906,53,GO:0005102
2548887,53,GO:0005515
2548884,53,GO:0005575
2548901,53,GO:0005576
2548889,53,GO:0005737
2548903,53,GO:0005764
2548900,53,GO:0005768
2548894,53,GO:0005856
2548909,53,GO:0005886
2548902,53,GO:0006810
2548897,53,GO:0006950
2548891,53,GO:0007165
2548893,53,GO:0007267
2548881,53,GO:0008150
2548885,53,GO:0009636
2548880,53,GO:0009790
2548899,53,GO:0016020
2548908,53,GO:0019899
2548905,53,GO:0022857
2548888,53,GO:0035254
2548898,53,GO:0042592
2548883,53,GO:0043085
2548882,53,GO:0043167
2548907,53,GO:0043226
2548890,53,GO:0046677
2548895,53,GO:0048856
2548886,53,GO:0050877
2548892,53,GO:0055085
2548904,53,GO:0065003
2548915,54,GO:0003674
2548914,54,GO:0005515
2548916,54,GO:0005575
2548910,54,GO:0005886
2548923,54,GO:0006810
2548918,54,GO:0006950
2548920,54,GO:0007165
2548924,54,GO:0007267
2548912,54,GO:0008150
2548922,54,GO:0016020
2548919,54,GO:0019904
2548913,54,GO:0022857
2548925,54,GO:0040011
2548917,54,GO:0043226
2548911,54,GO:0050877
2548921,54,GO:0055085
2548947,55,GO:0003674
2548955,55,GO:0005102
2548935,55,GO:0005515
2548932,55,GO:0005575
2548934,55,GO:0005634
2548956,55,GO:0005654
2548943,55,GO:0005730
2548937,55,GO:0005737
2548928,55,GO:0005829
2548958,55,GO:0005886
2548940,55,GO:0006508
2548949,55,GO:0006950
2548944,55,GO:0007049
2548941,55,GO:0007165
2548926,55,GO:0008150
2548930,55,GO:0008152
2548946,55,GO:0008219
2548954,55,GO:0009056
2548933,55,GO:0009636
2548951,55,GO:0016020
