assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,src_id,src_assay_id,chembl_id,cell_id,bao_format,tissue_id,variant_id,aidx
34,13622,Compound was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,,,,,12054,H,8,Autocuration,1,,CHEMBL615146,,BAO_0000357,,,CLD0
35,13622,Compound at 100 uM was tested in vitro for inhibition of 15-lipoxygenase soybean,B,,,Glycine max,3847.0,,,,,12054,H,8,Autocuration,1,,CHEMBL615147,,BAO_0000357,,,CLD0
36,11347,Inhibition of cytochrome P450 progesterone 16-alpha hydroxylase,A,,,Rattus norvegicus,10116.0,,,,,22224,U,0,Autocuration,1,,CHEMBL615148,,BAO_0000019,,,CLD0
37,5926,Binding affinity against bacterial 16S rRNA using mass spectrometry based assay,B,,,Escherichia coli,562.0,,,,,22226,U,0,Autocuration,1,,CHEMBL615149,,BAO_0000019,,,CLD0
38,4567,Dissociation constant with dimeric 16S rRNA RNA construct B,B,,,,,,,,,22226,U,0,Autocuration,1,,CHEMBL615150,,BAO_0000019,,,CLD0
39,3782,Dissociation constant towards 16S rRNA construct A,B,,,,,,,,,22222,M,3,Intermediate,1,,CHEMBL615151,,BAO_0000225,,,CLD0
40,3782,Dissociation constant towards 16S rRNA construct B,B,,,,,,,,,22222,M,3,Intermediate,1,,CHEMBL615152,,BAO_0000225,,,CLD0
41,4466,Binding affinity of aminoglycoside to 16S ribosomal RNA A-site in Escherichia coli,B,,,Escherichia coli,562.0,,,,,100263,M,3,Expert,1,,CHEMBL615153,,BAO_0000225,,,CLD0
42,6592,Binding affinity for the 16S ribosomal RNA A-site of Escherichia coli,B,,,Escherichia coli,562.0,,,,,100263,M,3,Expert,1,,CHEMBL615154,,BAO_0000225,,,CLD0
43,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,,CHEMBL615155,,BAO_0000019,,,CLD0
44,898,Inhibitory constant against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,,CHEMBL615156,,BAO_0000019,,,CLD0
45,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,,,,,20001,H,8,Autocuration,1,,CHEMBL615157,,BAO_0000019,,,CLD0
46,13163,The compound was tested at a concentration of 1 uM for inhibitory activity against 17 beta-hydroxysteroid dehydrogenase from human placental microsomes,B,,,Homo sapiens,9606.0,,,,,20001,H,8,Autocuration,1,,CHEMBL615158,,BAO_0000019,,,CLD0
47,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,,Testis,,,12971,D,9,Expert,1,,CHEMBL615159,,BAO_0000221,473.0,,CLD0
48,10691,"Inhibition of 17-alpha-hydroxylase/17,20 lyase from rat testes microsomal preparation",B,,,Rattus norvegicus,10116.0,,Testis,,,12971,D,9,Expert,1,,CHEMBL615172,,BAO_0000221,473.0,,CLD0
49,10691,"Percent inhibition of 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,,,,,12971,D,9,Expert,1,,CHEMBL615173,,BAO_0000019,,,CLD0
50,10691,"Percent inhibition of Steroid 17-alpha-hydroxylase/17,20 lyase of rat testes microsomes at 100 uM",B,,,Rattus norvegicus,10116.0,,,,,12971,D,9,Expert,1,,CHEMBL615174,,BAO_0000019,,,CLD0
51,898,Inhibitory activity against human placenta 17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD type 2),B,,,,,,,,,13053,H,8,Autocuration,1,,CHEMBL884518,,BAO_0000019,,,CLD0
52,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1),B,,,,,,,,,11512,H,8,Autocuration,1,,CHEMBL615175,,BAO_0000357,,,CLD0
53,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 1 uM concentration,B,,,,,,,,,11512,H,8,Autocuration,1,,CHEMBL615176,,BAO_0000357,,,CLD0
54,912,Compound was tested for the inhibition of 17-beta-hydroxysteroid dehydrogenase type 1(17-beta-HSD type 1) at 10 uM concentration,B,,,,,,,,,11512,H,8,Autocuration,1,,CHEMBL615177,,BAO_0000357,,,CLD0
55,15103,Selectivity ratio of binding affinity towards mu to delta receptors of rat brain membranes,B,,,Rattus norvegicus,10116.0,,,,Membrane,104740,D,5,Autocuration,1,,CHEMBL615178,,BAO_0000249,,,CLD0
56,5116,Cytotoxicity against ovarian cancer cell line (1A-9) of humans was determined,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615179,506.0,BAO_0000219,,,CLD0
57,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing 1A/2A NMDA receptor subtype,F,,,Rattus norvegicus,10116.0,,,Oocyte,,104835,D,7,Autocuration,1,,CHEMBL615180,1758.0,BAO_0000219,,,CLD0
58,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2B NMDA receptor,F,,,Rattus norvegicus,10116.0,,,Oocyte,,104821,D,7,Autocuration,1,,CHEMBL615181,1758.0,BAO_0000219,,,CLD0
59,14578,Functional antagonism by electrical assays in Xenopus oocytes expressing the 1A/2C NMDA receptor,F,,,Rattus norvegicus,10116.0,,,Oocyte,,104848,D,7,Autocuration,1,,CHEMBL615182,1758.0,BAO_0000219,,,CLD0
60,4787,In vitro effective concentration required to reduce the number of human ovarian cancer (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Expert,1,,CHEMBL615183,506.0,BAO_0000219,,,CLD0
61,4787,In vitro effective concentration required to reduce the number of human ovarian cancer cells (1A9) after 3-day incubation,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615184,506.0,BAO_0000219,,,CLD0
62,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615185,506.0,BAO_0000219,,,CLD0
63,3547,Cytotoxic activity against human ovarian cancer (1A9) cell line; ND=Not determined,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615186,506.0,BAO_0000219,,,CLD0
64,6726,Effective dose of compound against replication of 1A9 cell line was evaluated,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615187,506.0,BAO_0000219,,,CLD0
65,3455,In vitro cytotoxic activity was determined against ovarian cancer (1A9) cell line,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Expert,1,,CHEMBL885343,506.0,BAO_0000219,,,CLD0
66,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line),F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615188,506.0,BAO_0000219,,,CLD0
67,5726,In vitro cytotoxicity evaluated against human ovarian cancer (1A9 cell line); NA is not active,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615189,506.0,BAO_0000219,,,CLD0
68,5726,In vitro percent inhibition evaluated against human ovarian cancer (1A9 cell line) at >20 ug/mL,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615190,506.0,BAO_0000219,,,CLD0
69,3395,Inhibitory activity against Taxol resistant 1A9 cell lines,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615191,506.0,BAO_0000219,,,CLD0
70,3415,Cytotoxicity against human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Expert,1,,CHEMBL615192,506.0,BAO_0000219,,,CLD0
71,3415,Percentage inhibition of human ovarian cancer (1A9) cell lines.,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Expert,1,,CHEMBL827083,506.0,BAO_0000219,,,CLD0
72,17099,Effective dose required for inhibitory activity against 1A9 human tumor cell line.,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Expert,1,,CHEMBL615193,506.0,BAO_0000219,,,CLD0
73,17099,Percent inhibition against 1A9 human tumor cell line at 0.10 ug/mL,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615194,506.0,BAO_0000219,,,CLD0
74,17099,Percent inhibition against 1A9 human tumor cell line at <0.00008 ug/mL,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615195,506.0,BAO_0000219,,,CLD0
75,17099,Percent inhibition against 1A9 human tumor cell line at >10 ug/mL,F,,,Homo sapiens,9606.0,,,1A9,,80002,N,1,Intermediate,1,,CHEMBL615196,506.0,BAO_0000219,,,CLD0
76,17721,Inhibitory concentration against Jurkat cells,F,,,Homo sapiens,9606.0,,,Jurkat,,81072,N,1,Intermediate,1,,CHEMBL615197,503.0,BAO_0000219,,,CLD0
77,1229,In vitro anticancer activity against 2 NCI SCLC cell lines; inactive,F,,,,,,,SCLC,,22226,U,0,Intermediate,1,,CHEMBL615198,333.0,BAO_0000219,,,CLD0
78,11347,Inhibition of cytochrome P450 progesterone 2-alpha-hydroxylase,A,,,Rattus norvegicus,10116.0,,,,,100121,D,9,Expert,1,,CHEMBL615199,,BAO_0000357,,,CLD0
79,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,,,,11231,H,8,Expert,1,,CHEMBL615200,,BAO_0000357,,,CLD0
80,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase.",B,,,,,,,,,11231,H,8,Expert,1,,CHEMBL615201,,BAO_0000357,,,CLD0
81,17117,"In vitro inhibition of human 2,3-oxidosqualene cyclase at 100 nM.",B,,,,,,,,,11231,H,8,Expert,1,,CHEMBL615202,,BAO_0000357,,,CLD0
82,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,,,,Microsome,11231,H,8,Autocuration,1,,CHEMBL615203,,BAO_0000251,,,CLD0
83,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Candida albicans microsomes",B,,,Candida albicans,5476.0,,,,Microsome,11231,H,8,Autocuration,1,,CHEMBL615204,,BAO_0000251,,,CLD0
84,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,,,,Microsome,11231,H,8,Autocuration,1,,CHEMBL615205,,BAO_0000251,,,CLD0
85,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in Saccharomyces cerevisiae microsomes",B,,,Saccharomyces cerevisiae,4932.0,,,,Microsome,11231,H,8,Autocuration,1,,CHEMBL615206,,BAO_0000251,,,CLD0
86,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in pig liver microsomes",B,,,Sus scrofa,9823.0,,Liver,,Microsome,12083,H,8,Autocuration,1,,CHEMBL615207,,BAO_0000251,2107.0,,CLD0
87,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase",B,,,Rattus norvegicus,10116.0,,,,,11231,H,8,Autocuration,1,,CHEMBL827084,,BAO_0000019,,,CLD0
88,791,"Concentration required to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase (OSC)",B,,,Rattus norvegicus,10116.0,,,,,11231,H,8,Autocuration,1,,CHEMBL615208,,BAO_0000019,,,CLD0
89,791,"Evaluated for its activity to inhibit rat liver 2,3-oxidosqualene-lanosterol cyclase, activity expressed as Ki",B,,,Rattus norvegicus,10116.0,,,,,11231,H,8,Autocuration,1,,CHEMBL615209,,BAO_0000019,,,CLD0
90,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,Liver,,Microsome,12083,D,9,Autocuration,1,,CHEMBL615210,,BAO_0000251,2107.0,,CLD0
91,11375,"Compound was evaluated for the inhibition of microsomal 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,Liver,,Microsome,12083,D,9,Autocuration,1,,CHEMBL615211,,BAO_0000251,2107.0,,CLD0
92,153,"Compound was evaluated for inhibitory activity against 2,3-oxidosqualene-lanosterol cyclase in rat liver microsomes",B,,,Rattus norvegicus,10116.0,,Liver,,Microsome,12083,D,9,Autocuration,1,,CHEMBL615212,,BAO_0000251,2107.0,,CLD0
93,8269,Molar concentration needed to give 50% prevention of 2-5A (Adenosine dependent endoribonuclease),B,,,,,,,,,11377,H,8,Expert,1,,CHEMBL615213,,BAO_0000357,,,CLD0
94,8269,Molar concentration required to displace 50% of the radiolabeled probe from 2-5A (Adenosine dependent endoribonuclease) in endonuclease-nitrocellulose complex,B,,,,,,,,,11377,H,8,Expert,1,,CHEMBL615273,,BAO_0000357,,,CLD0
95,17653,In vitro cytotoxic concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Expert,1,,CHEMBL615274,726.0,BAO_0000219,,,CLD0
96,14277,50% Effective concentration of compound required for inhibiting intracellular viral replicative intermediate DNA in HBV-transfected 2.2.15 cell line.,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615275,726.0,BAO_0000219,,,CLD0
97,1717,Antiviral activity against Hepatitis B virus in 2.2.15 cell line,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615276,726.0,BAO_0000219,,,CLD0
98,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615277,726.0,BAO_0000219,,,CLD0
99,14091,In vitro effective concentration against hepatitis B virus was determined in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615326,726.0,BAO_0000219,,,CLD0
100,17653,In vitro effective concentration required to inhibit hepatitisB virus (HBV) replication in 2.2.15 cell line,F,,,Hepatitis B virus,10407.0,,,,,50606,N,1,Expert,1,,CHEMBL883130,,BAO_0000218,,,CLD0
101,13105,Ability to inhibit the episomal HBV-DNA in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL884519,726.0,BAO_0000219,,,CLD0
102,1717,Concentration required to inhibit 50% of 2.2.15 cell line,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615327,726.0,BAO_0000219,,,CLD0
103,13105,Anti viral activity against 2.2.15 cells (concentration required to reduce the log phase cell growth by 50%).,A,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615328,726.0,BAO_0000219,,,CLD0
104,13600,Cytotoxic activity of compound against uninfected 2.2.15 cells.,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615329,5553.0,BAO_0000218,,,CLD0
105,13467,Anti hepatitis-B virus activity was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615330,5553.0,BAO_0000218,,,CLD0
106,17477,"Inhibition of the replication of HBV in 2.2.15 cells, by DNA hybridization assay",F,,,Hepatitis B virus,10407.0,,,HepG2 2.2.15,,50606,N,1,Expert,1,,CHEMBL615331,5553.0,BAO_0000218,,,CLD0
107,1593,In vitro anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615332,5553.0,BAO_0000218,,,CLD0
108,1593,In vitro anti-HBV activity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615333,5553.0,BAO_0000218,,,CLD0
109,15089,The compound was tested in vitro for the anti-HBV activity against 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615334,5553.0,BAO_0000218,,,CLD0
110,15089,The compound was tested in vitro for the anti-HBV activity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615335,5553.0,BAO_0000218,,,CLD0
111,1593,Cytotoxicity in 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615336,5553.0,BAO_0000218,,,CLD0
112,1593,Cytotoxicity in 2.2.15 cells; Not determined,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615337,5553.0,BAO_0000218,,,CLD0
113,13600,Inhibitory activity of compound against hepatitis B virus (HBV) in growing cultures of 2.2.15 cells,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615338,5553.0,BAO_0000218,,,CLD0
114,13467,The growth inhibition activity for the compound was evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615339,5553.0,BAO_0000218,,,CLD0
115,13467,Selectivity index was determined from the ratio of IC50 to the EC50 values evaluated in 2.2.15 cells.,F,,,Homo sapiens,9606.0,,,HepG2 2.2.15,,50587,N,1,Intermediate,1,,CHEMBL615340,5553.0,BAO_0000218,,,CLD0
116,14764,Antiviral activity against HBV was determined in 2.215 cell line,F,,,Homo sapiens,9606.0,,,HepG2,,81020,N,1,Intermediate,1,,CHEMBL615341,726.0,BAO_0000219,,,CLD0
117,6531,Inhibition of 20-HETE synthesis in human renal microsomes,B,,,Homo sapiens,9606.0,,,,Microsome,22226,U,0,Autocuration,1,,CHEMBL615342,,BAO_0000251,,,CLD0
118,17322,Inhibitory activity against 20-HETE production from arachidonic acid using human renal microsome 20-HETE synthase.,B,,,,,,,,,22226,U,0,Autocuration,1,,CHEMBL615343,,BAO_0000019,,,CLD0
119,17072,Inhibitory concentration against 2008 (ovarian) cells,F,,,Homo sapiens,9606.0,,,2008,,80612,N,1,Intermediate,1,,CHEMBL615344,388.0,BAO_0000219,,,CLD0
120,16936,50% Growth inhibitory concentration( GI 50 ) by using 2008 human ovarian carcinoma cell lines.,F,,,Homo sapiens,9606.0,,,2008,,80612,N,1,Intermediate,1,,CHEMBL615345,388.0,BAO_0000219,,,CLD0
121,16936,Compound was tested for 50% growth inhibitory concentration by using human ovarian carcinoma cell lines (2008),F,,,Homo sapiens,9606.0,,,2008,,80612,N,1,Intermediate,1,,CHEMBL615346,388.0,BAO_0000219,,,CLD0
122,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells,F,,,Homo sapiens,9606.0,,,2008,,80612,N,1,Intermediate,1,,CHEMBL615347,388.0,BAO_0000219,,,CLD0
123,17146,Direct cytotoxicity against the selected tumor cell line 2008 was determined especially on ovarian adenocarcinoma derived cells; not detected,F,,,Homo sapiens,9606.0,,,2008,,80612,N,1,Intermediate,1,,CHEMBL615348,388.0,BAO_0000219,,,CLD0
124,10797,In vitro inhibition of 2008/R ovarian cancer cell line,F,,,Homo sapiens,9606.0,,,2008/R,,80613,N,1,Intermediate,1,,CHEMBL827085,561.0,BAO_0000219,,,CLD0
125,10797,In vitro inhibition of 2008/R ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,,,2008/R,,80613,N,1,Intermediate,1,,CHEMBL615349,561.0,BAO_0000219,,,CLD0
126,10797,In vitro inhibition of 2008/S ovarian cancer cell line,F,,,Homo sapiens,9606.0,,,2008/S,,80614,N,1,Intermediate,1,,CHEMBL615350,389.0,BAO_0000219,,,CLD0
127,10797,In vitro inhibition of 2008/S ovarian cancer cell line; NA= Not achievable,F,,,Homo sapiens,9606.0,,,2008/S,,80614,N,1,Intermediate,1,,CHEMBL615351,389.0,BAO_0000219,,,CLD0
128,4823,Tested in vitro for inhibition of chymotrypsin like activity of purified human 20S proteasome,B,,,Homo sapiens,9606.0,,,,,116833,D,5,Expert,1,,CHEMBL615352,,BAO_0000220,,,CLD0
