drugind_id,record_id,molregno,max_phase_for_ind,mesh_id,mesh_heading,efo_id,efo_term
22808,1343889,674347,2.0,D006552,"Hernia, Inguinal",HP:0000023,Inguinal hernia
22810,1343889,674347,4.0,D010146,Pain,EFO:0003843,pain
22811,1435097,150882,4.0,D010146,Pain,EFO:0003843,pain
22812,1343316,446784,3.0,D006556,Heroin Dependence,EFO:0004240,heroin dependence
22813,1343637,1543312,4.0,D009293,Opioid-Related Disorders,EFO:0005611,opioid dependence
22816,1343316,446784,4.0,D010146,Pain,EFO:0003843,pain
22819,1343619,545956,3.0,D014029,Tobacco Use Disorder,EFO:0003768,nicotine dependence
22821,1343619,545956,3.0,D016540,Smoking Cessation,EFO:0004319,smoking cessation
22823,1343619,545956,4.0,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22826,1344899,675699,2.0,D008080,Liposarcoma,EFO:0003085,dedifferentiated liposarcoma
22827,1344899,675699,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
22828,1344899,675699,4.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
22829,1344899,675699,2.0,D055752,Small Cell Lung Carcinoma,EFO:0000702,small cell lung carcinoma
22832,1343920,674617,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
22833,1344395,63252,2.0,D002280,"Carcinoma, Basal Cell",EFO:0004193,basal cell carcinoma
22834,1344395,63252,1.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22835,1344395,63252,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
22837,1390838,675785,4.0,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis
22840,1344584,116349,4.0,D006973,Hypertension,EFO:0000537,hypertension
22841,1343623,598447,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22843,1343623,598447,4.0,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22844,1343623,598447,3.0,D004938,Esophageal Neoplasms,EFO:0002916,esophageal carcinoma
22845,1343623,598447,4.0,D013274,Stomach Neoplasms,EFO:0000178,gastric carcinoma
22846,1343623,598447,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
22847,1343623,598447,3.0,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22848,1343623,598447,3.0,D002294,"Carcinoma, Squamous Cell",EFO:0000707,squamous cell carcinoma
22849,1343623,598447,4.0,D013274,Stomach Neoplasms,EFO:0003897,stomach neoplasm
22850,1344353,444750,4.0,D006333,Heart Failure,EFO:0000373,congestive heart failure
22851,1344353,444750,2.0,D006331,Heart Diseases,EFO:0003777,heart disease
22852,1344353,444750,4.0,D006973,Hypertension,EFO:0000537,hypertension
22853,1344353,444750,4.0,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22854,1344571,15086,4.0,D004827,Epilepsy,EFO:0000474,epilepsy
22855,1344571,15086,4.0,D004828,"Epilepsies, Partial",EFO:0004263,partial epilepsy
22856,1679370,520664,1.0,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22857,1679370,520664,4.0,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22860,1343600,10840,4.0,D001254,Astrocytoma,EFO:0000272,astrocytoma
22861,1343600,10840,2.0,D001932,Brain Neoplasms,EFO:0003833,brain neoplasm
22862,1344102,36662,4.0,D006333,Heart Failure,EFO:0003144,heart failure
22863,1344235,675118,4.0,D006973,Hypertension,EFO:0000537,hypertension
22864,1344102,36662,4.0,D006973,Hypertension,EFO:0000537,hypertension
22865,1344102,36662,2.0,D006976,"Hypertension, Pulmonary",EFO:0001361,pulmonary arterial hypertension
22866,1344122,18694,4.0,D013167,"Spondylitis, Ankylosing",EFO:0003898,ankylosing spondylitis
22867,1344122,18694,3.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22868,1344122,18694,4.0,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis
22871,1344122,18694,3.0,D020370,"Osteoarthritis, Knee",EFO:0004616,"osteoarthritis, knee"
22872,1344122,18694,4.0,D010146,Pain,EFO:0003843,pain
22873,1344122,18694,4.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22875,1390836,675782,4.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22876,1344862,1031157,4.0,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22880,1344036,675579,4.0,D015179,Colorectal Neoplasms,EFO:0000365,colorectal adenocarcinoma
22881,1344036,675579,3.0,D013274,Stomach Neoplasms,EFO:0000503,gastric adenocarcinoma
22882,1344036,675579,4.0,D002294,"Carcinoma, Squamous Cell",EFO:0000181,head and neck squamous cell carcinoma
22883,1344036,675579,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
22884,1344036,675579,3.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22885,1344036,675579,4.0,D002294,"Carcinoma, Squamous Cell",EFO:0000707,squamous cell carcinoma
22886,1344036,675579,4.0,D006258,Head and Neck Neoplasms,EFO:0004284,upper aerodigestive tract neoplasm
22887,1343778,404691,2.0,D043183,Irritable Bowel Syndrome,EFO:0000555,irritable bowel syndrome
22889,1343258,62615,4.0,D006973,Hypertension,EFO:0000537,hypertension
22890,1343258,62615,4.0,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome
22891,1343313,6216,4.0,D011618,Psychotic Disorders,EFO:0005407,psychosis
22893,1343337,134333,4.0,D006973,Hypertension,EFO:0000537,hypertension
22896,1343065,125294,3.0,D006333,Heart Failure,EFO:0003144,heart failure
22897,1343065,125294,3.0,D006526,Hepatitis C,EFO:0003047,hepatitis C virus infection
22902,1343065,125294,1.0,D013978,Tibial Fractures,EFO:0003944,tibia fracture
22906,1343915,50440,2.0,D007383,Intermittent Claudication,EFO:0003876,intermittent vascular claudication
22907,1343959,1620,4.0,D005764,Gastroesophageal Reflux,EFO:0003948,gastroesophageal reflux disease
22911,1343639,674732,4.0,D003866,Depressive Disorder,EFO:0003761,unipolar depression
22912,1706068,699483,3.0,D006973,Hypertension,EFO:0000537,hypertension
22914,1435098,111390,4.0,D001007,Anxiety,EFO:0005230,anxiety
22915,1344368,641189,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
22916,1344222,581569,3.0,D007938,Leukemia,EFO:0000565,leukemia
22917,1344222,581569,2.0,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22920,1344177,27609,3.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
22924,1344177,27609,4.0,D006973,Hypertension,EFO:0000537,hypertension
22926,1344177,27609,3.0,D010146,Pain,EFO:0003843,pain
22927,1344704,630396,4.0,D054058,Acute Coronary Syndrome,EFO:0005672,acute coronary syndrome
22933,1344704,630396,4.0,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
22934,1344704,630396,4.0,D058729,Peripheral Arterial Disease,EFO:0004265,peripheral arterial disease
22939,1344298,675050,4.0,D010146,Pain,EFO:0003843,pain
22940,1343496,2335062,4.0,D010146,Pain,EFO:0003843,pain
22941,1343971,14440,2.0,D013281,"Stomatitis, Aphthous",EFO:0003938,aphthous ulcer
22942,1696461,1380975,2.0,D003286,Contracture,EFO:0003899,contracture
22943,1696461,1380975,4.0,D012883,Skin Ulcer,HP:0200042,Skin ulcer
22944,1343462,675059,3.0,D007010,Hyponatremia,HP:0002902,Hyponatremia
22947,1344900,675393,3.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
22949,1344638,487711,4.0,D005128,Eye Diseases,EFO:0005752,eye inflammation
22951,1392861,602271,1.0,D005909,Glioblastoma,EFO:0000519,glioblastoma multiforme
22953,1392861,602271,4.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22954,1344970,72873,3.0,D003876,"Dermatitis, Atopic",EFO:0000274,atopic eczema
22956,1344970,72873,2.0,D006526,Hepatitis C,EFO:0003047,hepatitis C virus infection
22957,1344970,72873,3.0,D008223,Lymphoma,EFO:0000574,lymphoma
22958,1344970,72873,3.0,D000741,"Anemia, Aplastic",HP:0001915,Aplastic anemia
22959,1344970,72873,2.0,D011625,Pterygium,EFO:0000678,pterygium
22961,1343645,51182,4.0,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
22962,1343645,51182,4.0,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22963,1344521,1038352,4.0,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation
22966,1343717,675587,1.0,D011565,Psoriasis,EFO:0000676,psoriasis
22969,1344472,675574,3.0,D020521,Stroke,EFO:0000712,stroke
22974,1344443,675493,4.0,D000740,Anemia,EFO:0004272,anemia (phenotype)
22976,1344443,675493,3.0,D016403,"Lymphoma, Large B-Cell, Diffuse",EFO:0000403,diffuse large B-cell lymphoma
22977,1344443,675493,3.0,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22980,1344476,361469,2.0,D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",EFO:0000095,chronic lymphocytic leukemia
22981,1344476,361469,3.0,D007938,Leukemia,EFO:0000565,leukemia
22982,1344476,361469,2.0,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
22983,1344476,361469,1.0,D008228,"Lymphoma, Non-Hodgkin",EFO:0005952,non-Hodgkins lymphoma
22984,1344476,361469,2.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
22985,1344476,361469,2.0,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma
22986,1344476,361469,2.0,D002294,"Carcinoma, Squamous Cell",EFO:0000708,squamous cell lung carcinoma
22987,1343231,675080,3.0,D015470,"Leukemia, Myeloid, Acute",EFO:0000222,acute myeloid leukemia
22988,1343231,675080,4.0,D009190,Myelodysplastic Syndromes,EFO:0000198,myelodysplastic syndrome
22991,1390842,699374,2.0,D001024,Aortic Valve Stenosis,EFO:0000266,aortic stenosis
22992,1390842,699374,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
22993,1390842,699374,4.0,D010024,Osteoporosis,EFO:0003882,osteoporosis
22994,1390842,699374,4.0,D015663,"Osteoporosis, Postmenopausal",EFO:0003854,postmenopausal osteoporosis
22995,1344688,674684,1.0,D011183,Postoperative Complications,EFO:0005323,post-operative sign or symptom
22998,1343489,191342,4.0,D006255,"Rhinitis, Allergic, Seasonal",EFO:0005854,allergic rhinitis
22999,1343489,191342,4.0,D014581,Urticaria,EFO:0005531,urticaria
23002,1879208,161281,4.0,D003866,Depressive Disorder,EFO:0003761,unipolar depression
23007,1344337,365281,4.0,D005128,Eye Diseases,EFO:0005752,eye inflammation
23008,1344337,365281,3.0,D009101,Multiple Myeloma,EFO:0001378,multiple myeloma
23010,1344337,365281,3.0,D010146,Pain,EFO:0003843,pain
23011,1344337,365281,3.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
23016,1343296,1926820,4.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
23017,1343558,2197715,4.0,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder
23023,1343686,123693,3.0,D055623,"Keratosis, Actinic",EFO:0002496,actinic keratosis
23025,1937947,29890,4.0,D005128,Eye Diseases,EFO:0005752,eye inflammation
23026,1343686,123693,3.0,D009135,Muscular Diseases,EFO:0002970,muscular disease
23032,1937947,29890,3.0,D020370,"Osteoarthritis, Knee",EFO:0004616,"osteoarthritis, knee"
23036,1343686,123693,4.0,D010146,Pain,EFO:0003843,pain
23037,1343952,674755,4.0,D010146,Pain,EFO:0003843,pain
23044,1343374,86042,2.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
23046,1344343,1927101,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23047,1344343,1927101,3.0,D002277,Carcinoma,EFO:0000313,carcinoma
23048,1344343,1927101,4.0,D013274,Stomach Neoplasms,EFO:0000178,gastric carcinoma
23050,1344343,1927101,3.0,D009303,Nasopharyngeal Neoplasms,EFO:0004252,nasopharyngeal neoplasm
23051,1344343,1927101,4.0,D009369,Neoplasms,EFO:0000616,neoplasm
23052,1344343,1927101,4.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
23053,1344343,1927101,4.0,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
23054,1344343,1927101,4.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
23055,1344343,1927101,3.0,D002294,"Carcinoma, Squamous Cell",EFO:0000708,squamous cell lung carcinoma
23056,1344343,1927101,4.0,D006258,Head and Neck Neoplasms,EFO:0004284,upper aerodigestive tract neoplasm
23058,1343707,674761,2.0,D011565,Psoriasis,EFO:0000676,psoriasis
23059,1344690,462435,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23062,1344690,462435,3.0,D008223,Lymphoma,EFO:0000574,lymphoma
23063,1344690,462435,4.0,D012509,Sarcoma,EFO:0000691,sarcoma
23076,1343726,674920,4.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
23077,1390844,675779,2.0,D056648,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,EFO:0004826,anti-neutrophil antibody associated vasculitis
23080,1344727,675481,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
23085,1879127,1425665,4.0,D043183,Irritable Bowel Syndrome,EFO:0000555,irritable bowel syndrome
23087,1344813,674610,4.0,D006973,Hypertension,EFO:0000537,hypertension
23089,1343310,675454,4.0,D054556,Venous Thromboembolism,EFO:0004286,venous thromboembolism
23090,1679375,630886,4.0,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma
23097,1344463,626453,3.0,D009202,Cardiomyopathies,EFO:0000318,cardiomyopathy
23098,1344463,626453,3.0,D051436,"Renal Insufficiency, Chronic",EFO:0003884,chronic kidney disease
23099,1344463,626453,2.0,D003928,Diabetic Nephropathies,EFO:0000401,diabetic nephropathy
23100,1344463,626453,4.0,D006333,Heart Failure,EFO:0003144,heart failure
23101,1344463,626453,4.0,D006973,Hypertension,EFO:0000537,hypertension
23102,1344696,675361,4.0,D000740,Anemia,EFO:0004272,anemia (phenotype)
23103,1344696,675361,4.0,D051436,"Renal Insufficiency, Chronic",EFO:0003884,chronic kidney disease
23104,1344696,675361,2.0,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction
23106,1343283,1073669,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23107,1343283,1073669,1.0,D009369,Neoplasms,EFO:0000616,neoplasm
23110,1344174,611647,2.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23113,1344174,611647,2.0,D002294,"Carcinoma, Squamous Cell",EFO:0000181,head and neck squamous cell carcinoma
23116,1344174,611647,4.0,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma
23125,1702492,139940,4.0,D004827,Epilepsy,EFO:0000474,epilepsy
23126,1702492,139940,3.0,D004828,"Epilepsies, Partial",EFO:0004263,partial epilepsy
23129,1343932,2832017,4.0,D005764,Gastroesophageal Reflux,EFO:0003948,gastroesophageal reflux disease
23138,1344327,27626,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23139,1344327,27626,4.0,D008593,Menopause,EFO:0003922,menopause
23140,1344629,421038,3.0,D007246,Infertility,EFO:0000545,infertility
23141,1344090,675621,2.0,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma
23142,1343535,421334,4.0,D007319,Sleep Initiation and Maintenance Disorders,EFO:0004698,insomnia
23143,1343234,675371,3.0,D006086,Graft vs Host Disease,EFO:0004599,acute graft vs. host disease
23144,1343234,675371,4.0,D013167,"Spondylitis, Ankylosing",EFO:0003898,ankylosing spondylitis
23145,1343234,675371,4.0,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis
23146,1343234,675371,2.0,D003882,Dermatomyositis,EFO:0000398,dermatomyositis
23148,1343234,675371,4.0,D011565,Psoriasis,EFO:0000676,psoriasis
23149,1343234,675371,4.0,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis
23150,1343583,31811,4.0,D004827,Epilepsy,EFO:0000474,epilepsy
23151,1344314,26431,4.0,D012216,Rheumatic Diseases,EFO:0005755,rheumatic disease
23152,1344315,29090,3.0,D006973,Hypertension,EFO:0000537,hypertension
23153,1344099,428747,2.0,D011470,Prostatic Hyperplasia,EFO:0000284,benign prostatic hyperplasia
23154,1343829,68607,3.0,D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,EFO:0000220,acute lymphoblastic leukemia
23155,1343568,674596,2.0,D008223,Lymphoma,EFO:0000574,lymphoma
23156,1344572,1248731,1.0,D054058,Acute Coronary Syndrome,EFO:0005672,acute coronary syndrome
23157,1344572,1248731,2.0,D003528,"Carcinoma, Adenoid Cystic",EFO:0000231,adenoid cystic carcinoma
23158,1344572,1248731,4.0,D001943,Breast Neoplasms,EFO:0000305,breast carcinoma
23159,1344572,1248731,4.0,D002292,"Carcinoma, Renal Cell",EFO:0000681,renal cell carcinoma
