molregno,syn_type,molsyn_id,res_stem_id,synonyms
1785,OTHER,477,,Normodyne
1785,OTHER,478,,Normozide
1785,OTHER,479,,Trandate
1788,OTHER,480,,Avelox
1788,FDA,482,,Moxifloxacin
1788,USAN,484,,Moxifloxacin
1788,OTHER,485,,Vigamox
1795,TRADE_NAME,487,,Iquix
1795,TRADE_NAME,488,,Levaquin
1795,TRADE_NAME,494,,Quixin
1853,FDA,497,,Gemifloxacin
1853,USAN,499,,Gemifloxacin
1858,RESEARCH_CODE,500,619.0,U-87201E
1967,FDA,502,,Spirapril
372912,OTHER,504,,R-norepinephrine
1991,OTHER,506,,ABBOTT-44090
1991,TRADE_NAME,508,,Depakote
1991,TRADE_NAME,509,,Depakote CP
1991,TRADE_NAME,510,,Depakote ER
1994,FDA,517,,Isoproterenol
675268,USAN,518,,Triclofos
26401,USAN,520,,Trazodone
674289,USAN,526,,Pinacidil hydrate
674289,INN,527,,Pinacidil hydrate
674290,BAN,528,,Phenylephrine HCl
674290,INN,529,,Phenylephrine HCl
2045,USAN,567,,Hydrochlorothiazide
2080,USAN,641,,Pyrimethamine
2084,TRADE_NAME,644,,Alderase
2095,FDA,651,,Sulfathiazole
2095,USAN,653,,Sulfathiazole
2124,OTHER,660,,Ponalrestat
2130,USAN,668,,Sulfamerazine
2131,OTHER,678,,SSD
2131,OTHER,679,,Sildaflo
2131,OTHER,680,,Silvadene
2131,USAN,688,,Sulfadiazine
2131,OTHER,695,,Thermazene
2132,FDA,699,,Thiamylal
2166,FDA,700,,Thiopental
2203,FDA,703,,Ergotamine
2217,FDA,722,,Phenobarbital
2217,USAN,725,,Phenobarbital
2223,FDA,729,,Fluoxetine
2223,OTHER,732,,Prozac
2223,OTHER,733,,Sarafem
2223,OTHER,734,,Symbyax
2241,RESEARCH_CODE,735,517.0,Ro-31-6233
2246,RESEARCH_CODE,736,341.0,L-745870
2262,FDA,767,,Nortriptyline
2262,OTHER,769,,Pamelor
2265,FDA,772,,Sulfamethazine
2265,USAN,773,,Sulfamethazine
2326,FDA,776,,Secobarbital
2326,USAN,778,,Secobarbital
2327,USAN,786,,Pentobarbital
2393,FDA,790,,Butabarbital
2393,USAN,791,,Butabarbital
2408,USAN,806,,Metharbital
2431,OTHER,808,,A-Poxide
2431,OTHER,809,,Chlordiazachel
2431,USAN,814,,Chlordiazepoxide
2431,OTHER,819,,Librium
2431,OTHER,820,,Lygen
2484,OTHER,831,,Eryzole
2484,OTHER,833,,Pediazole
2484,USAN,842,,Sulfisoxazole
2525,OTHER,889,,Bleph-10
2525,OTHER,890,,Bleph-30
2525,OTHER,892,,Cetamide
2525,OTHER,894,,FML-S
2525,OTHER,896,,Klaron
2525,OTHER,898,,Ocusulf-10
2525,OTHER,899,,Ocusulf-30
2525,OTHER,902,,SULF-10
2525,OTHER,903,,SULF-15
2525,OTHER,904,,Sulfacel-15
2525,FDA,906,,Sulfacetamide
2525,USAN,908,,Sulfacetamide
2525,OTHER,910,,Sulfair-15
2525,OTHER,913,,Sulster
2525,OTHER,914,,Sulten-10
2597,OTHER,921,,Indacrinone
2708,RESEARCH_CODE,933,514.0,RWJ-58259
2724,OTHER,934,,Preclamol
2725,RESEARCH_CODE,935,341.0,L-158809
2775,RESEARCH_CODE,936,640.0,WIN-57294
2966,OTHER,939,,Sulofenur
2968,RESEARCH_CODE,940,362.0,LY-181984
3103,OTHER,951,,Flindokalner
3142,OTHER,952,,Cartazolate
3183,OTHER,953,,Desmethylondansetron
3183,RESEARCH_CODE,954,253.0,GR-38032
3183,USAN,959,,Ondansetron
3183,OTHER,961,,Zofran
3345,USAN,975,,Vitamin E
3377,OTHER,979,,Tienoxolol
3599,OTHER,989,,Buspar
3599,FDA,990,,Buspirone
3611,RESEARCH_CODE,992,451.0,ONO-3708
3667,RESEARCH_CODE,993,106.0,BW-755C
3689,OTHER,995,,Sulotroban
3784,OTHER,1014,,Actinex
3784,RESEARCH_CODE,1015,136.0,CHX-100
3784,OTHER,1016,,MESO-NDGA
3784,USAN,1017,,Nordihydroguaiaretic acid
3799,OTHER,1019,,Moban
3799,FDA,1020,,Molindone
3854,FDA,1023,,Apomorphine
3943,OTHER,1035,,Nafazatrom
3965,FDA,1041,,Pentamidine
3965,USAN,1043,,Pentamidine
3979,OTHER,1046,,4-Chlorohippuric Acid
63949,OTHER,1047,,Racemethionine
4011,USAN,1048,,Aminohippuric Acid
4011,FDA,1050,,Aminohippuric acid
4028,RESEARCH_CODE,1054,341.0,L-683590
4136,RESEARCH_CODE,1055,341.0,L-696418
4146,RESEARCH_CODE,1056,362.0,LY-389795
4344,RESEARCH_CODE,1064,341.0,L-697661
4347,RESEARCH_CODE,1072,362.0,LY-379268
4381,OTHER,1073,,Clorgiline
4411,OTHER,1074,,Prifelone
371655,FDA,1083,,Cefuroxime
371655,OTHER,1085,,Kefurox
371655,OTHER,1086,,Zinacef
4504,OTHER,1089,,Novantrone
4520,RESEARCH_CODE,1090,238.0,FR-236924
4564,RESEARCH_CODE,1091,341.0,L-764004
4573,RESEARCH_CODE,1092,386.0,MK-17
4575,RESEARCH_CODE,1093,386.0,MK-29A
4582,RESEARCH_CODE,1094,386.0,MK-28
4583,RESEARCH_CODE,1095,386.0,MK-30A
112655,OTHER,1096,,Bendopa
4584,FDA,1098,,Dopamine
4584,OTHER,1100,,Intropin
4637,RESEARCH_CODE,1105,622.0,UK-37248
4664,RESEARCH_CODE,1107,386.0,MK-27
4700,RESEARCH_CODE,1114,386.0,MK-29B
4705,RESEARCH_CODE,1115,386.0,MK-19
4708,RESEARCH_CODE,1116,386.0,MK-18
4720,RESEARCH_CODE,1118,386.0,MK-26
4722,RESEARCH_CODE,1119,386.0,MK-20
4763,RESEARCH_CODE,1130,522.0,SB-209670
4773,RESEARCH_CODE,1133,386.0,MK-16
4778,RESEARCH_CODE,1140,526.0,SCH-23390
4782,RESEARCH_CODE,1141,386.0,MK-14
4786,RESEARCH_CODE,1142,386.0,MK-69
4793,RESEARCH_CODE,1144,386.0,MK-15
4815,OTHER,1147,,Rosaramicin
4836,RESEARCH_CODE,1151,386.0,MK-25
4909,RESEARCH_CODE,1153,341.0,L-754142
4920,RESEARCH_CODE,1154,130.0,CGS-16949A
4941,USAN,1163,,Isoniazid
5080,FDA,1181,,Ketorolac
5185,RESEARCH_CODE,1184,470.0,PD-156707
5200,RESEARCH_CODE,1185,3.0,A-127722
5207,OTHER,1186,,P-Hydroxy Ketorolac
5261,OTHER,1187,,Cianidanol
5285,OTHER,1188,,Androstenedione
5371,RESEARCH_CODE,1189,341.0,L-365260
5371,RESEARCH_CODE,1190,362.0,LY-365260
674310,TRADE_NAME,1200,,Bayrena
674803,TRADE_NAME,1202,,Beepen VK
674944,TRADE_NAME,1208,,Benzcurine Iodide
5378,OTHER,1214,,Anirolac
5528,OTHER,1215,,Betapace
5528,RESEARCH_CODE,1216,384.0,MJ-1999
5528,OTHER,1217,,Sorine
5528,FDA,1219,,Sotalol
5540,OTHER,1222,,Metacetamol
5548,RESEARCH_CODE,1223,622.0,UK-78282
111399,RESEARCH_CODE,1243,3.0,A-77003
5659,RESEARCH_CODE,1244,386.0,MK-417
5739,RESEARCH_CODE,1246,517.0,Ro-075220
5740,OTHER,1247,,Delorazepam
366274,FDA,1248,,Dorzolamide
366274,OTHER,1250,,Trusopt
5758,OTHER,1251,,N-Desethyl Dorzolamide
5772,OTHER,1252,,DIC
5772,OTHER,1253,,DTIC
5815,RESEARCH_CODE,1270,24.0,AG-331
5867,RESEARCH_CODE,1271,517.0,Ro-22-3294
5884,OTHER,1272,,1-M-Chlorophenyl Piperazine Metabolite
5969,RESEARCH_CODE,1273,386.0,MK-212
5970,OTHER,1274,,Mellaril
5985,OTHER,1285,,Camptosar
5985,FDA,1286,,Irinotecan
419580,OTHER,1288,,Dilaudid
419580,OTHER,1289,,Dilaudid-HP
419580,FDA,1290,,Hydromorphone
419580,OTHER,1292,,Palladone
6005,OTHER,1293,,Avinza
6005,OTHER,1294,,Depodur
6005,OTHER,1295,,Infumorph
6005,OTHER,1296,,Kadian
6005,FDA,1297,,Morphine
6012,OTHER,1299,,Atripla
6012,FDA,1300,,Tenofovir
6012,OTHER,1302,,Truvada
6078,FDA,1305,,Adefovir
6150,RESEARCH_CODE,1309,523.0,SC-55634
6167,FDA,1311,,Codeine
6167,USAN,1312,,Codeine
6216,USAN,1320,,Chlorpromazine
6216,OTHER,1325,,Sonazine
6225,RESEARCH_CODE,1327,523.0,SC-51895
6226,RESEARCH_CODE,1328,523.0,SC-52892
6243,FDA,1329,,Desipramine
6287,OTHER,1332,,4'-Hydroxytamoxifen
6288,OTHER,1333,,Droloxifene
6291,RESEARCH_CODE,1334,3.0,A-80426
6317,USAN,1338,,Aminoglutethimide
6402,FDA,1341,,4-Hydroxytamoxifen
6431,OTHER,1342,,Disuprazole
6480,OTHER,1347,,Cromolyn
72036,TRADE_NAME,1360,,Extina
72036,TRADE_NAME,1368,,Ketozole
72036,TRADE_NAME,1369,,Nizoral
72036,TRADE_NAME,1370,,Nizoral A-D
72036,RESEARCH_CODE,1371,498.0,R-41400
72036,TRADE_NAME,1372,,Xolegel
6579,OTHER,1373,,Aralen
6579,FDA,1376,,Chloroquine
6579,USAN,1378,,Chloroquine
6643,FDA,1382,,Paroxetine
6713,RESEARCH_CODE,1385,514.0,RWJ-377796
6714,RESEARCH_CODE,1386,152.0,CP-154526
6723,OTHER,1388,,Anestacon
6723,OTHER,1391,,Embolex
6723,OTHER,1393,,Iontocaine
6723,USAN,1399,,Lidocaine
6723,OTHER,1403,,Lidocaton
6723,OTHER,1405,,Lidopen
6723,OTHER,1407,,Octocaine
6787,FDA,1414,,Hydroxyflutamide
6879,RESEARCH_CODE,1415,130.0,CGS-314447
6883,FDA,1418,,Etidocaine
6883,RESEARCH_CODE,1421,635.0,W-19053
6886,RESEARCH_CODE,1422,362.0,LY-117018
6902,FDA,1423,,Naloxone
6902,TRADE_NAME,1425,,Narcan
6902,OTHER,1426,,Suboxone
6914,OTHER,1427,,Evista
6914,FDA,1428,,Raloxifene
444750,OTHER,1430,,Capoten
6968,RESEARCH_CODE,1433,281.0,ICI-46474
6968,OTHER,1434,,Nolvadex
6968,OTHER,1435,,Soltamox
6968,FDA,1436,,Tamoxifen
7024,RESEARCH_CODE,1438,514.0,RWJ-25730
7065,FDA,1440,,Bromocriptine
7347,OTHER,1445,,Imirestat
7355,OTHER,1446,,Cloxacepride
7451,OTHER,1447,,Zenarestat
7501,OTHER,1454,,Hycamtin
7501,FDA,1455,,Topotecan
7502,OTHER,1457,,Zopolrestat
99299,OTHER,1458,,Minalrestat
7721,OTHER,1467,,Azepindole
7736,OTHER,1468,,Clopra
7736,OTHER,1469,,"Clopra-""Yellow"""
7736,OTHER,1470,,Maxolon
7736,FDA,1471,,Metoclopramide
7736,OTHER,1473,,Reglan
7813,OTHER,1474,,Bermoprofen
8151,RESEARCH_CODE,1490,526.0,SCH-37370
8167,TRADE_NAME,1495,,"Germa-Medica ""Mg"""
8167,USAN,1500,,Hexachlorophene
8193,USAN,1515,,Clioquinol
8417,USAN,1522,,Cyclophosphamide
8417,OTHER,1523,,Cytoxan
8417,OTHER,1524,,Neosar
8516,USAN,1530,,Chlorpropamide
8531,OTHER,1535,,Blocadren
8531,OTHER,1537,,Istalol
8531,OTHER,1542,,Timoptic
8531,OTHER,1543,,Timoptic-XE
8609,OTHER,1555,,Sodium cyclamate
8707,RESEARCH_CODE,1556,281.0,ICI-89406
8810,OTHER,1557,,Lecimibide
8838,USAN,1573,,Amphetamine Sulfate
8910,FDA,1580,,Histamine
8917,USAN,1585,,Miconazole
8917,OTHER,1588,,Monistat-Derm
8917,OTHER,1589,,Vusion
8995,RESEARCH_CODE,1590,94.0,BMS-191095
9040,OTHER,1591,,Mopidralazine
9097,RESEARCH_CODE,1596,508.0,RP-56976
9217,OTHER,1599,,ABBOTT-64077
9333,FDA,1609,,Tacrine
9372,OTHER,1611,,Aricept
9372,FDA,1612,,Donepezil
9372,RESEARCH_CODE,1614,193.0,E-2020
116265,OTHER,1615,,Glutamic acid
9826,RESEARCH_CODE,1631,526.0,SCH-211803
9902,OTHER,1632,,Tibeglisene
9926,RESEARCH_CODE,1633,94.0,BMS-248360
9953,OTHER,1634,,Acetanilide
10009,OTHER,1635,,DMSO
10018,RESEARCH_CODE,1645,514.0,RWJ-69736
10182,RESEARCH_CODE,1646,166.0,CV-6209
10221,OTHER,1647,,Closantel
10297,OTHER,1648,,Glicondamide
10299,OTHER,1649,,Rilmakalim
10311,RESEARCH_CODE,1650,514.0,RWJ-68157
10313,RESEARCH_CODE,1651,514.0,RWJ-38063
10358,OTHER,1652,,Antagonate
10358,OTHER,1653,,Chlor-Trimeton
10358,FDA,1654,,Chlorpheniramine
10358,OTHER,1658,,Isoclor
10358,OTHER,1659,,Kloromin
10358,OTHER,1661,,Phenetron
10358,OTHER,1662,,Teldrin
366860,TRADE_NAME,1664,,Beta-Hypophamine
27152,TRADE_NAME,1666,,Betasolan
10389,FDA,1667,,Primaquine
10407,OTHER,1669,,Bimakalim
10455,OTHER,1671,,N-Methylhistamine
10531,OTHER,1675,,Meclodium
10531,FDA,1676,,Meclofenamate
437211,TRADE_NAME,1680,,Betaxin
10531,OTHER,1681,,Meclomen
10581,RESEARCH_CODE,1683,193.0,E-5110
95978,TRADE_NAME,1684,,Beuthanasia
10661,FDA,1685,,Pyrilamine
10840,OTHER,1686,,BCNU
10841,RESEARCH_CODE,1692,522.0,SB-258719
10898,OTHER,1693,,CCNU
10956,RESEARCH_CODE,1699,522.0,SB-258741
10996,RESEARCH_CODE,1700,137.0,CI-930
11002,USAN,1704,,Chlorambucil
11005,FDA,1708,,Cyproheptadine
11137,RESEARCH_CODE,1711,659.0,YM-90K
11143,FDA,1713,,Disopyramide
11143,OTHER,1717,,Norpace
11169,OTHER,1719,,Phenylacetic acid mustard (0.25%)
27150,OTHER,1721,,Cardioquin
27150,OTHER,1722,,Duraquin
27150,OTHER,1723,,Quinact
27150,OTHER,1724,,Quinaglute
27150,OTHER,1725,,Quinalan
27150,OTHER,1726,,Quinatime
11220,RESEARCH_CODE,1729,137.0,CI-914
11357,OTHER,1732,,Xanthene carboxylic acid (20%)
11453,RESEARCH_CODE,1733,517.0,Ro-054520
11542,OTHER,1734,,Disobutamide
11628,RESEARCH_CODE,1735,517.0,Ro-054528
11643,RESEARCH_CODE,1736,517.0,Ro-053061
58836,OTHER,1765,,DAMGO
65500,RESEARCH_CODE,1770,,DUP-697
461652,OTHER,1773,,Butylated hydroxyanisole
461652,OTHER,1775,,BHA
87051,OTHER,1778,,DPDPE
11681,RESEARCH_CODE,1779,517.0,Ro-052921
11685,OTHER,1780,,Clometacin
11711,RESEARCH_CODE,1781,517.0,Ro-052904
11714,RESEARCH_CODE,1782,517.0,Ro-054082
11762,FDA,1783,,Desmethyldiazepam
11762,USAN,1786,,Nordazepam
11775,FDA,1788,,Methoxamine
11775,OTHER,1790,,Vasoxyl
11793,RESEARCH_CODE,1791,457.0,ORG-24447
11818,OTHER,1792,,Phosphoramide mustard
12048,RESEARCH_CODE,1810,362.0,LY-293284
12048,RESEARCH_CODE,1811,362.0,LY-293384
12055,RESEARCH_CODE,1812,341.0,L-755507
12105,OTHER,1813,,Cefizox
12105,FDA,1814,,Ceftizoxime
12105,RESEARCH_CODE,1816,233.0,FK-749
12217,OTHER,1817,,Dazoquinast
12356,OTHER,1819,,Levcromakalim
12417,USAN,1828,,Phenylbutazone
12427,RESEARCH_CODE,1831,341.0,L-701677
567132,OTHER,1842,,Abyssinone II
12494,FDA,1850,,Pergolide
1433,OTHER,1855,,Quinazolin-4-ol
1433,OTHER,1856,,4-quinazolone
9381,OTHER,1857,,Isothreonine
9381,OTHER,1858,,L-Homoserine
9887,OTHER,1859,,2-Benzanine
10519,OTHER,1860,,Dimaprit
11015,OTHER,1862,,Muscarin
11015,OTHER,1863,,L-(+)-muscarine
13361,OTHER,1879,,NBA
13361,OTHER,1880,,1-Aminobutane
13366,OTHER,1881,,Dichloroethanoic acid
13397,OTHER,1883,,Monoethylamine
13397,OTHER,1884,,Aminoethane
13397,OTHER,1885,,Ethamine
13398,OTHER,1886,,Propan-2-one
13398,OTHER,1887,,Dimethylformaldehyde
12534,OTHER,1889,,Trecetilide
12608,FDA,1892,,Ibutilide
12825,USAN,1902,,Progesterone
12834,RESEARCH_CODE,1905,341.0,L-162752
12850,RESEARCH_CODE,1906,386.0,MK-677
12872,RESEARCH_CODE,1907,95.0,BMY-7378
12886,RESEARCH_CODE,1908,3.0,A-123189
12920,RESEARCH_CODE,1910,238.0,FR-221647
12957,FDA,1911,,Ketotifen
13398,OTHER,1913,,2-Propanone
12958,OTHER,1914,,Cirazoline
12961,RESEARCH_CODE,1915,470.0,PD-170292
13048,OTHER,1917,,Sutent
13109,RESEARCH_CODE,1918,3.0,A-119637
13157,RESEARCH_CODE,1919,341.0,L-692585
13196,RESEARCH_CODE,1920,523.0,SC-57666
13329,USAN,1922,,Hydroquinone
13437,OTHER,1924,,Trichloroethanoic acid
13336,OTHER,1925,,Betanaphthol
13437,OTHER,1927,,TCAA
13342,USAN,1929,,Acetic Acid
13342,USAN,1931,,"Acetic Acid, Glacial"
13342,FDA,1933,,Acetic acid
13441,OTHER,1938,,Capric alcohol
13441,OTHER,1939,,Caproalcohol
13441,OTHER,1942,,Hexalcohol
13441,OTHER,1943,,Hexyl alcohol
13441,OTHER,1945,,Hydroxyhexane
13355,OTHER,1947,,Imidazole
13358,RESEARCH_CODE,1948,137.0,CI-218872
13448,OTHER,1949,,Butane-1-carboxylic acid
13371,FDA,1950,,Benzoate
13371,USAN,1952,,Benzoic Acid
13448,OTHER,1955,,Pentanoic acid
13372,FDA,1956,,4-Aminobenzoic Acid
13449,OTHER,1957,,Caproic acid
13372,USAN,1958,,Aminobenzoic Acid
13429,OTHER,1963,,Amanozine
13454,OTHER,1965,,N-Methylimidazole
117123,RESEARCH_CODE,1967,470.0,PD-154075
13451,OTHER,1993,,Ethanecarboxylic acid
13526,OTHER,2006,,Carbadox
1510514,RESEARCH_CODE,2007,457.0,ORG-2058
13554,RESEARCH_CODE,2008,522.0,SB-210313
13590,OTHER,2018,,Mytozytrex
13618,USAN,2022,,Alcohol
13618,USAN,2024,,"Alcohol, Diluted"
13618,USAN,2026,,"Alcohol, Rubbing"
13618,USP,2027,,"Alcohol, Rubbing"
13467,OTHER,2028,,p-Nitroaniline
13467,OTHER,2029,,1-Amino-4-nitrobenzene
13605,OTHER,2030,,Heptyl alcohol
13605,OTHER,2033,,Enanthic alcohol
13756,FDA,2034,,Oxprenolol
13928,OTHER,2046,,13 Cis-Retinoic Acid
14185,OTHER,2059,,Betaprodine
14367,OTHER,2060,,Celexa
14367,FDA,2062,,Citalopram
14367,USAN,2064,,Citalopram
608732,USAN,2070,,Pilocarpine
608732,OTHER,2072,,Salagen
14411,RESEARCH_CODE,2073,253.0,GR-175737
13615,OTHER,2074,,Amyl alcohol
13615,OTHER,2075,,Butylcarbinol
14440,USAN,2078,,Colchicine
13615,OTHER,2080,,Pentalcohol
13615,OTHER,2081,,Valeric alcohol
13616,OTHER,2082,,Propan-1-ol
14785,FDA,2085,,Erlotinib
14789,OTHER,2087,,Flumezapine
14805,FDA,2088,,Lapatinib
14853,RESEARCH_CODE,2089,619.0,U-91571
14855,OTHER,2090,,Prodipine
14914,OTHER,2091,,Panadiplon
14943,OTHER,2093,,Methestrol
14972,RESEARCH_CODE,2094,341.0,L-695499
15217,OTHER,2112,,44089
13616,OTHER,2113,,Ethylcarbinol
14967,OTHER,2115,,Pteridoxamine
14967,OTHER,2122,,4-Oxopterin
15282,RESEARCH_CODE,2123,341.0,L-660711
15282,RESEARCH_CODE,2124,386.0,MK-571
15330,RESEARCH_CODE,2125,523.0,SC-41930
15420,RESEARCH_CODE,2126,137.0,CI-938
15772,RESEARCH_CODE,2127,100.0,BRL-20627
15938,FDA,2128,,Deferoxamine
15938,OTHER,2131,,Desferal
15958,FDA,2134,,Mexiletine
15990,OTHER,2137,,Choloxin
15990,FDA,2138,,Dextrothyroxine
16048,RESEARCH_CODE,2139,362.0,LY-255283
16117,FDA,2140,,Pentazocine
16278,FDA,2145,,Lomefloxacin
16278,OTHER,2148,,Maxaquin
16303,FDA,2157,,Griseofulvin
16303,USAN,2161,,Griseofulvin
16308,OTHER,2176,,Ocufen
16391,FDA,2178,,Promazine
16396,RESEARCH_CODE,2181,253.0,GR-127935
16450,USAN,2198,,Acetaminophen
14967,OTHER,2200,,2-Amino-4-pteridone
16154,OTHER,2202,,3-Picoline
16654,OTHER,2203,,gamma-Hexachlorocyclohexane
16654,OTHER,2204,,Gammaxene
16654,OTHER,2205,,Gammallin
51473,RESEARCH_CODE,2217,95.0,BMY-13859
446262,OTHER,2220,,Abyssinone I
1114,OTHER,2222,,Ellence
1114,FDA,2223,,Epirubicin
12506,OTHER,2227,,Benzamycin
12506,OTHER,2228,,Bristamycin
83515,INN,2230,,Adefovir dipivoxil
642358,INN,2236,,Ammonia
674929,INN,2237,,Arsenic trioxide
1050234,OTHER,2238,,2-Hydroxyestrone
12506,OTHER,2251,,E-Base
675360,INN,2252,,Botulinum toxin type a purified neurotoxin complex
675632,INN,2262,,Colesevelam
31289,INN,2264,,Dalfampridine
12506,OTHER,2273,,E-Glades
674404,INN,2274,,Docosanol
390990,INN,2289,,Exenatide synthetic
675153,INN,2292,,Fondaparinux
674522,INN,2294,,Gadobenate dimeglumine
675719,INN,2295,,Gadoxetate
675545,INN,2301,,Hyaluronidase recombinant human
110435,INN,2302,,Ibandronate
675383,INN,2309,,Insulin glargine recombinant
675589,INN,2310,,Insulin glulisine recombinant
56402,INN,2311,,Iobenguane
675627,INN,2325,,Mecasermin rinfabate recombinant
660529,INN,2327,,Methylnaltrexone
12506,OTHER,2337,,E-Mycin
16485,OTHER,2347,,Cafcit
16485,USAN,2352,,Caffeine
46073,INN,2356,,Pentetate
675504,INN,2357,,Perfluoropolymethylisopropyl ether
1051118,FDA,2370,,Doxepin
675628,INN,2380,,Sinecatechins
674633,INN,2382,,Sodium oxybate
430522,INN,2391,,Tenofovir disoproxil
16505,USAN,2397,,Perphenazine
674505,INN,2406,,Triptorelin pamoate
16521,OTHER,2419,,Fenclofenac
16524,RESEARCH_CODE,2420,152.0,CP-96345
16530,OTHER,2421,,Chlorophenothane
16580,OTHER,2422,,Indalpine
16581,OTHER,2424,,Novocain
16581,FDA,2425,,Procaine
16584,USAN,2430,,Triflupromazine
16592,OTHER,2447,,Ivadantin
16592,USAN,2455,,Nitrofurantoin
1228747,INN,2462,,Trospium
16656,USAN,2465,,Niacin
482031,INN,2473,,Trypan blue
16688,OTHER,2476,,Paratoulene sulfonamide
16716,FDA,2477,,Methicillin
16716,OTHER,2478,,Staphcillin
12506,OTHER,2482,,ERY-TAB
169747,RESEARCH_CODE,2485,3.0,A-425619
16847,FDA,2486,,Enalapril
16847,OTHER,2488,,Lexxel
16847,OTHER,2490,,Vaseretic
16847,OTHER,2491,,Vasotec
16866,RESEARCH_CODE,2492,523.0,SC-58125
16952,FDA,2494,,Spiraprilat
30180,OTHER,2497,,Alexitol sodium
16962,FDA,2510,,Fosinoprilat
431376,INN,2512,,Ulipristal acetate
674612,INN,2513,,Unoprostone isopropyl
17025,USAN,2522,,Isopropyl Alcohol
17136,FDA,2527,,Grepafloxacin
17136,OTHER,2529,,Raxar
17169,OTHER,2531,,Invirase
17169,RESEARCH_CODE,2532,517.0,Ro-31-8959
17170,OTHER,2538,,Crixivan
17170,FDA,2540,,Indinavir
17170,RESEARCH_CODE,2543,341.0,L-735524
17170,RESEARCH_CODE,2544,386.0,MK-639
17194,OTHER,2545,,Tioxamast
1176942,RESEARCH_CODE,2546,9.0,ABT-751
