warning_id,record_id,molregno,warning_type,warning_class,warning_description,warning_country,warning_year,efo_term,efo_id,efo_id_for_warning_class
109,1344804,8838,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
110,1344804,8838,Black Box Warning,misuse,,United States,,,,EFO:0011049
130,1343887,155006,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
134,1343644,674929,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
135,1343644,674929,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
145,1344114,1279,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
152,1343924,308917,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
158,1343926,431141,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
159,1343926,431141,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
160,1343926,431141,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
161,1344643,674351,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
162,1344643,674351,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
163,1344643,674351,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
165,1583655,1376065,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
168,1343914,674509,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
170,1343184,32869,Black Box Warning,musculoskeletal toxicity,,United States,,,,EFO:0011055
172,1702681,1378029,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
173,1702681,1378029,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
178,1702595,1377970,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
179,1392874,1121861,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
183,1344171,544432,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
192,1343423,798263,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
210,1344853,119498,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
221,1392876,1121863,Black Box Warning,,,United States,,,,
224,1343869,93617,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
225,1343869,93617,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
227,1344999,675387,Black Box Warning,,,United States,,,,
231,1702682,1378030,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
236,1392880,1121867,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
242,1343888,139281,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
243,1343889,674347,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
245,1343316,446784,Black Box Warning,misuse,,United States,,,,EFO:0011049
246,1343316,446784,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
247,1343637,1543312,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
248,1343637,1543312,Black Box Warning,misuse,,United States,,,,EFO:0011049
249,1344610,675686,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
250,1343619,545956,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
252,1344141,56644,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
256,1343658,76963,Black Box Warning,misuse,,United States,,,,EFO:0011049
257,1343658,76963,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
258,1344899,675699,Black Box Warning,,,United States,,,,
261,1699873,1376138,Black Box Warning,,,United States,,,,
277,1344584,116349,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
279,1343623,598447,Black Box Warning,,,United States,,,,
283,1344353,444750,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
285,1344571,15086,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
286,1344571,15086,Black Box Warning,dermatological toxicity,,United States,,,,EFO:0011048
289,1343903,300022,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
290,1343903,300022,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
296,1702644,1339907,Black Box Warning,,,United States,,,,
313,1344003,674481,Black Box Warning,,,United States,,,,
317,1344452,61682,Black Box Warning,,,United States,,,,
322,1344122,18694,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
323,1344122,18694,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
324,1344122,18694,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
327,1390836,675782,Black Box Warning,,,United States,,,,
330,1344036,675579,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
337,1343349,11002,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
338,1343349,11002,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
339,1343344,674680,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
364,1343977,2832026,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
365,1343977,2832026,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
366,1343977,2832026,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
367,1343977,2832026,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
373,1343960,241,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
374,1343960,241,Black Box Warning,musculoskeletal toxicity,,United States,,,,EFO:0011055
375,1344441,210388,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
376,1344441,210388,Black Box Warning,musculoskeletal toxicity,,United States,,,,EFO:0011055
380,1344579,8633,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
381,1344579,8633,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
382,1344579,8633,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
383,1344579,8633,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
384,1343639,674732,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
385,1343967,467361,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
390,1698337,581843,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
391,1344388,674539,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
392,1343385,674583,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
393,1343138,1673803,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
396,1344368,641189,Black Box Warning,,,United States,,,,
400,1343314,674661,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
402,1343614,548124,Black Box Warning,,,United States,,,,
408,1344626,2261,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
410,1344626,2261,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
414,1702339,447955,Black Box Warning,misuse,,United States,,,,EFO:0011049
416,1343496,2335062,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
417,1343496,2335062,Black Box Warning,misuse,,United States,,,,EFO:0011049
442,1344970,72873,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
443,1344970,72873,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
444,1344970,72873,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
450,1343645,51182,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
454,1343409,5772,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
455,1343409,5772,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
464,1344474,405364,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
465,1344474,405364,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
466,1344474,405364,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
467,1344474,405364,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
468,1344475,84644,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
473,1344443,675493,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
474,1344443,675493,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
476,1344443,675493,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
480,1343685,674426,Black Box Warning,,,United States,,,,
481,1343998,446279,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
482,1343998,446279,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
484,1343749,564990,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
486,1343749,564990,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
487,1343749,564990,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
488,1435099,112090,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
492,1702485,1377908,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
495,1697230,675367,Black Box Warning,,,United States,,,,
499,1344689,545075,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
502,1343490,674507,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
505,1879208,161281,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
506,1938076,2197732,Black Box Warning,,,United States,,,,
507,1344146,675679,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
514,1344109,78902,Black Box Warning,misuse,,United States,,,,EFO:0011049
520,1343296,1926820,Black Box Warning,misuse,,United States,,,,EFO:0011049
530,1937947,29890,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
531,1937947,29890,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
532,1937947,29890,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
533,1344967,675131,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
534,1344967,675131,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
535,1344967,675131,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
536,1343952,674755,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
537,1343952,674755,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
538,1343952,674755,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
539,1343686,123693,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
540,1343686,123693,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
541,1343686,123693,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
544,1343993,390877,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
545,1343993,390877,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
546,1343993,390877,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
547,1344758,675813,Black Box Warning,,,United States,,,,
553,1343647,77652,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
554,1343647,77652,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
555,1343647,77652,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
558,1343648,674468,Black Box Warning,,,United States,,,,
565,1976817,1626776,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
566,1976817,1626776,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
570,1343204,674971,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
571,1344933,94571,Black Box Warning,,,United States,,,,
572,1344599,1377883,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
573,1344599,1377883,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
575,1344343,1927101,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
577,1344343,1927101,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
578,1344343,1927101,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
580,1343202,5638,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
591,1344351,1051125,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
593,1344690,462435,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
594,1344690,462435,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
595,1344600,2197611,Black Box Warning,,,United States,,,,
597,1343725,675680,Black Box Warning,,,United States,,,,
598,1344691,152751,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
600,1697108,1380293,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
601,1343212,674279,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
605,1976760,1626757,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
608,1390864,675788,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
621,1697541,1380942,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
623,1697541,1380942,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
625,1343468,2197562,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
631,1344228,74911,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
632,1344813,674610,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
633,1344299,2197277,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
634,2973287,2197802,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
637,1343838,2832013,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
638,1343838,2832013,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
642,1344692,674932,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
643,1344692,674932,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
649,1343162,1590760,Black Box Warning,,,United States,,,,
660,1344718,674273,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
661,1879128,1540481,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
668,1344327,27626,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
669,1344327,27626,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
670,1344327,27626,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
671,1344720,674381,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
672,1344720,674381,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
673,1344720,674381,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
674,1343232,674924,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
675,1343232,674924,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
676,1343232,674924,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
677,1344629,421038,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
678,1344629,421038,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
679,1344629,421038,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
686,1344566,675552,Black Box Warning,,,United States,,,,
690,1344694,674931,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
691,1344694,674931,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
692,1344694,674931,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
693,1343535,421334,Black Box Warning,misuse,,United States,,,,EFO:0011049
694,1343234,675371,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
705,1344314,26431,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
706,1344314,26431,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
707,1344314,26431,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
709,1343829,68607,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
712,1344572,1248731,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
713,1344572,1248731,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
714,1344572,1248731,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
715,1344572,1248731,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
718,1344847,390990,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
720,1392855,61945,Black Box Warning,,,United States,,,,
723,1343148,150451,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
725,1343148,150451,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
730,1343089,1376006,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
731,1343089,1376006,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
732,1343089,1376006,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
737,1343744,19915,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
738,1343744,19915,Black Box Warning,misuse,,United States,,,,EFO:0011049
739,1344809,30072,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
740,1344809,30072,Black Box Warning,misuse,,United States,,,,EFO:0011049
746,1344116,674781,Black Box Warning,misuse,,United States,,,,EFO:0011049
755,1344557,674773,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
759,1344735,82983,Black Box Warning,,,United States,,,,
763,1343956,624161,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
764,1343956,624161,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
767,1343752,635,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
770,1344076,419542,Black Box Warning,,,United States,,,,
775,1343603,675033,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
777,1343543,674805,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
783,1344555,16308,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
784,1344555,16308,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
785,1344555,16308,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
787,1344083,52087,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
790,1344542,345595,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
798,1344019,41644,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
801,1343900,1592407,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
802,1344751,83044,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
803,1344751,83044,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
817,1343260,1248733,Black Box Warning,,,United States,,,,
821,1343259,674408,Black Box Warning,,,United States,,,,
826,1344505,674934,Black Box Warning,,,United States,,,,
828,1344059,365284,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
829,1344059,365284,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
830,1344059,365284,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
831,1344771,674801,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
832,1344771,674801,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
833,1344771,674801,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
843,1344783,675524,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
844,1344060,1592405,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
845,1344060,1592405,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
849,3133112,2335505,Black Box Warning,,,United States,,,,
859,1390837,675784,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
872,1344273,3859,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
874,1343203,674937,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
876,1344316,2335118,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
879,1696310,1380714,Black Box Warning,,,United States,,,,
887,1343573,2197548,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
888,1343573,2197548,Black Box Warning,misuse,,United States,,,,EFO:0011049
895,1343809,699406,Black Box Warning,misuse,,United States,,,,EFO:0011049
896,1343809,699406,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
902,1344274,4730,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
903,1344274,4730,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
910,1343587,11674,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
911,1343587,11674,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
912,1343587,11674,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
915,1344956,1532645,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
919,1344229,674927,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
920,1344229,674927,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
922,1879133,1448219,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
923,1879133,1448219,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
924,1390866,675777,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
925,1344852,119640,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
926,1344852,119640,Black Box Warning,nephrotoxicity,,United States,,,,EFO:0011056
927,1344852,119640,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
928,1344016,13949,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
934,1344311,543658,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
935,1344680,2197716,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
936,1343733,250908,Black Box Warning,,,United States,,,,
937,1697116,1380301,Black Box Warning,,,United States,,,,
944,1343317,173,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
945,1343317,173,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
946,1343317,173,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
948,1344034,675617,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
951,1697475,1380877,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
960,1696371,1380774,Black Box Warning,,,United States,,,,
963,1343709,675613,Black Box Warning,,,United States,,,,
980,1344079,675076,Black Box Warning,,,United States,,,,
992,1343097,421066,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
993,1344312,2197385,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
994,1344312,2197385,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
995,1697260,675442,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
999,1344088,4941,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1006,1344095,13928,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1009,1343866,97867,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
1015,1344005,675703,Black Box Warning,,,United States,,,,
1021,1344111,255904,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1022,1344111,255904,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
1023,1344276,16591,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
1024,1344276,16591,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
1025,1344276,16591,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
1026,1344870,675075,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
1027,1344870,675075,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
1029,1344870,675075,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
1030,1344870,675075,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
1035,1344547,33986,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1036,1344547,33986,Black Box Warning,metabolic toxicity,,United States,,,,EFO:0011054
1037,1343308,38727,Black Box Warning,dermatological toxicity,,United States,,,,EFO:0011048
1043,1343218,675130,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1044,1343973,675399,Black Box Warning,immune system toxicity,,United States,,,,EFO:0011053
1047,1343440,93895,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1048,1343440,93895,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1049,1343323,63649,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
1051,1343323,63649,Black Box Warning,vascular toxicity,,United States,,,,EFO:0011062
1053,1343323,63649,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1070,1702639,1378002,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
1072,1343493,2197639,Black Box Warning,misuse,,United States,,,,EFO:0011049
1073,1343493,2197639,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
1078,1344167,2197422,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
1079,1343642,16654,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
1083,1343494,2224030,Black Box Warning,carcinogenicity,,United States,,,,EFO:0011046
1084,1344227,675129,Black Box Warning,misuse,,United States,,,,EFO:0011049
1085,1343074,189204,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1086,1343760,674777,Black Box Warning,misuse,,United States,,,,EFO:0011049
1087,1343236,1376008,Black Box Warning,misuse,,United States,,,,EFO:0011049
1091,1702537,1377932,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1092,1344484,10898,Black Box Warning,hematological toxicity,,United States,,,,EFO:0011051
1098,1343628,109797,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1101,1703520,59519,Black Box Warning,respiratory toxicity,,United States,,,,EFO:0011060
1109,1344270,1038355,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
1110,1699882,1376143,Black Box Warning,teratogenicity,,United States,,,,EFO:0009880
1128,1343434,699486,Black Box Warning,psychiatric toxicity,,United States,,,,EFO:0011059
1131,1343762,675138,Black Box Warning,hepatotoxicity,,United States,,,,EFO:0011052
1138,1344052,986494,Black Box Warning,gastrointestinal toxicity,,United States,,,,EFO:0011050
1139,1344052,986494,Black Box Warning,cardiotoxicity,,United States,,,,EFO:1001482
1140,1344052,986494,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
1141,1344328,34608,Black Box Warning,neurotoxicity,,United States,,,,EFO:0011057
