assay_param_id,assay_id,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments
3710946,1640165,immobilization_method,,,,Amine coupling,immobilization_method,,,,Amine coupling,
3710947,1640165,immobilization_ph,=,7.4,,,immobilization_ph,=,7.4,,,
3710948,1640165,immobilization_temperature,=,25.0,degree C,,immobilization_temperature,=,25.0,degree C,,
3710949,1640165,instrument,,,,Biacore 4000,instrument,,,,Biacore 4000,
3710950,1640165,protein_molecular_weight,=,54.7,kDa,,protein_molecular_weight,=,54.7,kDa,,
3710951,1640165,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3710952,1640165,reference1_fraction_active,=,40.0,%,,reference1_fraction_active,=,40.0,%,,
3710953,1640165,reference1_molecular_weight,=,455.95,g/mol,,reference1_molecular_weight,=,455.95,g/mol,,
3710954,1640165,reference1_name,,,,K4DD_Bayer_004,reference1_name,,,,K4DD_Bayer_004,
3710955,1640165,reference1_ru_max,=,18.0,RU,,reference1_ru_max,=,18.0,RU,,
3710956,1640165,regeneration_contact_time,=,30.0,s,,regeneration_contact_time,=,30.0,s,,
3710957,1640165,regeneration_ph,=,7.2,,,regeneration_ph,=,7.2,,,
3710958,1640165,regeneration_solution,,,,running buffer,regeneration_solution,,,,running buffer,
3710959,1640165,regeneration_stabilization_period,=,180.0,s,,regeneration_stabilization_period,=,180.0,s,,
3710960,1640165,sample_association_time,=,120.0,s,,sample_association_time,=,120.0,s,,
3710961,1640165,sample_buffer_composition,,,,"20 mM HEPES, 150 mM NaCl, 2 mM CaCl2, 0.05% Tween 20, 2% DMSO, pH 7.2",sample_buffer_composition,,,,"20 mM HEPES, 150 mM NaCl, 2 mM CaCl2, 0.05% Tween 20, 2% DMSO, pH 7.2",
3710962,1640165,sample_dissociation_time,=,300.0,s,,sample_dissociation_time,=,300.0,s,,
3710963,1640165,sample_flow_rate,=,30.0,uL/min,,sample_flow_rate,=,30.0,uL/min,,
3710964,1640165,sample_ph,=,7.2,,,sample_ph,=,7.2,,,
3710965,1640165,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3710966,1640165,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3710967,1640165,software,,,,Biacore 4000 Evaluation,software,,,,Biacore 4000 Evaluation,
3710968,1640165,target_density,=,2000.0,RU,,target_density,=,2000.0,RU,,
3710969,1640166,assay_method,,,,Radioligand,assay_method,,,,Radioligand,
3710970,1640166,expression_host,,,,Mammalian cells,expression_host,,,,Mammalian cells,
3710971,1640166,protein_modification,,,,None,protein_modification,,,,None,
3710972,1640166,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3710973,1640166,radioligand_koff,=,0.000833,s-1,,radioligand_koff,=,0.000833,s-1,,
3710974,1640166,radioligand_kon,=,6660000.0,M-1 s-1,,radioligand_kon,=,6660000.0,M-1 s-1,,
3710975,1640166,radioligand_name,,,,125I-triptorelin,radioligand_name,,,,125I-triptorelin,
3710976,1640166,regeneration_buffer_composition,,,,50 mM Tris-HCl + 5 mM MgCl2 + 0.05% BSA,regeneration_buffer_composition,,,,50 mM Tris-HCl + 5 mM MgCl2 + 0.05% BSA,
3710977,1640166,regeneration_ph,=,7.4,,,regeneration_ph,=,7.4,,,
3710978,1640166,regeneration_temperature,=,25.0,degree C,,regeneration_temperature,=,25.0,degree C,,
3710979,1640166,sample_buffer_composition,,,,50 mM Tris-HCl + 5 mM MgCl2 + 0.1% BSA,sample_buffer_composition,,,,50 mM Tris-HCl + 5 mM MgCl2 + 0.1% BSA,
3710980,1640166,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3710981,1640166,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3710982,1640167,assay_method,,,,Radioligand,assay_method,,,,Radioligand,
3710983,1640167,protein_mutation_type,,,,mutated protein,protein_mutation_type,,,,mutated protein,
3710984,1640167,radioligand_koff,=,0.004,s-1,,radioligand_koff,=,0.004,s-1,,
3710985,1640167,radioligand_kon,=,6583333.3,M-1 s-1,,radioligand_kon,=,6583333.3,M-1 s-1,,
3710986,1640167,radioligand_name,,,,3H-ZM241385,radioligand_name,,,,3H-ZM241385,
3710987,1640167,regeneration_buffer_composition,,,,50 mM Tris HCl,regeneration_buffer_composition,,,,50 mM Tris HCl,
3710988,1640167,regeneration_ph,=,7.4,,,regeneration_ph,=,7.4,,,
3710989,1640167,regeneration_temperature,=,22.0,degree C,,regeneration_temperature,=,22.0,degree C,,
3710990,1640167,sample_buffer_composition,,,,50 mM Tris HCl,sample_buffer_composition,,,,50 mM Tris HCl,
3710991,1640167,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3710992,1640167,sample_temperature,=,22.0,degree C,,sample_temperature,=,22.0,degree C,,
3710993,1640168,assay_method,,,,SPR,assay_method,,,,SPR,
3710994,1640168,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3710995,1640168,expression_host,,,,Insect cells,expression_host,,,,Insect cells,
3710996,1640168,fitting_model,,,,01:01,fitting_model,,,,01:01,
3710997,1640168,immobilization_buffer_composition,,,,"PBS, 0.05% EDTA, 5% DMSO, 0.1% n-dodecyl-beta-D-maltoside",immobilization_buffer_composition,,,,"PBS, 0.05% EDTA, 5% DMSO, 0.1% n-dodecyl-beta-D-maltoside",
3710998,1640168,immobilization_chip_used,,,,NTA,immobilization_chip_used,,,,NTA,
3710999,1640168,immobilization_contact_time,=,600.0,s,,immobilization_contact_time,=,600.0,s,,
3711000,1640168,immobilization_flow_rate,=,5.0,uL/min,,immobilization_flow_rate,=,5.0,uL/min,,
3711001,1640168,immobilization_method,,,,6xHIS/NTA coupling,immobilization_method,,,,6xHIS/NTA coupling,
3711002,1640168,immobilization_ph,=,7.4,,,immobilization_ph,=,7.4,,,
3711003,1640168,immobilization_temperature,=,10.0,degree C,,immobilization_temperature,=,10.0,degree C,,
3711004,1640168,instrument,,,,Biacore T200,instrument,,,,Biacore T200,
3711005,1640168,protein_modification,,,,"A2A-StaR2 construct. Thermostabilised receptor, 3-316 amino acids, mutations A54L/T88A/K122A/N154A/V239A/R107A/L202A/L235A/S277A, C-ter tag 3A-10H",protein_modification,,,,"A2A-StaR2 construct. Thermostabilised receptor, 3-316 amino acids, mutations A54L/T88A/K122A/N154A/V239A/R107A/L202A/L235A/S277A, C-ter tag 3A-10H",
3711006,1640168,protein_molecular_weight,=,35.986,kDa,,protein_molecular_weight,=,35.99,kDa,,
3711007,1640168,protein_mutation_type,,,,mutated protein,protein_mutation_type,,,,mutated protein,
3711008,1640168,reference1_fraction_active,=,70.0,%,,reference1_fraction_active,=,70.0,%,,
3711009,1640168,reference1_molecular_weight,=,464.0,g/mol,,reference1_molecular_weight,=,464.0,g/mol,,
3711010,1640168,reference1_name,,,,XAC,reference1_name,,,,XAC,
3711011,1640168,reference1_ru_max,=,30.0,RU,,reference1_ru_max,=,30.0,RU,,
3711012,1640168,regeneration_comment,,,,No forced regeneration employed,regeneration_comment,,,,No forced regeneration employed,
3711013,1640168,regeneration_contact_time,=,0.0,s,,regeneration_contact_time,=,0.0,s,,
3711014,1640168,regeneration_ph,=,1.0,,,regeneration_ph,=,1.0,,,
3711015,1640168,regeneration_solution,,,,none,regeneration_solution,,,,none,
3711016,1640168,regeneration_stabilization_period,=,0.0,s,,regeneration_stabilization_period,=,0.0,s,,
3711017,1640168,sample_association_time,=,60.0,s,,sample_association_time,=,60.0,s,,
3711018,1640168,sample_buffer_composition,,,,"PBS, 50uM EDTA, 0.1% DDM, 5% DMSO",sample_buffer_composition,,,,"PBS, 50uM EDTA, 0.1% DDM, 5% DMSO",
3711019,1640168,sample_dissociation_time,=,300.0,s,,sample_dissociation_time,=,300.0,s,,
3711020,1640168,sample_flow_rate,=,30.0,uL/min,,sample_flow_rate,=,30.0,uL/min,,
3711021,1640168,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3711022,1640168,sample_temperature,=,10.0,degree C,,sample_temperature,=,10.0,degree C,,
3711023,1640168,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3711024,1640168,software,,,,Biacore T200 Evaluation,software,,,,Biacore T200 Evaluation,
3711025,1640168,target_density,=,5000.0,RU,,target_density,=,5000.0,RU,,
3711026,1640169,assay_method,,,,SPR,assay_method,,,,SPR,
3711027,1640169,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3711028,1640169,fitting_model,,,,1:1 + mass transport,fitting_model,,,,1:1 + mass transport,
3711029,1640169,fitting_parameter_offset,,,,constant,fitting_parameter_offset,,,,constant,
3711030,1640169,fitting_parameter_rmax,,,,global,fitting_parameter_rmax,,,,global,
3711031,1640169,immobilization_buffer_composition,,,,"HBSN 7,4",immobilization_buffer_composition,,,,"HBSN 7,4",
3711032,1640169,immobilization_chip_used,,,,CM5,immobilization_chip_used,,,,CM5,
3711033,1640169,immobilization_contact_time,=,60.0,s,,immobilization_contact_time,=,60.0,s,,
3711034,1640169,immobilization_flow_rate,=,30.0,uL/min,,immobilization_flow_rate,=,30.0,uL/min,,
3711035,1640169,immobilization_method,,,,Amine coupling,immobilization_method,,,,Amine coupling,
3711036,1640169,immobilization_ph,=,4.5,,,immobilization_ph,=,4.5,,,
3711037,1640169,immobilization_temperature,=,25.0,degree C,,immobilization_temperature,=,25.0,degree C,,
3711038,1640169,instrument,,,,Biacore 4000,instrument,,,,Biacore 4000,
3711039,1640169,protein_molecular_weight,=,36.68,kDa,,protein_molecular_weight,=,36.68,kDa,,
3711040,1640169,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3711041,1640169,reference1_fraction_active,=,45.0,%,,reference1_fraction_active,=,45.0,%,,
3711042,1640169,reference1_molecular_weight,=,532.6,g/mol,,reference1_molecular_weight,=,532.6,g/mol,,
3711043,1640169,reference1_name,,,,"2-[[2-[[1-[2-(dimethylamino)acetyl]-5-methoxy-indolin-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methyl-benzamide",reference1_name,,,,"2-[[2-[[1-[2-(dimethylamino)acetyl]-5-methoxy-indolin-6-yl]amino]-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino]-6-fluoro-N-methyl-benzamide",
3711044,1640169,reference1_ru_max,=,15.0,RU,,reference1_ru_max,=,15.0,RU,,
3711045,1640169,regeneration_contact_time,=,30.0,s,,regeneration_contact_time,=,30.0,s,,
3711046,1640169,regeneration_ph,=,7.5,,,regeneration_ph,=,7.5,,,
3711047,1640169,regeneration_solution,,,,sample buffer,regeneration_solution,,,,sample buffer,
3711048,1640169,regeneration_stabilization_period,=,0.0,s,,regeneration_stabilization_period,=,0.0,s,,
3711049,1640169,sample_association_time,=,120.0,s,,sample_association_time,=,120.0,s,,
3711050,1640169,sample_buffer_composition,,,,"20 mM Tris pH 7.5, 150 mM NaCl, 2 mM MgCl2, 0,1mM EDTA, 1mM DTT, 0.05% Tween,  2% DMSO",sample_buffer_composition,,,,"20 mM Tris pH 7.5, 150 mM NaCl, 2 mM MgCl2, 0,1mM EDTA, 1mM DTT, 0.05% Tween,  2% DMSO",
3711051,1640169,sample_dissociation_time,=,600.0,s,,sample_dissociation_time,=,600.0,s,,
3711052,1640169,sample_flow_rate,=,30.0,uL/min,,sample_flow_rate,=,30.0,uL/min,,
3711053,1640169,sample_ph,=,7.5,,,sample_ph,=,7.5,,,
3711054,1640169,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3711055,1640169,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3711056,1640169,software,,,,Biacore 4000 Evaluation,software,,,,Biacore 4000 Evaluation,
3711057,1640169,target_density,=,1500.0,RU,,target_density,=,1500.0,RU,,
3711058,1640170,assay_method,,,,SPR,assay_method,,,,SPR,
3711059,1640170,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3711060,1640170,expression_host,,,,Insect cells,expression_host,,,,Insect cells,
3711061,1640170,fitting_model,,,,01:01,fitting_model,,,,01:01,
3711062,1640170,immobilization_buffer_composition,,,,"PBS, 0.05% EDTA, 5% DMSO",immobilization_buffer_composition,,,,"PBS, 0.05% EDTA, 5% DMSO",
3711063,1640170,immobilization_chip_used,,,,NTA,immobilization_chip_used,,,,NTA,
3711064,1640170,immobilization_contact_time,=,600.0,s,,immobilization_contact_time,=,600.0,s,,
3711065,1640170,immobilization_flow_rate,=,5.0,uL/min,,immobilization_flow_rate,=,5.0,uL/min,,
3711066,1640170,immobilization_method,,,,6xHIS/NTA coupling,immobilization_method,,,,6xHIS/NTA coupling,
3711067,1640170,immobilization_ph,=,7.4,,,immobilization_ph,=,7.4,,,
3711068,1640170,immobilization_temperature,=,10.0,degree C,,immobilization_temperature,=,10.0,degree C,,
3711069,1640170,instrument,,,,Biacore T200,instrument,,,,Biacore T200,
3711070,1640170,protein_modification,,,,"A2A-StaR2 construct in rHDLs membrane discs. Thermostabilised receptor, 3-316 amino acids, mutations A54L/T88A/K122A/N154A/V239A/R107A/L202A/L235A/S277A, C-ter tag 3A-10H",protein_modification,,,,"A2A-StaR2 construct in rHDLs membrane discs. Thermostabilised receptor, 3-316 amino acids, mutations A54L/T88A/K122A/N154A/V239A/R107A/L202A/L235A/S277A, C-ter tag 3A-10H",
3711071,1640170,protein_molecular_weight,=,35.986,kDa,,protein_molecular_weight,=,35.99,kDa,,
3711072,1640170,protein_mutation_type,,,,mutated protein,protein_mutation_type,,,,mutated protein,
3711073,1640170,reference1_fraction_active,=,68.0,%,,reference1_fraction_active,=,68.0,%,,
3711074,1640170,reference1_molecular_weight,=,464.0,g/mol,,reference1_molecular_weight,=,464.0,g/mol,,
3711075,1640170,reference1_name,,,,XAC,reference1_name,,,,XAC,
3711076,1640170,reference1_ru_max,=,20.0,RU,,reference1_ru_max,=,20.0,RU,,
3711077,1640170,regeneration_comment,,,,No forced regeneration employed,regeneration_comment,,,,No forced regeneration employed,
3711078,1640170,regeneration_contact_time,=,0.0,s,,regeneration_contact_time,=,0.0,s,,
3711079,1640170,regeneration_ph,=,1.0,,,regeneration_ph,=,1.0,,,
3711080,1640170,regeneration_solution,,,,none,regeneration_solution,,,,none,
3711081,1640170,regeneration_stabilization_period,=,0.0,s,,regeneration_stabilization_period,=,0.0,s,,
3711082,1640170,sample_association_time,=,60.0,s,,sample_association_time,=,60.0,s,,
3711083,1640170,sample_buffer_composition,,,,"PBS, 50uM EDTA, 5% DMSO",sample_buffer_composition,,,,"PBS, 50uM EDTA, 5% DMSO",
3711084,1640170,sample_dissociation_time,=,300.0,s,,sample_dissociation_time,=,300.0,s,,
3711085,1640170,sample_flow_rate,=,30.0,uL/min,,sample_flow_rate,=,30.0,uL/min,,
3711086,1640170,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3711087,1640170,sample_temperature,=,10.0,degree C,,sample_temperature,=,10.0,degree C,,
3711088,1640170,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3711089,1640170,software,,,,Biacore T200 Evaluation,software,,,,Biacore T200 Evaluation,
3711090,1640170,target_density,=,4000.0,RU,,target_density,=,4000.0,RU,,
3711091,1640171,assay_comment,,,,Multi Cycle Kinetics. 1000RU Immobolization Density. UnPhosphorylated AuroraA,assay_comment,,,,Multi Cycle Kinetics. 1000RU Immobolization Density. UnPhosphorylated AuroraA,
3711092,1640171,assay_method,,,,SPR,assay_method,,,,SPR,
3711093,1640171,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3711094,1640171,fitting_model,,,,01:01,fitting_model,,,,01:01,
3711095,1640171,fitting_parameter_mass_transfer,,,,global,fitting_parameter_mass_transfer,,,,global,
3711096,1640171,fitting_parameter_offset,,,,local,fitting_parameter_offset,,,,local,
3711097,1640171,fitting_parameter_rmax,,,,global,fitting_parameter_rmax,,,,global,
3711098,1640171,immobilization_buffer_composition,,,,PBS Buffer Solution (From 10x Stock); 1mM DTT; 0.05% Tween-20,immobilization_buffer_composition,,,,PBS Buffer Solution (From 10x Stock); 1mM DTT; 0.05% Tween-20,
3711099,1640171,immobilization_chip_used,,,,CM5,immobilization_chip_used,,,,CM5,
3711100,1640171,immobilization_contact_time,=,420.0,s,,immobilization_contact_time,=,420.0,s,,
3711101,1640171,immobilization_flow_rate,=,10.0,uL/min,,immobilization_flow_rate,=,10.0,uL/min,,
3711102,1640171,immobilization_method,,,,Amine coupling,immobilization_method,,,,Amine coupling,
3711103,1640171,immobilization_ph,=,7.4,,,immobilization_ph,=,7.4,,,
3711104,1640171,immobilization_temperature,=,25.0,degree C,,immobilization_temperature,=,25.0,degree C,,
3711105,1640171,instrument,,,,Biacore T200,instrument,,,,Biacore T200,
3711106,1640171,preparation_reference_surface,,,,The chip was primed for amine coupling using pre-conditioning solutions of: 50mM NaOH. 100mM HCl. 0.5% SDS,preparation_reference_surface,,,,The chip was primed for amine coupling using pre-conditioning solutions of: 50mM NaOH. 100mM HCl. 0.5% SDS,
3711107,1640171,protein_modification,,,,None,protein_modification,,,,None,
3711108,1640171,protein_molecular_weight,=,32869.7,kDa,,protein_molecular_weight,=,32869.7,kDa,,
3711109,1640171,protein_mutation_type,,,,native protein,protein_mutation_type,,,,native protein,
3711110,1640171,reference1_fraction_active,=,18.4,%,,reference1_fraction_active,=,18.4,%,,
3711111,1640171,reference1_molecular_weight,=,513.9,g/mol,,reference1_molecular_weight,=,513.9,g/mol,,
3711112,1640171,reference1_name,,,,N-[4-[[6-methoxy-7-(3-morpholinopropoxy)quinazolin-4-yl]amino]phenyl]benzamide,reference1_name,,,,N-[4-[[6-methoxy-7-(3-morpholinopropoxy)quinazolin-4-yl]amino]phenyl]benzamide,
3711113,1640171,reference1_ru_max,=,10.3,RU,,reference1_ru_max,=,10.3,RU,,
3711114,1640171,regeneration_contact_time,=,30.0,s,,regeneration_contact_time,=,30.0,s,,
3711115,1640171,regeneration_ph,=,9.0,,,regeneration_ph,=,9.0,,,
3711116,1640171,regeneration_solution,,,,10mM Glycine,regeneration_solution,,,,10mM Glycine,
3711117,1640171,regeneration_stabilization_period,=,0.0,s,,regeneration_stabilization_period,=,0.0,s,,
3711118,1640171,sample_association_time,=,90.0,s,,sample_association_time,=,90.0,s,,
3711119,1640171,sample_buffer_composition,,,,50mM Tris; 150mM NaCl; 10mM MgCl(II); 1mM TCEP; 0.02% Tween-20; 2% DMSO,sample_buffer_composition,,,,50mM Tris; 150mM NaCl; 10mM MgCl(II); 1mM TCEP; 0.02% Tween-20; 2% DMSO,
3711120,1640171,sample_dissociation_time,=,1000.0,s,,sample_dissociation_time,=,1000.0,s,,
3711121,1640171,sample_flow_rate,=,100.0,uL/min,,sample_flow_rate,=,100.0,uL/min,,
3711122,1640171,sample_ph,=,7.4,,,sample_ph,=,7.4,,,
3711123,1640171,sample_temperature,=,25.0,degree C,,sample_temperature,=,25.0,degree C,,
3711124,1640171,setup_type,,,,Standard (immobilized protein-target),setup_type,,,,Standard (immobilized protein-target),
3711125,1640171,software,,,,Biacore T200 Evaluation,software,,,,Biacore T200 Evaluation,
3711126,1640171,target_density,=,1176.0,RU,,target_density,=,1176.0,RU,,
3711127,1640172,assay_method,,,,SPR,assay_method,,,,SPR,
3711128,1640172,data_collection_rate,,10.0,Hz,,data_collection_rate,,10.0,Hz,,
3711129,1640172,expression_host,,,,Insect cells,expression_host,,,,Insect cells,
3711130,1640172,fitting_model,,,,01:01,fitting_model,,,,01:01,
3711131,1640172,immobilization_buffer_composition,,,,"Hepes 10mM pH 7.5, 150 mM NaCl, 0.05mM EDTA, 5% DMSO, 0.05% LMNG, 0.0025% CHS",immobilization_buffer_composition,,,,"Hepes 10mM pH 7.5, 150 mM NaCl, 0.05mM EDTA, 5% DMSO, 0.05% LMNG, 0.0025% CHS",
3711132,1640172,immobilization_chip_used,,,,NTA,immobilization_chip_used,,,,NTA,
3711133,1640172,immobilization_contact_time,=,600.0,s,,immobilization_contact_time,=,600.0,s,,
3711134,1640172,immobilization_flow_rate,=,5.0,uL/min,,immobilization_flow_rate,=,5.0,uL/min,,
3711135,1640172,immobilization_method,,,,6xHIS/NTA coupling,immobilization_method,,,,6xHIS/NTA coupling,
3711136,1640172,immobilization_ph,=,7.5,,,immobilization_ph,=,7.5,,,
3711137,1640172,immobilization_temperature,=,10.0,degree C,,immobilization_temperature,=,10.0,degree C,,
3711138,1640172,instrument,,,,Biacore T200,instrument,,,,Biacore T200,
