molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score
88,288.44,1.68,4.0,0.0,22.61,4.0,N,0.0,,9.06,1.47,-0.23,BASE,288.44,1.0,21.0,0.84,288.2314,C17H28N4,4.0,0.0,0.0,-1.18
89,498.38,3.35,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.86,3.64,NEUTRAL,498.38,3.0,32.0,0.54,497.1063,C23H24BrN5O3,8.0,2.0,0.0,-0.76
90,259.26,0.9,5.0,1.0,84.82,4.0,N,0.0,6.33,,1.75,0.7,ACID,259.26,2.0,19.0,0.83,259.0957,C13H13N3O3,6.0,1.0,0.0,-1.04
91,231.21,0.12,5.0,1.0,84.82,2.0,N,0.0,6.33,,0.61,-0.45,ACID,231.21,2.0,17.0,0.74,231.0644,C11H9N3O3,6.0,1.0,0.0,-1.27
92,417.81,3.5,6.0,1.0,97.96,2.0,N,0.0,6.33,,4.29,3.23,ACID,417.81,5.0,30.0,0.44,417.0516,C22H12ClN3O4,7.0,1.0,0.0,-0.76
93,576.42,3.53,9.0,1.0,106.17,5.0,N,1.0,,7.24,4.54,4.32,NEUTRAL,576.42,3.0,33.0,0.28,576.0441,C22H21IN6O3S,9.0,2.0,1.0,-1.28
94,524.68,2.98,8.0,3.0,104.14,5.0,N,1.0,-0.03,15.05,5.28,5.23,ZWITTERION,524.68,3.0,36.0,0.15,524.1777,C24H28N8O2S2,10.0,3.0,1.0,-1.3
95,274.41,1.29,4.0,0.0,22.61,4.0,N,0.0,,9.18,1.03,-0.8,BASE,274.41,1.0,20.0,0.83,274.2157,C16H26N4,4.0,0.0,0.0,-1.05
96,274.41,1.29,4.0,0.0,22.61,4.0,N,0.0,,9.18,1.03,-0.79,BASE,274.41,1.0,20.0,0.83,274.2157,C16H26N4,4.0,0.0,0.0,-1.21
97,383.41,1.78,8.0,1.0,106.95,4.0,N,0.0,,7.24,1.65,1.43,NEUTRAL,383.41,3.0,28.0,0.73,383.1594,C19H21N5O4,9.0,2.0,0.0,-1.29
98,427.46,1.16,9.0,1.0,120.11,6.0,N,0.0,,7.24,1.82,1.6,NEUTRAL,427.46,2.0,31.0,0.41,427.1856,C21H25N5O5,10.0,2.0,0.0,-0.38
99,435.48,2.02,8.0,1.0,106.34,5.0,N,0.0,,7.24,2.39,2.16,NEUTRAL,435.48,3.0,32.0,0.61,435.1907,C23H25N5O4,9.0,2.0,0.0,-0.56
100,447.5,2.32,8.0,1.0,110.88,6.0,N,0.0,,7.24,2.67,2.45,NEUTRAL,447.5,3.0,33.0,0.45,447.1907,C24H25N5O4,9.0,2.0,0.0,-0.71
101,443.51,3.34,7.0,1.0,93.81,4.0,N,0.0,,7.24,3.58,3.35,NEUTRAL,443.51,4.0,33.0,0.52,443.1957,C25H25N5O3,8.0,2.0,0.0,-1.01
102,465.54,3.91,8.0,2.0,137.86,5.0,N,0.0,-12.17,14.51,5.04,5.17,ZWITTERION,465.54,3.0,33.0,0.15,465.1695,C21H23N9O2S,11.0,2.0,1.0,-0.84
103,441.92,2.93,7.0,1.0,93.81,5.0,N,0.0,,7.24,3.18,2.95,NEUTRAL,441.92,3.0,31.0,0.61,441.1568,C22H24ClN5O3,8.0,2.0,0.0,-1.18
104,476.56,3.33,9.0,1.0,106.17,6.0,N,0.0,,7.24,4.12,3.89,NEUTRAL,476.56,3.0,34.0,0.33,476.1631,C24H24N6O3S,9.0,2.0,0.0,-0.79
105,555.43,2.92,8.0,2.0,122.91,7.0,N,1.0,13.69,7.24,3.06,2.83,NEUTRAL,555.43,3.0,36.0,0.34,554.1277,C25H27BrN6O4,10.0,3.0,1.0,-0.95
106,244.2,2.06,5.0,3.0,90.9,0.0,N,0.0,7.24,,2.66,2.24,NEUTRAL,244.2,3.0,18.0,0.32,244.0372,C13H8O5,5.0,3.0,0.0,1.11
107,196.21,2.95,2.0,0.0,30.21,0.0,Y,0.0,,,2.93,2.93,,196.21,3.0,15.0,0.41,196.0524,C13H8O2,2.0,0.0,0.0,-0.02
108,228.2,2.36,4.0,2.0,70.67,0.0,N,0.0,7.89,,2.97,2.85,NEUTRAL,228.2,3.0,17.0,0.35,228.0423,C13H8O4,4.0,2.0,0.0,0.77
109,228.2,2.36,4.0,2.0,70.67,0.0,N,0.0,7.44,,2.32,2.04,NEUTRAL,228.2,3.0,17.0,0.35,228.0423,C13H8O4,4.0,2.0,0.0,0.5
110,260.2,1.77,6.0,4.0,111.13,0.0,N,0.0,7.28,,1.71,1.29,NEUTRAL,260.2,3.0,19.0,0.28,260.0321,C13H8O6,6.0,4.0,0.0,0.67
111,291.73,2.85,3.0,1.0,59.3,4.0,N,0.0,3.83,,3.33,0.08,ACID,313.72,2.0,20.0,0.88,291.0662,C15H13ClNNaO3,4.0,1.0,0.0,-0.65
112,423.47,1.96,8.0,1.0,103.04,6.0,N,0.0,,7.24,2.25,2.03,NEUTRAL,423.47,3.0,31.0,0.64,423.1907,C22H25N5O4,9.0,2.0,0.0,-1.18
114,895.1,5.47,14.0,1.0,155.9,3.0,N,3.0,13.84,,3.67,3.67,NEUTRAL,895.1,0.0,64.0,0.16,894.4766,C50H70O14,14.0,1.0,3.0,2.45
115,162.24,1.85,2.0,0.0,16.13,1.0,Y,0.0,,8.58,1.16,-0.04,BASE,162.24,1.0,12.0,0.63,162.1157,C10H14N2,2.0,0.0,0.0,-0.41
116,148.21,1.51,2.0,1.0,24.92,1.0,Y,0.0,,9.92,0.78,-1.67,BASE,148.21,1.0,11.0,0.65,148.1,C9H12N2,2.0,1.0,0.0,-0.09
117,617.7,3.62,10.0,1.0,134.33,12.0,N,1.0,13.88,,2.53,2.53,NEUTRAL,617.7,2.0,44.0,0.38,617.2948,C31H43N3O10,13.0,1.0,2.0,-0.65
118,631.72,3.87,10.0,1.0,134.33,13.0,N,1.0,,,2.98,2.98,NEUTRAL,631.72,2.0,45.0,0.35,631.3105,C32H45N3O10,13.0,1.0,2.0,-0.54
119,617.7,3.62,10.0,1.0,134.33,13.0,N,1.0,,,2.69,2.69,NEUTRAL,617.7,2.0,44.0,0.36,617.2948,C31H43N3O10,13.0,1.0,2.0,-0.62
120,288.4,0.87,4.0,1.0,48.47,3.0,N,0.0,,8.89,0.34,-1.18,BASE,288.4,1.0,21.0,0.9,288.195,C16H24N4O,5.0,1.0,0.0,-1.2
121,260.38,0.95,4.0,1.0,31.4,4.0,N,0.0,,10.93,0.65,-2.5,BASE,260.38,1.0,19.0,0.87,260.2001,C15H24N4,4.0,1.0,0.0,-1.02
122,260.39,0.95,4.0,1.0,31.4,4.0,N,0.0,,10.93,0.65,-2.52,BASE,260.39,1.0,19.0,0.87,260.2001,C15H24N4,4.0,1.0,0.0,-0.84
123,246.19,2.5,4.0,2.0,70.67,0.0,N,0.0,7.83,,3.11,2.98,NEUTRAL,246.19,3.0,18.0,0.36,246.0328,C13H7FO4,4.0,2.0,0.0,0.32
124,297.09,3.66,4.0,2.0,70.67,0.0,N,0.0,7.42,,3.53,3.24,NEUTRAL,297.09,3.0,19.0,0.38,295.9643,C13H6Cl2O4,4.0,2.0,0.0,0.26
125,260.22,2.8,4.0,2.0,70.67,0.0,N,0.0,7.94,,3.62,3.51,NEUTRAL,260.22,3.0,19.0,0.37,260.0485,C14H9FO4,4.0,2.0,0.0,0.45
126,261.23,1.56,6.0,6.0,113.18,1.0,N,1.0,8.79,2.55,1.45,1.43,NEUTRAL,261.23,2.0,19.0,0.34,261.0637,C13H11NO5,6.0,6.0,1.0,0.66
127,244.2,1.72,5.0,4.0,97.99,0.0,N,0.0,7.48,,1.89,1.6,NEUTRAL,244.2,2.0,18.0,0.45,244.0372,C13H8O5,5.0,4.0,0.0,0.66
128,264.18,2.64,4.0,2.0,70.67,0.0,N,0.0,7.42,,2.6,2.31,NEUTRAL,264.18,3.0,19.0,0.37,264.0234,C13H6F2O4,4.0,2.0,0.0,0.04
129,246.19,2.5,4.0,2.0,70.67,0.0,N,0.0,7.71,,2.46,2.29,NEUTRAL,246.19,3.0,18.0,0.36,246.0328,C13H7FO4,4.0,2.0,0.0,0.12
130,358.52,4.09,3.0,1.0,38.69,2.0,N,0.0,,,2.76,2.76,NEUTRAL,358.52,0.0,26.0,0.76,358.2508,C23H34O3,3.0,1.0,0.0,2.54
131,342.48,4.24,3.0,0.0,43.37,2.0,N,0.0,,,3.81,3.81,NEUTRAL,342.48,0.0,25.0,0.75,342.2195,C22H30O3,3.0,0.0,0.0,2.29
132,260.2,1.77,6.0,4.0,111.13,0.0,N,0.0,7.32,,2.36,1.98,NEUTRAL,260.2,3.0,19.0,0.28,260.0321,C13H8O6,6.0,4.0,0.0,1.06
133,617.7,3.48,10.0,1.0,134.33,11.0,N,1.0,,,2.58,2.58,NEUTRAL,617.7,2.0,44.0,0.4,617.2948,C31H43N3O10,13.0,1.0,2.0,-0.68
134,603.67,3.23,10.0,1.0,134.33,10.0,N,1.0,13.91,,2.01,2.01,NEUTRAL,603.67,2.0,43.0,0.43,603.2792,C30H41N3O10,13.0,1.0,2.0,-0.6
135,630.73,4.61,10.0,0.0,122.3,16.0,N,1.0,,,3.99,3.99,NEUTRAL,630.73,2.0,45.0,0.19,630.3152,C33H46N2O10,12.0,0.0,2.0,-0.34
136,658.79,5.39,10.0,0.0,122.3,18.0,N,2.0,,,4.88,4.88,NEUTRAL,658.79,2.0,47.0,0.15,658.3465,C35H50N2O10,12.0,0.0,3.0,-0.32
138,546.57,2.27,10.0,0.0,122.3,10.0,N,1.0,,,1.06,1.06,NEUTRAL,546.57,2.0,39.0,0.41,546.2213,C27H34N2O10,12.0,0.0,2.0,-0.36
139,659.78,4.79,10.0,1.0,134.33,17.0,N,1.0,,,4.06,4.06,NEUTRAL,659.78,2.0,47.0,0.24,659.3418,C34H49N3O10,13.0,1.0,2.0,-0.52
140,771.0,8.51,10.0,0.0,122.3,26.0,N,2.0,,,8.43,8.43,NEUTRAL,771.0,2.0,55.0,0.07,770.4717,C43H66N2O10,12.0,0.0,3.0,-0.28
141,307.73,2.03,4.0,2.0,79.53,5.0,N,0.0,3.66,,2.05,-1.27,ACID,307.73,2.0,21.0,0.83,307.0611,C15H14ClNO4,5.0,2.0,0.0,-0.42
142,673.12,3.98,11.0,0.0,131.53,13.0,N,2.0,,,3.19,3.19,NEUTRAL,673.12,3.0,47.0,0.24,672.2086,C33H37ClN2O11,13.0,0.0,2.0,-0.75
143,656.66,3.47,11.0,0.0,131.53,13.0,N,2.0,,,2.72,2.72,NEUTRAL,656.66,3.0,47.0,0.25,656.2381,C33H37FN2O11,13.0,0.0,2.0,-0.8
144,328.5,5.07,2.0,0.0,26.3,2.0,N,1.0,,,4.47,4.47,NEUTRAL,328.5,0.0,24.0,0.71,328.2402,C22H32O2,2.0,0.0,1.0,2.15
145,358.57,5.49,2.0,1.0,29.46,2.0,N,1.0,,,4.65,4.65,NEUTRAL,358.57,0.0,26.0,0.66,358.2872,C24H38O2,2.0,1.0,1.0,2.64
146,361.37,1.54,6.0,1.0,75.01,2.0,N,0.0,5.29,6.16,0.51,-0.47,ACID,361.37,2.0,26.0,0.87,361.1438,C18H20FN3O4,7.0,1.0,0.0,-0.21
147,232.24,1.42,4.0,1.0,72.19,2.0,N,0.0,4.37,6.06,0.79,-0.45,ACID,232.24,2.0,17.0,0.85,232.0848,C12H12N2O3,5.0,1.0,0.0,-0.98
148,302.19,1.31,8.0,4.0,141.34,0.0,N,0.0,5.54,,2.32,-0.53,ACID,302.19,4.0,22.0,0.22,302.0063,C14H6O8,8.0,4.0,0.0,1.07
149,274.23,2.08,6.0,4.0,111.13,0.0,N,0.0,7.36,,2.87,2.52,NEUTRAL,274.23,3.0,20.0,0.28,274.0477,C14H10O6,6.0,4.0,0.0,1.15
150,614.69,3.83,10.0,0.0,122.3,11.0,N,1.0,,,3.18,3.18,NEUTRAL,614.69,2.0,44.0,0.35,614.2839,C32H42N2O10,12.0,0.0,2.0,-0.54
151,602.68,3.68,10.0,0.0,122.3,13.0,N,1.0,,,3.2,3.2,NEUTRAL,602.68,2.0,43.0,0.31,602.2839,C31H42N2O10,12.0,0.0,2.0,-0.47
152,315.35,-0.03,5.0,1.0,108.82,4.0,N,0.0,3.19,,-0.01,-3.46,ACID,315.35,0.0,21.0,0.58,315.0777,C13H17NO6S,7.0,1.0,0.0,1.06
153,377.39,2.51,5.0,2.0,74.57,6.0,N,0.0,5.39,10.33,-0.14,-0.14,ZWITTERION,377.39,2.0,27.0,0.81,377.1551,C19H21F2N3O3,6.0,2.0,0.0,-0.6
154,666.79,7.22,6.0,0.0,58.44,13.0,N,2.0,,8.31,7.31,6.34,NEUTRAL,666.79,4.0,47.0,0.09,666.2652,C36H38F4N4O2S,6.0,0.0,2.0,-1.74
155,1081.39,,,,,,,,,,,,,1081.39,,,,1080.6498,C60H92N2O15,,,,
156,744.93,1.77,10.0,7.0,251.67,23.0,N,2.0,3.52,9.99,0.03,0.03,ZWITTERION,744.93,1.0,53.0,0.06,744.4534,C37H60N8O8,16.0,8.0,3.0,-0.04
157,687.83,5.52,10.0,0.0,125.54,18.0,N,2.0,,,4.71,4.71,NEUTRAL,687.83,2.0,49.0,0.18,687.3731,C36H53N3O10,13.0,0.0,3.0,-0.51
158,659.78,4.74,10.0,0.0,125.54,16.0,N,1.0,,,3.83,3.83,NEUTRAL,659.78,2.0,47.0,0.25,659.3418,C34H49N3O10,13.0,0.0,2.0,-0.6
159,574.63,3.05,10.0,0.0,122.3,12.0,N,1.0,,,2.21,2.21,NEUTRAL,574.63,2.0,41.0,0.35,574.2526,C29H38N2O10,12.0,0.0,2.0,-0.42
160,631.72,3.96,10.0,0.0,125.54,14.0,N,1.0,,,2.94,2.94,NEUTRAL,631.72,2.0,45.0,0.3,631.3105,C32H45N3O10,13.0,0.0,2.0,-0.67
161,603.67,3.18,10.0,0.0,125.54,12.0,N,1.0,,,1.89,1.89,NEUTRAL,603.67,2.0,43.0,0.36,603.2792,C30H41N3O10,13.0,0.0,2.0,-0.68
162,713.74,3.98,13.0,1.0,162.02,14.0,N,2.0,12.93,,2.5,2.5,NEUTRAL,713.74,3.0,51.0,0.26,713.2796,C35H43N3O13,16.0,1.0,2.0,-0.65
