record_id,molregno,doc_id,compound_key,compound_name,src_id,src_compound_id,cidx
47,54,7792,29,"2-[4-(2,4-Dichloro-benzoyl)-3-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
48,1,7792,28,"2-[4-(2-Chloro-benzoyl)-3-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
49,2,7792,27,"4-[4-(3,5-Dioxo-4,5-dihydro-3H-[1,2,4]triazin-2-yl)-2-methyl-benzoyl]-benzonitrile",1,,CLD0
50,5,7792,26,"2-[4-(4-Chloro-benzoyl)-3-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
51,6,7792,25,"2-(4-Benzoyl-3-methyl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
52,7,7792,24,"2-[4-(4-Bromo-2-methyl-benzoyl)-3-chloro-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
53,8,7792,23,"2-[3-Chloro-4-(2,4-dichloro-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
54,9,7792,22,"2-[3-Chloro-4-(4-methanesulfonyl-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
55,15,7792,21,"2-[3-Chloro-4-(4-methylsulfanyl-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
56,90,7792,43,"2-(4-Butyryl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
57,91,7792,42,"2-(4-Acetyl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
58,92,7792,41,"2-[4-(7-Chloro-9-oxo-9H-xanthen-2-yl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
59,74,7792,40,"2-[4-(Thiophene-2-carbonyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
60,75,7792,39,"2-(4-Benzyl-3-methyl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
61,76,7792,31,"2-[3-Chloro-4-(4-chloro-benzoyl)-5-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
62,77,7792,33,"2-(3-Benzoyl-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
63,78,7792,32,"2-[4-(4-Chloro-benzoyl)-3,5-dimethyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
64,79,7792,30,"2-[4-(4-Chloro-2-methyl-benzoyl)-3-methyl-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
65,80,7792,44,"2-(4-Acetyl-3-chloro-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
66,81,7792,19,"2-(4-Benzoyl-3-chloro-phenyl)-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
67,82,7792,17,"2-[4-(2,4,6-Trimethyl-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
68,83,7792,15,"2-[4-(4-Chloro-benzoyl)-phenyl]-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
69,84,7792,37,"2-{4-[(4-Chloro-phenyl)-hydroxy-methyl]-3-methyl-phenyl}-2H-[1,2,4]triazine-3,5-dione",1,,CLD0
70,68,9904,24,"4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazine-1-carboxylic acid phenylamide",1,,CLD0
71,33,9904,29,"6,7-Dimethoxy-2-[4-(thiophene-2-sulfonyl)-piperazin-1-yl]-quinazolin-4-ylamine",1,,CLD0
72,62,9904,30,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-bicyclo[2.2.1]hept-5-en-2-yl-methanone",1,,CLD0
73,63,9904,3,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-hexa-2,4-dien-1-one",1,,CLD0
74,64,9904,4,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-phenyl-propenone",1,,CLD0
75,65,9904,5,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(4-fluoro-phenyl)-propenone",1,,CLD0
76,66,9904,6,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(4-chloro-phenyl)-propenone",1,,CLD0
77,67,9904,13,"i1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-2-fluoro-3-phenyl-propenone",1,,CLD0
78,31,9904,18,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-(2-phenyl-cyclopropyl)-methanone",1,,CLD0
79,70,9904,21,"4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazine-1-carbothioic acid cyclohexylamide",1,,CLD0
80,71,9904,31,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-bicyclo[2.2.2]octa-2,5-dien-2-yl-methanone",1,,CLD0
81,72,9904,28,"6,7-Dimethoxy-2-[4-(toluene-4-sulfonyl)-piperazin-1-yl]-quinazolin-4-ylamine",1,,CLD0
82,73,9904,20,"4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazine-1-carbothioic acid phenylamide",1,,CLD0
83,59,9904,14,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-phenyl-propan-1-one",1,,CLD0
84,60,9904,9,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(4-methoxy-phenyl)-propenone",1,,CLD0
85,61,9904,8,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(3-fluoro-phenyl)-propenone",1,,CLD0
86,89,9904,7,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(4-bromo-phenyl)-propenone",1,,CLD0
87,97,9904,1,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone",1,,CLD0
88,98,9904,2,"6-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-6-oxo-hexa-2,4-dienoic acid methyl ester",1,,CLD0
89,104,9904,10,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-(4-isothiocyanato-phenyl)-propenone",1,,CLD0
90,105,9904,11,"N-(4-{3-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-oxo-propenyl}-phenyl)-2-bromo-acetamide",1,,CLD0
91,101,9904,17,"i[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-naphthalen-2-yl-methanone",1,,CLD0
92,102,9904,22,"4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazine-1-carbothioic acid (4-azido-phenyl)-amide",1,,CLD0
93,103,9904,25,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-(3-chloromethyl-phenyl)-methanone",1,,CLD0
94,58,9904,27,"3-(4-{5-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-5-oxo-pentyl}-phenylcarbamoyl)-acrylic acid methyl ester",1,,CLD0
95,93,9904,26,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-(3-iodo-4-isothiocyanato-phenyl)-methanone",1,,CLD0
96,94,9904,23,"i4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazine-1-carbothioic acid {4-[(aziridine-1-carbothioyl)-amino]-phenyl}-amide",1,,CLD0
97,99,9904,19,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-(3-phenyl-oxiranyl)-methanone",1,,CLD0
98,100,9904,16,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-4-phenyl-but-2-ene-1,4-dione",1,,CLD0
99,112,9904,15,"1-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-2-phenoxy-ethanone",1,,CLD0
100,69,9904,12,"3-(4-{3-[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-3-oxo-propenyl}-phenylcarbamoyl)-acrylic acid methyl ester",1,,CLD0
101,482512,5494,Methyllycaconitine (MLA),Methyllycaconitine,1,,CLD0
102,114,5494,alpha-bungarotoxin (alpha-BTX),alpha-bungarotoxin,1,,CLD0
103,115,5494,2,3-((S)-1-Methyl-pyrrolidin-2-yl)-pyridine,1,,CLD0
104,116,5494,3,(S)-3-Pyrrolidin-2-yl-pyridine,1,,CLD0
105,120,5494,7d,"(R,S)Piperidin-2-yl-(4-pyridin-3-ylmethyl-piperazin-1-yl)-methanone",1,,CLD0
106,121,5494,8a,1-Pyridin-3-ylmethyl-4-(S)-1-pyrrolidin-2-ylmethyl-piperazine,1,,CLD0
107,122,5494,8c,1-Pyridin-4-ylmethyl-4-(S)-1-pyrrolidin-2-ylmethyl-piperazine,1,,CLD0
108,85,5494,8e,"(R,S)-1-Piperidin-2-ylmethyl-4-pyridin-3-ylmethyl-piperazine",1,,CLD0
109,86,5494,8g,"(R,S)-1-Piperidin-2-ylmethyl-4-pyridin-4-ylmethyl-piperazine",1,,CLD0
110,87,5494,8h,"(R,S)-1-(1-Methyl-piperidin-2-ylmethyl)-4-pyridin-4-ylmethyl-piperazine",1,,CLD0
111,88,5494,8f,"(R,S)-1-(1-Methyl-piperidin-2-ylmethyl)-4-pyridin-3-ylmethyl-piperazine",1,,CLD0
112,95,5494,8d,1-((S)-1-Methyl-pyrrolidin-2-ylmethyl)-4-pyridin-4-ylmethyl-piperazine,1,,CLD0
113,96,5494,8b,1-((S)-1-Methyl-pyrrolidin-2-ylmethyl)-4-pyridin-3-ylmethyl-piperazine,1,,CLD0
114,174,5494,7e,"(R,S)Piperidin-2-yl-(4-pyridin-4-ylmethyl-piperazin-1-yl)-methanone",1,,CLD0
115,175,5494,7c,"(R,S)Piperidin-2-yl-(4-pyridin-2-ylmethyl-piperazin-1-yl)-methanone",1,,CLD0
116,176,5494,7b,(4-Pyridin-3-ylmethyl-piperazin-1-yl)-(S)-pyrrolidin-2-yl-methanone,1,,CLD0
117,177,5494,7a,(4-Pyridin-2-ylmethyl-piperazin-1-yl)-(S)-pyrrolidin-2-yl-methanone,1,,CLD0
118,179,1631,4,"(3S,10R,13S,17S)-17-Cyclopropoxy-10,13-dimethyl-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-ol",1,,CLD0
119,180,1631,10,"6-cyclopropyloxy-5-methyl-(1S,5S,6S,16R)-18-oxapentacyclo[14.3.1.01,13.02,10.05,9]icos-13-en-15-one",1,,CLD0
120,130,1631,11,"6-cyclopropyloxy-5-methyl-(1S,5S,6S,15R,16R)-18-oxapentacyclo[14.3.1.01,13.02,10.05,9]icos-12-en-15-ol",1,,CLD0
121,131,1631,6,"(10R,13S,17S)-17-Cyclopropoxy-10,13-dimethyl-1,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-2H-cyclopenta[a]phenanthrene-3,6-dione",1,,CLD0
122,144,1631,5,"(10R,13S,17S)-17-Cyclopropoxy-10,13-dimethyl-1,2,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-cyclopenta[a]phenanthren-3-one",1,,CLD0
123,145,1631,15,"(3S,10R,13S,17S)-17-Cyclopropoxy-4,4,10,13-tetramethyl-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-ol",1,,CLD0
124,132,2560,8a,"3,4,8,9-Tetrahydroxy-benzo[c]chromen-6-one",1,,CLD0
125,123,2560,8g,"9-Fluoro-3,4-dihydroxy-benzo[c]chromen-6-one",1,,CLD0
126,124,2560,8i,"3,4-Dichloro-8,9-dihydroxy-benzo[c]chromen-6-one",1,,CLD0
127,125,2560,8k,"9-Fluoro-3,4-dihydroxy-1-methyl-benzo[c]chromen-6-one",1,,CLD0
128,126,2560,14b,"9-Hydroxyamino-9H-fluorene-2,3,6,7-tetraol",1,,CLD0
129,127,2560,14a,"2,3,6,7-Tetrahydroxy-fluoren-9-one",1,,CLD0
130,146,2560,Ofloxacin,"8-Fluoro-3-methyl-9-(4-methyl-piperazin-1-yl)-6-oxo-2,3-dihydro-6H-1-oxa-3a-aza-phenalene-5-carboxylic acid",1,,CLD0
131,147,2560,"3, Nalidixic acid","1-Ethyl-7-methyl-4-oxo-1,4-dihydro-[1,8]naphthyridine-3-carboxylic acid",1,,CLD0
132,148,2560,"2, ellagic acid","2,3,7,8-Tetrahydroxy-chromeno[5,4,3-cde]chromene-5,10-dione",1,,CLD0
133,149,2560,8l,"3,4,8,9-Tetrahydroxy-1-methyl-benzo[c]chromen-6-one",1,,CLD0
134,128,2560,8j,"3,4-Difluoro-8,9-dihydroxy-benzo[c]chromen-6-one",1,,CLD0
135,129,2560,8h,"9-Fluoro-2,3-dihydroxy-benzo[c]chromen-6-one",1,,CLD0
136,106,2560,8f,"3,4,8-Trihydroxy-benzo[c]chromen-6-one",1,,CLD0
137,107,2560,8c,Benzo[c]chromen-6-one,1,,CLD0
138,108,2560,8d,"3,4-Dihydroxy-benzo[c]chromen-6-one",1,,CLD0
139,109,2560,8e,"8,9-Dihydroxy-benzo[c]chromen-6-one",1,,CLD0
140,110,2560,8b,"2,3,8,9-Tetrahydroxy-benzo[c]chromen-6-one",1,,CLD0
141,111,6930,1,Zomepirac Sodium (Zomax),1,,CLD0
142,141,6930,2,[5-(4-Chloro-benzoyl)-4-hydroxymethyl-1-methyl-1H-pyrrol-2-yl]-acetic acid,1,,CLD0
143,173,6930,Indomethacin,[1-(4-Chloro-benzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-acetic acid,1,,CLD0
144,135,12258,1d,"Octanoic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
145,136,12258,1e,"Decanoic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
146,466506,12258,17,"8-(tert-butyl)-6,12,17-trihydroxy-8,13,16-trimethyl-(6S,8R,16S)-2,4,14,19-tetraoxahexacyclo[8.7.2.01,11.03,7.07,11.013,17]nonadecane-5,15,18-trione",1,,CLD0
147,138,12258,1a,"Acetic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
148,139,12258,5k,"Octyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
149,140,12258,1f,"Octadecanoic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
150,159,12258,1b,"Butyric acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
151,171,12258,1g,"2,2-Dimethyl-propionic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
152,157,12258,6d,"Dipentyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
153,158,12258,6c,"Dibutyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
154,160,12258,6b,"Dipropyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
155,161,12258,6a,"Diethyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
156,162,12258,5n,"(3,4,5-Trimethoxy-phenyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
157,163,12258,5m,"(1-Ethyl-propyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
158,164,12258,5l,"(2-Methyl-butyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
159,165,12258,5j,"(2-Ethyl-hexyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
160,166,12258,5i,"(3-Methyl-butyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
161,167,12258,5h,"(1,2-Dimethyl-propyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
162,117,12258,5g,"(1,1-Dimethyl-propyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
163,118,12258,5f,"(1,3-Dimethyl-butyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
164,200531,12258,5e,"(1,2,2-Trimethyl-propyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
165,119,12258,5d,"(1-Methyl-butyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
166,133,12258,5c,"(2,2-Dimethyl-propyl)-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
167,134,12258,5b,"tert-Butyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
168,186,12258,5a,"Butyl-carbamic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
169,181,12258,4,"2-Ethyl-butyric acid 1,4-bis-(3,4,5-trimethoxy-benzyl)-piperazin-2-ylmethyl ester",1,,CLD0
170,182,12258,3,"1,4-Bis-(3,4,5-trimethoxy-phenyl)-piperazine",1,,CLD0
171,142,12258,1m,"(4-Chloro-phenoxy)-acetic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
172,143,12258,1l,"(4-Fluoro-phenoxy)-acetic acid 1,4-bis-(3,4,5-trimethoxy-benzoyl)-piperazin-2-ylmethyl ester",1,,CLD0
