tissue_id,uberon_id,pref_name,efo_id,chembl_id,bto_id,caloha_id
1876,UBERON:0001876,Amygdala,EFO:0000252,CHEMBL3987566,BTO:0001042,TS-0037
1881,UBERON:0001881,Calleja island,,CHEMBL4296344,,
1882,UBERON:0001882,Nucleus accumbens,EFO:0000906,CHEMBL3987871,BTO:0001862,
1883,UBERON:0001883,Olfactory tubercle,,CHEMBL3987877,BTO:0001869,
1884,UBERON:0001884,Phrenic nerve,,CHEMBL3638223,BTO:0001063,
1886,UBERON:0001886,Choroid plexus,EFO:0001915,CHEMBL3987679,BTO:0000258,TS-0145
1890,UBERON:0001890,Forebrain,EFO:0000909,CHEMBL3987605,BTO:0000478,TS-0380
1891,UBERON:0001891,Midbrain,EFO:0000919,CHEMBL3638224,BTO:0000138,TS-0630
1892,UBERON:0001892,Rhombomere,EFO:0003617,CHEMBL3987941,,
1893,UBERON:0001893,Cerebrum,EFO:0000912,CHEMBL3638225,BTO:0000239,TS-1018
1896,UBERON:0001896,Medulla oblongata,EFO:0000924,CHEMBL3638226,BTO:0000041,TS-0607
1898,UBERON:0001898,Hypothalamus,EFO:0000107,CHEMBL3638227,BTO:0000614,TS-0469
1904,UBERON:0001904,Habenula,,CHEMBL3987759,BTO:0003684,
1911,UBERON:0001911,Mammary gland,EFO:0000854,CHEMBL3987829,BTO:0000817,TS-0595
1913,UBERON:0001913,Milk,,CHEMBL3987421,BTO:0000868,TS-0636
1926,UBERON:0001926,Lateral geniculate body,EFO:0001988,CHEMBL3987800,BTO:0004367,
1927,UBERON:0001927,Medial geniculate body,EFO:0001968,CHEMBL3987831,BTO:0002674,
1946,UBERON:0001946,Inferior colliculus,EFO:0002465,CHEMBL3987776,,
1947,UBERON:0001947,Red nucleus,,CHEMBL3987934,,
1950,UBERON:0001950,Neocortex,,CHEMBL3987859,BTO:0000920,
1965,UBERON:0001965,Substantia nigra pars compacta,,CHEMBL3987984,BTO:0003749,
1968,UBERON:0001968,Semen,,CHEMBL3987952,BTO:0001230,TS-0917
1969,UBERON:0001969,Plasma,EFO:0001905,CHEMBL3559721,BTO:0000131,TS-0800
1970,UBERON:0001970,Bile,,CHEMBL3638228,BTO:0000121,TS-1172
1971,UBERON:0001971,Gastric juice,,CHEMBL3987747,BTO:0000501,
1977,UBERON:0001977,Serum,,CHEMBL3638229,BTO:0001239,TS-0923
1980,UBERON:0001980,Arteriole,,CHEMBL3987642,BTO:0001997,
1981,UBERON:0001981,Blood vessel,EFO:0000817,CHEMBL3987656,BTO:0001102,TS-0080
1982,UBERON:0001982,Capillary,EFO:0001906,CHEMBL3987663,BTO:0002045,TS-2006
1986,UBERON:0001986,Endothelium,EFO:0002548,CHEMBL3987727,BTO:0000393,TS-0278
1987,UBERON:0001987,Placenta,EFO:0001407,CHEMBL3987910,BTO:0001078,TS-0799
1988,UBERON:0001988,Feces,,CHEMBL3638230,BTO:0000440,TS-2345
1989,UBERON:0001989,Superior cervical ganglion,EFO:0001945,CHEMBL3987985,BTO:0001325,
1991,UBERON:0001991,Cervical ganglion,,CHEMBL3987674,BTO:0000113,
1997,UBERON:0001997,Olfactory epithelium,EFO:0001972,CHEMBL3987874,BTO:0000108,TS-0703
2012,UBERON:0002012,Pulmonary artery,EFO:0001399,CHEMBL3638231,BTO:0000778,TS-0839
2017,UBERON:0002017,Portal vein,,CHEMBL3638232,BTO:0001792,TS-0814
2020,UBERON:0002020,Gray matter,,CHEMBL3987757,,
2021,UBERON:0002021,Occipital lobe,EFO:0000915,CHEMBL3833873,BTO:0000293,TS-0693
2022,UBERON:0002022,Insula,,CHEMBL3987779,BTO:0001105,
2028,UBERON:0002028,Hindbrain,EFO:0000923,CHEMBL3987765,BTO:0000672,TS-0457
2037,UBERON:0002037,Cerebellum,EFO:0000327,CHEMBL3638233,BTO:0000232,TS-0125
2038,UBERON:0002038,Substantia nigra,EFO:0000922,CHEMBL3987983,BTO:0000143,TS-0990
2043,UBERON:0002043,Dorsal raphe nucleus,EFO:0001919,CHEMBL3987713,BTO:0002434,
2046,UBERON:0002046,Thyroid gland,EFO:0000861,CHEMBL3638234,BTO:0001379,TS-1047
2048,UBERON:0002048,Lung,EFO:0000934,CHEMBL3638235,BTO:0000763,TS-0568
2049,UBERON:0002049,Vasculature,,CHEMBL3988033,BTO:0003718,
2060,UBERON:0002060,Femoral artery,,CHEMBL3987742,BTO:0001624,TS-0321
2066,UBERON:0002066,Umbilical vein,EFO:0001940,CHEMBL3638236,BTO:0001509,TS-1082
2067,UBERON:0002067,Dermis,EFO:0000953,CHEMBL3987707,BTO:0000294,TS-2076
2072,UBERON:0002072,Hypodermis,,CHEMBL3987770,BTO:0001314,TS-2366
2073,UBERON:0002073,Hair follicle,EFO:0002464,CHEMBL3987760,BTO:0000554,TS-0432
2078,UBERON:0002078,Right cardiac atrium,,CHEMBL4482296,BTO:0001703,
2079,UBERON:0002079,Left cardiac atrium,,CHEMBL4482294,BTO:0001702,
2080,UBERON:0002080,Heart right ventricle,,CHEMBL3833142,BTO:0001630,TS-0443
2081,UBERON:0002081,Cardiac atrium,EFO:0000277,CHEMBL3638237,BTO:0000903,TS-0437
2082,UBERON:0002082,Cardiac ventricle,EFO:0000317,CHEMBL3833143,BTO:0000862,TS-0444
2084,UBERON:0002084,Heart left ventricle,,CHEMBL3833141,BTO:0001629,TS-0439
2095,UBERON:0002095,Mesentery,,CHEMBL3638238,BTO:0001380,
2097,UBERON:0002097,Skin of body,EFO:0000962,CHEMBL3833182,BTO:0001253,TS-0934
2100,UBERON:0002100,Trunk,EFO:0000966,CHEMBL3988014,BTO:0001493,TS-1071
2101,UBERON:0002101,Limb,EFO:0000876,CHEMBL3987812,,TS-0552
2102,UBERON:0002102,Forelimb,EFO:0000882,CHEMBL3987744,BTO:0001729,TS-2214
2103,UBERON:0002103,Hindlimb,EFO:0000883,CHEMBL3987766,BTO:0002345,TS-2215
2106,UBERON:0002106,Spleen,EFO:0000869,CHEMBL3559722,BTO:0001281,TS-0956
2107,UBERON:0002107,Liver,EFO:0000887,CHEMBL3559723,BTO:0000759,TS-0564
2108,UBERON:0002108,Small intestine,EFO:0000841,CHEMBL3638239,BTO:0000651,TS-0942
2110,UBERON:0002110,Gall bladder,EFO:0000853,CHEMBL3638240,BTO:0000493,TS-0394
2113,UBERON:0002113,Kidney,EFO:0000929,CHEMBL3638241,BTO:0000671,TS-0510
2114,UBERON:0002114,Duodenum,EFO:0000851,CHEMBL3638242,BTO:0000365,TS-0214
2115,UBERON:0002115,Jejunum,EFO:0001333,CHEMBL3638243,BTO:0000657,TS-0496
2116,UBERON:0002116,Ileum,EFO:0001334,CHEMBL3638244,BTO:0000620,TS-0472
2129,UBERON:0002129,Cerebellar cortex,,CHEMBL3987672,BTO:0000043,TS-2000
2137,UBERON:0002137,Aortic valve,EFO:0003879,CHEMBL3987638,BTO:0004628,
2145,UBERON:0002145,Interpeduncular nucleus,,CHEMBL3987783,,
2162,UBERON:0002162,Area postrema,,CHEMBL3987639,BTO:0003425,
