compsyn_id,component_id,component_synonym,syn_type
1783159,7,p34 protein kinase,UNIPROT
861070,7,P34CDC2,GENE_SYMBOL_OTHER
1783171,8,CD_antigen=CD51,UNIPROT
1783166,8,Integrin alpha-V,UNIPROT
1783167,8,Integrin alpha-V heavy chain,UNIPROT
1783168,8,Integrin alpha-V light chain,UNIPROT
1783163,8,ITGAV,GENE_SYMBOL
1229515,8,Synonyms=MSK8,GENE_SYMBOL_OTHER
1783169,8,Vitronectin receptor,UNIPROT
1783170,8,Vitronectin receptor subunit alpha,UNIPROT
861084,8,VNRA,GENE_SYMBOL_OTHER
1470803,8,VNRA GN  ,GENE_SYMBOL_OTHER
1783174,9,Acetylcholine receptor subunit gamma,UNIPROT
861094,9,ACHRG,GENE_SYMBOL_OTHER
1783172,9,CHRNG,GENE_SYMBOL
861098,10,Chrm-1,GENE_SYMBOL_OTHER
1783175,10,Chrm1,GENE_SYMBOL
1783177,10,Muscarinic acetylcholine receptor M1,UNIPROT
861102,11,Chrm-3,GENE_SYMBOL_OTHER
1783178,11,Chrm3,GENE_SYMBOL
1783180,11,Muscarinic acetylcholine receptor M3,UNIPROT
861106,12,Chrm-4,GENE_SYMBOL_OTHER
1783181,12,Chrm4,GENE_SYMBOL
1783183,12,Muscarinic acetylcholine receptor M4,UNIPROT
861807,13,Chrm-5,GENE_SYMBOL_OTHER
1783518,13,Chrm5,GENE_SYMBOL
1783520,13,Muscarinic acetylcholine receptor M5,UNIPROT
861811,14,Acra4,GENE_SYMBOL_OTHER
1783521,14,Chrna4,GENE_SYMBOL
1783523,14,Neuronal acetylcholine receptor subunit alpha-4,UNIPROT
861815,15,Chrm-2,GENE_SYMBOL_OTHER
1783524,15,Chrm2,GENE_SYMBOL
1783526,15,Muscarinic acetylcholine receptor M2,UNIPROT
1783530,16,Acetylcholine receptor subunit beta,UNIPROT
861819,16,ACHRB,GENE_SYMBOL_OTHER
861820,16,CHRNB,GENE_SYMBOL_OTHER
1783527,16,CHRNB1,GENE_SYMBOL
1783535,17,2.7.11.22,EC_NUMBER
1783531,17,CDK4,GENE_SYMBOL
1783533,17,Cell division protein kinase 4,UNIPROT
1783532,17,Cyclin-dependent kinase 4,UNIPROT
1783534,17,PSK-J3,UNIPROT
861830,18,Acra2,GENE_SYMBOL_OTHER
1783536,18,Chrna2,GENE_SYMBOL
1783538,18,Neuronal acetylcholine receptor subunit alpha-2,UNIPROT
861834,19,Acrb2,GENE_SYMBOL_OTHER
1783539,19,Chrnb2,GENE_SYMBOL
1783543,19,N-alpha 1,UNIPROT
1783542,19,Neuronal acetylcholine receptor non-alpha-1 chain,UNIPROT
1783541,19,Neuronal acetylcholine receptor subunit beta-2,UNIPROT
861840,20,Acrb4,GENE_SYMBOL_OTHER
1783544,20,Chrnb4,GENE_SYMBOL
1783548,20,N-alpha 2,UNIPROT
1783547,20,Neuronal acetylcholine receptor non-alpha-2 chain,UNIPROT
1783546,20,Neuronal acetylcholine receptor subunit beta-4,UNIPROT
1783552,21,CD49 antigen-like family member D,UNIPROT
861846,21,CD49D,GENE_SYMBOL_OTHER
1783555,21,CD_antigen=CD49d,UNIPROT
1783551,21,Integrin alpha-4,UNIPROT
1783553,21,Integrin alpha-IV,UNIPROT
1783549,21,ITGA4,GENE_SYMBOL
1783554,21,VLA-4 subunit alpha,UNIPROT
861854,22,CCNB,GENE_SYMBOL_OTHER
1783556,22,CCNB1,GENE_SYMBOL
1783558,22,G2/mitotic-specific cyclin-B1,UNIPROT
1783561,23,GABA(A) receptor subunit alpha-1,UNIPROT
1783559,23,GABRA1,GENE_SYMBOL
1783560,23,Gamma-aminobutyric acid receptor subunit alpha-1,UNIPROT
1783565,24,GABA(A) receptor subunit beta-1,UNIPROT
861861,24,Gabrb-1,GENE_SYMBOL_OTHER
1783562,24,Gabrb1,GENE_SYMBOL
1783564,24,Gamma-aminobutyric acid receptor subunit beta-1,UNIPROT
1783566,25,Adra1b,GENE_SYMBOL
1783567,25,Alpha-1B adrenergic receptor,UNIPROT
1783569,25,Alpha-1B adrenoceptor,UNIPROT
1783568,25,Alpha-1B adrenoreceptor,UNIPROT
1783051,26,CHRNB2,GENE_SYMBOL
1783052,26,Neuronal acetylcholine receptor subunit beta-2,UNIPROT
1783055,27,GABA(A) receptor subunit delta,UNIPROT
1783053,27,Gabrd,GENE_SYMBOL
1783054,27,Gamma-aminobutyric acid receptor subunit delta,UNIPROT
1783058,28,GABA(A) receptor subunit gamma-2,UNIPROT
1783056,28,Gabrg2,GENE_SYMBOL
1783057,28,Gamma-aminobutyric acid receptor subunit gamma-2,UNIPROT
1783062,29,GABA(A) receptor subunit alpha-5,UNIPROT
860957,29,Gabra-5,GENE_SYMBOL_OTHER
1783059,29,Gabra5,GENE_SYMBOL
1783061,29,Gamma-aminobutyric acid receptor subunit alpha-5,UNIPROT
1783066,30,GABA(A) receptor subunit alpha-3,UNIPROT
860962,30,Gabra-3,GENE_SYMBOL_OTHER
1783063,30,Gabra3,GENE_SYMBOL
1783065,30,Gamma-aminobutyric acid receptor subunit alpha-3,UNIPROT
1783069,31,GABA(A) receptor subunit gamma-1,UNIPROT
1783067,31,Gabrg1,GENE_SYMBOL
1783068,31,Gamma-aminobutyric acid receptor subunit gamma-1,UNIPROT
1783073,32,GABA(A) receptor subunit alpha-2,UNIPROT
860970,32,Gabra-2,GENE_SYMBOL_OTHER
1783070,32,Gabra2,GENE_SYMBOL
1783072,32,Gamma-aminobutyric acid receptor subunit alpha-2,UNIPROT
860975,33,Adra1a,GENE_SYMBOL_OTHER
1783074,33,Adra1d,GENE_SYMBOL
1783077,33,Alpha-1A adrenergic receptor,UNIPROT
1783076,33,Alpha-1D adrenergic receptor,UNIPROT
1783080,33,Alpha-1D adrenoceptor,UNIPROT
1783078,33,Alpha-1D adrenoreceptor,UNIPROT
1783079,33,RA42,UNIPROT
1783085,34,B-cell lymphoma 1 protein,UNIPROT
1783088,34,BCL-1,UNIPROT
1783086,34,BCL-1 oncogene,UNIPROT
860983,34,BCL1,GENE_SYMBOL_OTHER
1783081,34,CCND1,GENE_SYMBOL
1783084,34,G1/S-specific cyclin-D1,UNIPROT
860984,34,PRAD1,GENE_SYMBOL_OTHER
1470721,34,PRAD1 GN  ,GENE_SYMBOL_OTHER
1783087,34,PRAD1 oncogene,UNIPROT
1394530,34,Synonyms=BCL1,GENE_SYMBOL_OTHER
860993,35,CCNE,GENE_SYMBOL_OTHER
1783089,35,CCNE1,GENE_SYMBOL
1783091,35,G1/S-specific cyclin-E1,UNIPROT
1783097,36,2.7.11.22,EC_NUMBER
1783092,36,CDK2,GENE_SYMBOL
860997,36,CDKN2,GENE_SYMBOL_OTHER
1783095,36,Cell division protein kinase 2,UNIPROT
1783094,36,Cyclin-dependent kinase 2,UNIPROT
1783096,36,p33 protein kinase,UNIPROT
1783112,37,2.7.11.24,EC_NUMBER
1783110,37,ERK-1,UNIPROT
861004,37,ERK1,GENE_SYMBOL_OTHER
1783102,37,ERT2,UNIPROT
1783103,37,Extracellular signal-regulated kinase 1,UNIPROT
1783104,37,Insulin-stimulated MAP2 kinase,UNIPROT
1783108,37,MAP kinase 3,UNIPROT
1783105,37,MAP kinase isoform p44,UNIPROT
1783109,37,MAPK 3,UNIPROT
1783098,37,MAPK3,GENE_SYMBOL
1783106,37,Microtubule-associated protein 2 kinase,UNIPROT
1783101,37,Mitogen-activated protein kinase 3,UNIPROT
1783107,37,p44-ERK1,UNIPROT
1783111,37,p44-MAPK,UNIPROT
861005,37,PRKM3,GENE_SYMBOL_OTHER
1783115,38,GABA(A) receptor subunit alpha-4,UNIPROT
1783113,38,Gabra4,GENE_SYMBOL
1783114,38,Gamma-aminobutyric acid receptor subunit alpha-4,UNIPROT
1783118,39,GABA(A) receptor subunit gamma-3,UNIPROT
1783116,39,Gabrg3,GENE_SYMBOL
1783117,39,Gamma-aminobutyric acid receptor subunit gamma-3,UNIPROT
1783585,40,2.7.11.24,EC_NUMBER
1783581,40,ERK-2,UNIPROT
861870,40,ERK2,GENE_SYMBOL_OTHER
1783575,40,ERT1,UNIPROT
1783576,40,Extracellular signal-regulated kinase 2,UNIPROT
1783579,40,MAP kinase 1,UNIPROT
1783583,40,MAP kinase 2,UNIPROT
1783577,40,MAP kinase isoform p42,UNIPROT
1783580,40,MAPK 1,UNIPROT
1783584,40,MAPK 2,UNIPROT
1783570,40,MAPK1,GENE_SYMBOL
1783574,40,Mitogen-activated protein kinase 1,UNIPROT
1783578,40,Mitogen-activated protein kinase 2,UNIPROT
1783582,40,p42-MAPK,UNIPROT
861871,40,PRKM1,GENE_SYMBOL_OTHER
861872,40,PRKM2,GENE_SYMBOL_OTHER
1783589,41,GABA(A) receptor subunit alpha-6,UNIPROT
861889,41,Gabra-6,GENE_SYMBOL_OTHER
1783586,41,Gabra6,GENE_SYMBOL
1783588,41,Gamma-aminobutyric acid receptor subunit alpha-6,UNIPROT
1783590,42,CHRNB4,GENE_SYMBOL
1783591,42,Neuronal acetylcholine receptor subunit beta-4,UNIPROT
1783592,43,CHRNA3,GENE_SYMBOL
861896,43,NACHRA3,GENE_SYMBOL_OTHER
1783594,43,Neuronal acetylcholine receptor subunit alpha-3,UNIPROT
1783600,44,GluN1,UNIPROT
1783597,44,"Glutamate receptor ionotropic, NMDA 1",UNIPROT
1783598,44,Glutamate [NMDA] receptor subunit zeta-1,UNIPROT
1783595,44,Grin1,GENE_SYMBOL
1783599,44,N-methyl-D-aspartate receptor subunit NR1,UNIPROT
1783601,44,NMD-R1,UNIPROT
861900,44,Nmdar1,GENE_SYMBOL_OTHER
1783602,45,Adra1a,GENE_SYMBOL
861908,45,Adra1c,GENE_SYMBOL_OTHER
1783604,45,Alpha-1A adrenergic receptor,UNIPROT
1783607,45,Alpha-1A adrenoceptor,UNIPROT
1783605,45,Alpha-1A adrenoreceptor,UNIPROT
1783606,45,Alpha-1C adrenergic receptor,UNIPROT
1783608,46,CHRNA4,GENE_SYMBOL
861915,46,NACRA4,GENE_SYMBOL_OTHER
1783610,46,Neuronal acetylcholine receptor subunit alpha-4,UNIPROT
1782969,47,GABA(A) receptor subunit beta-2,UNIPROT
1782967,47,GABRB2,GENE_SYMBOL
1782968,47,Gamma-aminobutyric acid receptor subunit beta-2,UNIPROT
1782973,48,GABA(A) receptor subunit alpha-1,UNIPROT
860862,48,Gabra-1,GENE_SYMBOL_OTHER
1782970,48,Gabra1,GENE_SYMBOL
1782972,48,Gamma-aminobutyric acid receptor subunit alpha-1,UNIPROT
1782977,49,GABA(A) receptor subunit beta-3,UNIPROT
860867,49,Gabrb-3,GENE_SYMBOL_OTHER
1782974,49,Gabrb3,GENE_SYMBOL
1782976,49,Gamma-aminobutyric acid receptor subunit beta-3,UNIPROT
1782981,50,GABA(A) receptor subunit beta-2,UNIPROT
860872,50,Gabrb-2,GENE_SYMBOL_OTHER
1782978,50,Gabrb2,GENE_SYMBOL
1782980,50,Gamma-aminobutyric acid receptor subunit beta-2,UNIPROT
1782991,51,2.7.11.1,EC_NUMBER
1782982,51,CDK5,GENE_SYMBOL
860877,51,CDKN5,GENE_SYMBOL_OTHER
1782986,51,Cell division protein kinase 5,UNIPROT
1782985,51,Cyclin-dependent kinase 5,UNIPROT
1782987,51,Cyclin-dependent-like kinase 5,UNIPROT
1547912,51,PSSALRE GN  ,GENE_SYMBOL_OTHER
1782988,51,Serine/threonine-protein kinase PSSALRE,UNIPROT
1547911,51,Synonyms=CDKN5,GENE_SYMBOL_OTHER
1782989,51,Tau protein kinase II catalytic subunit,UNIPROT
1782990,51,TPKII catalytic subunit,UNIPROT
1782996,52,GluN2A,UNIPROT
1782993,52,"Glutamate receptor ionotropic, NMDA 2A",UNIPROT
1782994,52,Glutamate [NMDA] receptor subunit epsilon-1,UNIPROT
1782992,52,Grin2a,GENE_SYMBOL
1782995,52,N-methyl D-aspartate receptor subtype 2A,UNIPROT
1782997,52,NMDAR2A,UNIPROT
1782998,52,NR2A,UNIPROT
1783003,53,GluN2B,UNIPROT
1783000,53,"Glutamate receptor ionotropic, NMDA 2B",UNIPROT
1783001,53,Glutamate [NMDA] receptor subunit epsilon-2,UNIPROT
1782999,53,Grin2b,GENE_SYMBOL
1783002,53,N-methyl D-aspartate receptor subtype 2B,UNIPROT
1783004,53,NMDAR2B,UNIPROT
1783005,53,NR2B,UNIPROT
1783010,54,GluN2C,UNIPROT
1783007,54,"Glutamate receptor ionotropic, NMDA 2C",UNIPROT
1783008,54,Glutamate [NMDA] receptor subunit epsilon-3,UNIPROT
1783006,54,Grin2c,GENE_SYMBOL
1783009,54,N-methyl D-aspartate receptor subtype 2C,UNIPROT
1783011,54,NMDAR2C,UNIPROT
1783012,54,NR2C,UNIPROT
1783020,55,2.3.2.27,EC_NUMBER
1783015,55,Double minute 2 protein,UNIPROT
1783014,55,E3 ubiquitin-protein ligase Mdm2,UNIPROT
1783019,55,Hdm2,UNIPROT
1783013,55,MDM2,GENE_SYMBOL
1783016,55,Oncoprotein Mdm2,UNIPROT
1783018,55,p53-binding protein Mdm2,UNIPROT
1783017,55,RING-type E3 ubiquitin transferase Mdm2,UNIPROT
1783026,56,GluN1,UNIPROT
1783023,56,"Glutamate receptor ionotropic, NMDA 1",UNIPROT
1783024,56,Glutamate [NMDA] receptor subunit zeta-1,UNIPROT
1783021,56,GRIN1,GENE_SYMBOL
1783025,56,N-methyl-D-aspartate receptor subunit NR1,UNIPROT
1783027,56,NMD-R1,UNIPROT
860915,56,NMDAR1,GENE_SYMBOL_OTHER
1783030,57,Acetylcholine receptor subunit delta,UNIPROT
860923,57,ACHRD,GENE_SYMBOL_OTHER
1783028,57,CHRND,GENE_SYMBOL
1783036,58,GluN2A,UNIPROT
1783033,58,"Glutamate receptor ionotropic, NMDA 2A",UNIPROT
1783034,58,Glutamate [NMDA] receptor subunit epsilon-1,UNIPROT
1783031,58,GRIN2A,GENE_SYMBOL
1783039,58,hNR2A,UNIPROT
1783035,58,N-methyl D-aspartate receptor subtype 2A,UNIPROT
860927,58,NMDAR2A,GENE_SYMBOL_OTHER
1783037,58,NMDAR2A,UNIPROT
1783038,58,NR2A,UNIPROT
1783046,59,GluN2B,UNIPROT
1783042,59,"Glutamate receptor ionotropic, NMDA 2B",UNIPROT
1783043,59,Glutamate [NMDA] receptor subunit epsilon-2,UNIPROT
1783040,59,GRIN2B,GENE_SYMBOL
1783050,59,hNR3,UNIPROT
1783044,59,N-methyl D-aspartate receptor subtype 2B,UNIPROT
1783045,59,N-methyl-D-aspartate receptor subunit 3,UNIPROT
860937,59,NMDAR2B,GENE_SYMBOL_OTHER
1783047,59,NMDAR2B,UNIPROT
1783048,59,NR2B,UNIPROT
1783049,59,NR3,UNIPROT
1783386,60,CDK5 activator 1,UNIPROT
861657,60,CDK5R,GENE_SYMBOL_OTHER
1783377,60,CDK5R1,GENE_SYMBOL
1783380,60,Cyclin-dependent kinase 5 activator 1,UNIPROT
1783382,60,"Cyclin-dependent kinase 5 activator 1, p25",UNIPROT
1783381,60,"Cyclin-dependent kinase 5 activator 1, p35",UNIPROT
1783383,60,Cyclin-dependent kinase 5 regulatory subunit 1,UNIPROT
861658,60,NCK5A,GENE_SYMBOL_OTHER
1783389,60,p23,UNIPROT
1783388,60,p25,UNIPROT
1783387,60,p35,UNIPROT
1783385,60,Tau protein kinase II 23 kDa subunit,UNIPROT
1783384,60,TPKII regulatory subunit,UNIPROT
861672,61,GluN2D,GENE_SYMBOL_OTHER
1783395,61,GluN2D,UNIPROT
1783392,61,"Glutamate receptor ionotropic, NMDA 2D",UNIPROT
1783393,61,Glutamate [NMDA] receptor subunit epsilon-4,UNIPROT
1783390,61,Grin2d,GENE_SYMBOL
1783394,61,N-methyl D-aspartate receptor subtype 2D,UNIPROT
1783396,61,NMDAR2D,UNIPROT
1783397,61,NR2D,UNIPROT
1783401,62,GluN3B,UNIPROT
1783399,62,"Glutamate receptor ionotropic, NMDA 3B",UNIPROT
1783398,62,Grin3b,GENE_SYMBOL
1783400,62,N-methyl-D-aspartate receptor subtype 3B,UNIPROT
1783402,62,NMDAR3B,UNIPROT
1783403,62,NR3B,UNIPROT
1783405,63,GABA theta subunit,UNIPROT
1783404,63,Gabrq,GENE_SYMBOL
1783408,64,GABA(A) receptor subunit epsilon,UNIPROT
1783406,64,Gabre,GENE_SYMBOL
1783407,64,Gamma-aminobutyric acid receptor subunit epsilon,UNIPROT
1783416,65,GluN3A,UNIPROT
1783411,65,Glutamate receptor chi-1,UNIPROT
1783410,65,"Glutamate receptor ionotropic, NMDA 3A",UNIPROT
1783409,65,Grin3a,GENE_SYMBOL
1783412,65,N-methyl-D-aspartate receptor,UNIPROT
1783413,65,N-methyl-D-aspartate receptor subtype 3A,UNIPROT
1783414,65,NMDAR-L,UNIPROT
1783415,65,NMDAR-L1,UNIPROT
1783417,65,NMDAR3A,UNIPROT
1783418,65,NR3A,UNIPROT
1783191,66,3.1.3.25,EC_NUMBER
1783189,66,IMP 2,UNIPROT
861110,66,IMP.18P,GENE_SYMBOL_OTHER
1783184,66,IMPA2,GENE_SYMBOL
1783190,66,IMPase 2,UNIPROT
1783186,66,Inositol monophosphatase 2,UNIPROT
1783187,66,Inositol-1(or 4)-monophosphatase 2,UNIPROT
1783188,66,Myo-inositol monophosphatase A2,UNIPROT
861119,67,COB,GENE_SYMBOL_OTHER
1783197,67,Complex III subunit 3,UNIPROT
1783198,67,Complex III subunit III,UNIPROT
861120,67,CYTB,GENE_SYMBOL_OTHER
1783196,67,Cytochrome b,UNIPROT
1783199,67,Cytochrome b-c1 complex subunit 3,UNIPROT
1783192,67,MT-CYB,GENE_SYMBOL
861121,67,MTCYB,GENE_SYMBOL_OTHER
1783200,67,Ubiquinol-cytochrome-c reductase complex cytochrome b subunit,UNIPROT
1783205,68,CD_antigen=CD25,UNIPROT
1783206,68,IL-2 receptor subunit alpha,UNIPROT
1783207,68,IL-2-RA,UNIPROT
1783208,68,IL-2R subunit alpha,UNIPROT
1783209,68,IL2-RA,UNIPROT
1783201,68,IL2RA,GENE_SYMBOL
1783202,68,Interleukin-2 receptor subunit alpha,UNIPROT
1783204,68,p55,UNIPROT
1783203,68,TAC antigen,UNIPROT
1783210,69,CHRM3,GENE_SYMBOL
1783211,69,Muscarinic acetylcholine receptor M3,UNIPROT
1783220,70,3.4.16.4,EC_NUMBER
1783221,70,3.4.21.-,EC_NUMBER
1783213,70,D-alanyl-D-alanine carboxypeptidase DacB,UNIPROT
1783214,70,D-alanyl-D-alanine endopeptidase,UNIPROT
1783212,70,dacB,GENE_SYMBOL
1783216,70,DD-carboxypeptidase,UNIPROT
1783218,70,DD-endopeptidase,UNIPROT
1783217,70,DD-peptidase,UNIPROT
1783219,70,PBP-4,UNIPROT
1783215,70,Penicillin-binding protein 4,UNIPROT
1783233,71,1.14.14.154,EC_NUMBER
861152,71,CYP51,GENE_SYMBOL_OTHER
1783232,71,CYPLI,UNIPROT
1783226,71,Cytochrome P450 51,UNIPROT
1783227,71,Cytochrome P450-14DM,UNIPROT
1783228,71,Cytochrome P450-LIA1,UNIPROT
1783222,71,ERG11,GENE_SYMBOL
1548152,71,ERG16,GENE_SYMBOL_OTHER
1783229,71,Ergosterol biosynthesis protein 11,UNIPROT
1783225,71,Lanosterol 14-alpha demethylase,UNIPROT
1783231,71,LDM,UNIPROT
1783230,71,Sterol 14-alpha demethylase,UNIPROT
1548151,71,Synonyms=CYP51,GENE_SYMBOL_OTHER
1783237,72,5.6.2.1,EC_NUMBER
1783235,72,DNA topoisomerase 1,UNIPROT
1783236,72,DNA topoisomerase I,UNIPROT
1783234,72,TOP1,GENE_SYMBOL
1783242,73,"(2E,6E)-farnesyl diphosphate synthase",UNIPROT
1783249,73,2.5.1.1,EC_NUMBER
1783248,73,2.5.1.10,EC_NUMBER
1783243,73,Dimethylallyltranstransferase,UNIPROT
1783244,73,Farnesyl diphosphate synthase,UNIPROT
1783241,73,Farnesyl pyrophosphate synthase,UNIPROT
1783238,73,FDPS,GENE_SYMBOL
1783246,73,FPP synthase,UNIPROT
861168,73,FPS,GENE_SYMBOL_OTHER
1783247,73,FPS,UNIPROT
1783245,73,Geranyltranstransferase,UNIPROT
861169,73,KIAA1293,GENE_SYMBOL_OTHER
1783256,74,L-VEGF,UNIPROT
1783253,74,N-VEGF,UNIPROT
1783252,74,"Vascular endothelial growth factor A, long form",UNIPROT
1783255,74,Vascular permeability factor,UNIPROT
861182,74,VEGF,GENE_SYMBOL_OTHER
1783250,74,VEGFA,GENE_SYMBOL
1783254,74,VEGFA,UNIPROT
1783257,74,VPF,UNIPROT
1783260,75,GLP-1 receptor,UNIPROT
1783261,75,GLP-1-R,UNIPROT
1783262,75,GLP-1R,UNIPROT
1783258,75,GLP1R,GENE_SYMBOL
1783259,75,Glucagon-like peptide 1 receptor,UNIPROT
1783263,76,EDNRB,GENE_SYMBOL
1783266,76,Endothelin receptor non-selective type,UNIPROT
1783265,76,Endothelin receptor type B,UNIPROT
1783267,76,ET-B,UNIPROT
1783268,76,ET-BR,UNIPROT
861529,76,ETRB,GENE_SYMBOL_OTHER
1783277,77,3.1.3.25,EC_NUMBER
1783278,77,3.1.3.94,EC_NUMBER
1783272,77,D-galactose 1-phosphate phosphatase,UNIPROT
1783275,77,IMP 1,UNIPROT
861536,77,IMPA,GENE_SYMBOL_OTHER
1783269,77,IMPA1,GENE_SYMBOL
1783276,77,IMPase 1,UNIPROT
1783271,77,Inositol monophosphatase 1,UNIPROT
1783273,77,Inositol-1(or 4)-monophosphatase 1,UNIPROT
1783274,77,Lithium-sensitive myo-inositol monophosphatase A1,UNIPROT
1783284,78,1.3.1.22,EC_NUMBER
1783280,78,3-oxo-5-alpha-steroid 4-dehydrogenase 1,UNIPROT
1783283,78,S5AR 1,UNIPROT
1783281,78,SR type 1,UNIPROT
1783279,78,SRD5A1,GENE_SYMBOL
1783282,78,Steroid 5-alpha-reductase 1,UNIPROT
1783287,79,GABA(A) receptor subunit gamma-2,UNIPROT
1783285,79,GABRG2,GENE_SYMBOL
1783286,79,Gamma-aminobutyric acid receptor subunit gamma-2,UNIPROT
1783288,80,dg1,GENE_SYMBOL
1783289,80,Ligand-gated chloride channel subunit,UNIPROT
861558,81,ADHR,GENE_SYMBOL_OTHER
1783297,81,Antidiuretic hormone receptor,UNIPROT
1783296,81,AVPR V2,UNIPROT
1783290,81,AVPR2,GENE_SYMBOL
861559,81,DIR,GENE_SYMBOL_OTHER
861560,81,DIR3,GENE_SYMBOL_OTHER
1783298,81,Renal-type arginine vasopressin receptor,UNIPROT
861561,81,V2R,GENE_SYMBOL_OTHER
1783299,81,V2R,UNIPROT
1783295,81,Vasopressin V2 receptor,UNIPROT
1783307,82,Alpha-ENaC,UNIPROT
1783303,82,Alpha-NaCH,UNIPROT
1783302,82,Amiloride-sensitive sodium channel subunit alpha,UNIPROT
1783308,82,ENaCA,UNIPROT
1783304,82,Epithelial Na(+) channel subunit alpha,UNIPROT
1783305,82,Nonvoltage-gated sodium channel 1 subunit alpha,UNIPROT
1783306,82,SCNEA,UNIPROT
861572,82,SCNN1,GENE_SYMBOL_OTHER
1783300,82,SCNN1A,GENE_SYMBOL
1783310,83,Somatostatin receptor type 5,UNIPROT
1783311,83,SS-5-R,UNIPROT
1783312,83,SS5-R,UNIPROT
1783313,83,SS5R,UNIPROT
1783314,83,SST5,UNIPROT
1783309,83,SSTR5,GENE_SYMBOL
1783320,84,Parathyroid hormone 1 receptor,UNIPROT
1783318,84,Parathyroid hormone/parathyroid hormone-related peptide receptor,UNIPROT
1783321,84,PTH/PTHr receptor,UNIPROT
1783319,84,PTH/PTHrP type I receptor,UNIPROT
1783322,84,PTH1 receptor,UNIPROT
1783315,84,PTH1R,GENE_SYMBOL
861587,84,PTHR,GENE_SYMBOL_OTHER
861588,84,PTHR1,GENE_SYMBOL_OTHER
1783323,85,CHRNA2,GENE_SYMBOL
1783324,85,Neuronal acetylcholine receptor subunit alpha-2,UNIPROT
1783334,86,4.6.1.2,EC_NUMBER
1783330,86,ANP-B,UNIPROT
1783331,86,ANPR-B,UNIPROT
861599,86,ANPRB,GENE_SYMBOL_OTHER
1783327,86,Atrial natriuretic peptide receptor 2,UNIPROT
1783328,86,Atrial natriuretic peptide receptor type B,UNIPROT
1783333,86,GC-B,UNIPROT
1783329,86,Guanylate cyclase B,UNIPROT
1783332,86,NPR-B,UNIPROT
1783325,86,NPR2,GENE_SYMBOL
1783338,87,3.1.1.3,EC_NUMBER
1783337,87,Gastric lipase,UNIPROT
1783336,87,Gastric triacylglycerol lipase,UNIPROT
1783335,87,LIPF,GENE_SYMBOL
1783341,88,4.1.1.17,EC_NUMBER
1783340,88,ODC,UNIPROT
1783339,88,Ornithine decarboxylase,UNIPROT
861618,89,CYSLT1,GENE_SYMBOL_OTHER
1783342,89,CYSLTR1,GENE_SYMBOL
1783348,89,CysLTR1,UNIPROT
1783345,89,Cysteinyl leukotriene D4 receptor,UNIPROT
1783344,89,Cysteinyl leukotriene receptor 1,UNIPROT
1783346,89,G-protein coupled receptor HG55,UNIPROT
1783347,89,HMTMF81,UNIPROT
1783349,89,LTD4 receptor,UNIPROT
1783357,90,3.4.16.4,EC_NUMBER
1783352,90,Essential cell division protein FtsI,UNIPROT
1783350,90,ftsI,GENE_SYMBOL
1783353,90,Murein transpeptidase,UNIPROT
1783356,90,PBP-3,UNIPROT
1783354,90,Penicillin-binding protein 3,UNIPROT
1783351,90,"Peptidoglycan D,D-transpeptidase FtsI",UNIPROT
1783355,90,Peptidoglycan synthase FtsI,UNIPROT
