indref_id,drugind_id,ref_type,ref_id,ref_url
593856,55507,ClinicalTrials,"NCT00233506,NCT00438880",https://clinicaltrials.gov/search?term=NCT00233506%20NCT00438880
593857,55508,ClinicalTrials,NCT00880581,https://clinicaltrials.gov/search?term=NCT00880581
593858,55509,ClinicalTrials,NCT00438880,https://clinicaltrials.gov/search?term=NCT00438880
593859,107424,ClinicalTrials,"NCT00031278,NCT00043394",https://clinicaltrials.gov/search?term=NCT00031278%20NCT00043394
593860,55510,ClinicalTrials,NCT00438880,https://clinicaltrials.gov/search?term=NCT00438880
593861,55511,ClinicalTrials,NCT00040950,https://clinicaltrials.gov/search?term=NCT00040950
593862,107426,ClinicalTrials,NCT00043407,https://clinicaltrials.gov/search?term=NCT00043407
593863,50529,ClinicalTrials,"NCT00070642,NCT00145145,NCT00145158",https://clinicaltrials.gov/search?term=NCT00070642%20NCT00145145%20NCT00145158
593864,107427,ClinicalTrials,NCT00562939,https://clinicaltrials.gov/search?term=NCT00562939
593865,107428,ClinicalTrials,"NCT00320658,NCT00414336,NCT00427167,NCT00889616",https://clinicaltrials.gov/search?term=NCT00320658%20NCT00414336%20NCT00427167%20NCT00889616
593866,53326,ClinicalTrials,NCT00043420,https://clinicaltrials.gov/search?term=NCT00043420
593867,55513,ClinicalTrials,"NCT00070629,NCT00254904",https://clinicaltrials.gov/search?term=NCT00070629%20NCT00254904
593868,55514,ClinicalTrials,NCT00471159,https://clinicaltrials.gov/search?term=NCT00471159
593869,55515,ClinicalTrials,NCT00880581,https://clinicaltrials.gov/search?term=NCT00880581
593870,107430,ClinicalTrials,NCT00438880,https://clinicaltrials.gov/search?term=NCT00438880
593871,107431,ClinicalTrials,"NCT00185965,NCT00226993",https://clinicaltrials.gov/search?term=NCT00185965%20NCT00226993
593872,55516,ClinicalTrials,"NCT00438880,NCT00490529",https://clinicaltrials.gov/search?term=NCT00438880%20NCT00490529
593873,107432,ClinicalTrials,NCT01164514,https://clinicaltrials.gov/search?term=NCT01164514
593874,133657,ClinicalTrials,NCT00669292,https://clinicaltrials.gov/search?term=NCT00669292
593875,126884,ClinicalTrials,NCT00292045,https://clinicaltrials.gov/search?term=NCT00292045
593876,116224,ClinicalTrials,NCT00438880,https://clinicaltrials.gov/search?term=NCT00438880
593877,25754,ClinicalTrials,NCT01357850,https://clinicaltrials.gov/search?term=NCT01357850
593878,42345,ATC,A10BJ04,https://www.whocc.no/atc_ddd_index/?code=A10BJ04
593879,42345,ClinicalTrials,"NCT01777282,NCT02465515,NCT02802514",https://clinicaltrials.gov/search?term=NCT01777282%20NCT02465515%20NCT02802514
593880,136808,ClinicalTrials,NCT02284009,https://clinicaltrials.gov/search?term=NCT02284009
593881,136809,DailyMed,5fcad939-76e7-49cf-af94-4e6aef17901f,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5fcad939-76e7-49cf-af94-4e6aef17901f
593882,136809,EMA,EMEA/H/C/002735,https://www.ema.europa.eu/en/medicines/human/EPAR/eperzan
593883,136809,ClinicalTrials,"NCT00354536,NCT00394030,NCT00518115,NCT00530309,NCT00537719,NCT00838903,NCT00838916,NCT00839527,NCT00849017,NCT00849056,NCT00938158,NCT01077505,NCT01098461,NCT01098539,NCT01128894,NCT01147692,NCT01147718,NCT01147731,NCT01357889,NCT01406262,NCT01475734,NCT01733758,NCT02229227,NCT02229240,NCT02496221,NCT02660736,NCT02683746,NCT02750930,NCT02787551,NCT02793154,NCT03015519",https://clinicaltrials.gov/search?term=NCT00354536%20NCT00394030%20NCT00518115%20NCT00530309%20NCT00537719%20NCT00838903%20NCT00838916%20NCT00839527%20NCT00849017%20NCT00849056%20NCT00938158%20NCT01077505%20NCT01098461%20NCT01098539%20NCT01128894%20NCT01147692%20NCT01147718%20NCT01147731%20NCT01357889%20NCT01406262%20NCT01475734%20NCT01733758%20NCT02229227%20NCT02229240%20NCT02496221%20NCT02660736%20NCT02683746%20NCT02750930%20NCT02787551%20NCT02793154%20NCT03015519
593884,136810,ATC,L03AB12,https://www.whocc.no/atc_ddd_index/?code=L03AB12
593885,55518,ClinicalTrials,NCT00097435,https://clinicaltrials.gov/search?term=NCT00097435
593886,55015,ClinicalTrials,"NCT00115908,NCT00402428,NCT00411385,NCT00656006,NCT00759200",https://clinicaltrials.gov/search?term=NCT00115908%20NCT00402428%20NCT00411385%20NCT00656006%20NCT00759200
593887,55309,ClinicalTrials,NCT00964665,https://clinicaltrials.gov/search?term=NCT00964665
593888,136811,ClinicalTrials,"NCT00388518,NCT00461006,NCT00461058,NCT01042769,NCT01043029,NCT01398267,NCT01680978,NCT01691755,NCT01691846,NCT01691989,NCT01729403,NCT01871415,NCT01871428",https://clinicaltrials.gov/search?term=NCT00388518%20NCT00461006%20NCT00461058%20NCT01042769%20NCT01043029%20NCT01398267%20NCT01680978%20NCT01691755%20NCT01691846%20NCT01691989%20NCT01729403%20NCT01871415%20NCT01871428
593889,55519,ClinicalTrials,"NCT00252343,NCT00266747,NCT00332891,NCT00397098,NCT00535340",https://clinicaltrials.gov/search?term=NCT00252343%20NCT00266747%20NCT00332891%20NCT00397098%20NCT00535340
593890,116225,ClinicalTrials,"NCT00252330,NCT00252356,NCT00385307,NCT00432614,NCT00825019,NCT00825058,NCT00855530",https://clinicaltrials.gov/search?term=NCT00252330%20NCT00252356%20NCT00385307%20NCT00432614%20NCT00825019%20NCT00825058%20NCT00855530
593891,116226,ClinicalTrials,"NCT00319709,NCT00345098",https://clinicaltrials.gov/search?term=NCT00319709%20NCT00345098
593892,55148,ClinicalTrials,NCT01252953,https://clinicaltrials.gov/search?term=NCT01252953
593893,55092,ClinicalTrials,NCT00685776,https://clinicaltrials.gov/search?term=NCT00685776
593894,50945,ClinicalTrials,"NCT01524289,NCT01824238",https://clinicaltrials.gov/search?term=NCT01524289%20NCT01824238
593895,50438,ClinicalTrials,"NCT00325455,NCT00565292,NCT01717300,NCT01860729",https://clinicaltrials.gov/search?term=NCT00325455%20NCT00565292%20NCT01717300%20NCT01860729
593896,136812,ClinicalTrials,NCT01841684,https://clinicaltrials.gov/search?term=NCT01841684
593897,136813,ClinicalTrials,"NCT00325455,NCT00565292",https://clinicaltrials.gov/search?term=NCT00325455%20NCT00565292
593898,50823,ClinicalTrials,"NCT00977288,NCT00990808,NCT01114490,NCT01122667,NCT01760460",https://clinicaltrials.gov/search?term=NCT00977288%20NCT00990808%20NCT01114490%20NCT01122667%20NCT01760460
593899,133658,ClinicalTrials,NCT04844970,https://clinicaltrials.gov/search?term=NCT04844970
593900,41546,ClinicalTrials,"NCT00219817,NCT00267358",https://clinicaltrials.gov/search?term=NCT00219817%20NCT00267358
593901,107434,ClinicalTrials,NCT03035409,https://clinicaltrials.gov/search?term=NCT03035409
593902,49358,ClinicalTrials,NCT01284062,https://clinicaltrials.gov/search?term=NCT01284062
593903,136814,ClinicalTrials,"NCT00410280,NCT00425061",https://clinicaltrials.gov/search?term=NCT00410280%20NCT00425061
593904,54459,ClinicalTrials,NCT02059135,https://clinicaltrials.gov/search?term=NCT02059135
593905,144077,EMA,EMEA/H/C/000587,https://www.ema.europa.eu/en/medicines/human/EPAR/atryn
593906,55521,ClinicalTrials,"NCT00506519,NCT01384396,NCT01384409,NCT01384903",https://clinicaltrials.gov/search?term=NCT00506519%20NCT01384396%20NCT01384409%20NCT01384903
593907,48695,ClinicalTrials,"NCT00430495,NCT00595413,NCT00664521",https://clinicaltrials.gov/search?term=NCT00430495%20NCT00595413%20NCT00664521
593908,54297,ClinicalTrials,"NCT02808429,NCT04716231",https://clinicaltrials.gov/search?term=NCT02808429%20NCT04716231
593909,55522,ClinicalTrials,"NCT00573157,NCT01369628,NCT05609812",https://clinicaltrials.gov/search?term=NCT00573157%20NCT01369628%20NCT05609812
593910,49020,ClinicalTrials,NCT00624468,https://clinicaltrials.gov/search?term=NCT00624468
593911,136815,ClinicalTrials,"NCT00642902,NCT00853762",https://clinicaltrials.gov/search?term=NCT00642902%20NCT00853762
593912,144078,ClinicalTrials,"NCT00624338,NCT01440231,NCT01972568,NCT02070978",https://clinicaltrials.gov/search?term=NCT00624338%20NCT01440231%20NCT01972568%20NCT02070978
593913,55523,ClinicalTrials,NCT00762736,https://clinicaltrials.gov/search?term=NCT00762736
593914,50264,ClinicalTrials,"NCT00759551,NCT02451150,NCT02609490,NCT02786082,NCT02791438,NCT04668157",https://clinicaltrials.gov/search?term=NCT00759551%20NCT02451150%20NCT02609490%20NCT02786082%20NCT02791438%20NCT04668157
593915,144079,ClinicalTrials,NCT04606563,https://clinicaltrials.gov/search?term=NCT04606563
593916,136816,ClinicalTrials,"NCT01289132,NCT02407210",https://clinicaltrials.gov/search?term=NCT01289132%20NCT02407210
593917,136817,ClinicalTrials,"NCT00376181,NCT01124656",https://clinicaltrials.gov/search?term=NCT00376181%20NCT01124656
593918,144080,ClinicalTrials,NCT04606563,https://clinicaltrials.gov/search?term=NCT04606563
593919,22748,DailyMed,52b27c75-9f5a-4816-bafd-dace9d7d2063,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=52b27c75-9f5a-4816-bafd-dace9d7d2063
593920,22748,DailyMed,75b16bfc-38c1-4133-bd7d-13258d54edec,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=75b16bfc-38c1-4133-bd7d-13258d54edec
593921,22748,DailyMed,b2d6e17b-f14a-463b-a662-03c9387c63dd,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b2d6e17b-f14a-463b-a662-03c9387c63dd
593922,22748,DailyMed,e60f795b-fce3-4361-aa03-f143451689d1,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e60f795b-fce3-4361-aa03-f143451689d1
593923,133659,DailyMed,52b27c75-9f5a-4816-bafd-dace9d7d2063,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=52b27c75-9f5a-4816-bafd-dace9d7d2063
593924,133659,DailyMed,e60f795b-fce3-4361-aa03-f143451689d1,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e60f795b-fce3-4361-aa03-f143451689d1
593925,50070,ATC,C09CA09,https://www.whocc.no/atc_ddd_index/?code=C09CA09
593926,50261,ClinicalTrials,"NCT00362115,NCT00591253,NCT00591266,NCT00591578,NCT00591773,NCT00695955,NCT00696241,NCT00696384,NCT00696436,NCT00760214,NCT00847626,NCT01078376,NCT02203916,NCT02235909",https://clinicaltrials.gov/search?term=NCT00362115%20NCT00591253%20NCT00591266%20NCT00591578%20NCT00591773%20NCT00695955%20NCT00696241%20NCT00696384%20NCT00696436%20NCT00760214%20NCT00847626%20NCT01078376%20NCT02203916%20NCT02235909
593927,136818,ClinicalTrials,"NCT00818883,NCT00846365,NCT00996281,NCT01033071,NCT01456169,NCT02480764",https://clinicaltrials.gov/search?term=NCT00818883%20NCT00846365%20NCT00996281%20NCT01033071%20NCT01456169%20NCT02480764
593928,54657,ClinicalTrials,"NCT00292422,NCT00458861,NCT00523328,NCT00664573,NCT00664716",https://clinicaltrials.gov/search?term=NCT00292422%20NCT00458861%20NCT00523328%20NCT00664573%20NCT00664716
593929,52965,ClinicalTrials,NCT01552681,https://clinicaltrials.gov/search?term=NCT01552681
593930,55528,ClinicalTrials,NCT01164384,https://clinicaltrials.gov/search?term=NCT01164384
593931,107435,ClinicalTrials,NCT01181089,https://clinicaltrials.gov/search?term=NCT01181089
593932,55356,ClinicalTrials,NCT00527410,https://clinicaltrials.gov/search?term=NCT00527410
593933,133660,ClinicalTrials,NCT04915404,https://clinicaltrials.gov/search?term=NCT04915404
593934,136819,ClinicalTrials,NCT00526812,https://clinicaltrials.gov/search?term=NCT00526812
593935,136820,ClinicalTrials,NCT05082493,https://clinicaltrials.gov/search?term=NCT05082493
593936,39893,ClinicalTrials,"NCT00407589,NCT01175590,NCT01330355",https://clinicaltrials.gov/search?term=NCT00407589%20NCT01175590%20NCT01330355
593937,39893,DailyMed,c326263e-4b55-41b6-b862-c970668669ec,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c326263e-4b55-41b6-b862-c970668669ec
593938,136821,ClinicalTrials,NCT00824070,https://clinicaltrials.gov/search?term=NCT00824070
593939,50666,ClinicalTrials,"NCT00742859,NCT01229254",https://clinicaltrials.gov/search?term=NCT00742859%20NCT01229254
593940,55529,ClinicalTrials,NCT03397888,https://clinicaltrials.gov/search?term=NCT03397888
593941,116227,ClinicalTrials,NCT00999336,https://clinicaltrials.gov/search?term=NCT00999336
593942,55530,ClinicalTrials,NCT01229254,https://clinicaltrials.gov/search?term=NCT01229254
593943,55021,ClinicalTrials,NCT01583218,https://clinicaltrials.gov/search?term=NCT01583218
593944,55021,FDA,label/2017/208383s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf
593945,116228,ClinicalTrials,NCT00375609,https://clinicaltrials.gov/search?term=NCT00375609
593946,116229,ATC,B01AF04,https://www.whocc.no/atc_ddd_index/?code=B01AF04
593947,55531,ClinicalTrials,NCT03330457,https://clinicaltrials.gov/search?term=NCT03330457
593948,116230,ATC,J05AP03,https://www.whocc.no/atc_ddd_index/?code=J05AP03
593949,44967,ClinicalTrials,"NCT01181804,NCT01396005,NCT01446250,NCT01470690,NCT01499498,NCT01585584,NCT01663922,NCT02204475",https://clinicaltrials.gov/search?term=NCT01181804%20NCT01396005%20NCT01446250%20NCT01470690%20NCT01499498%20NCT01585584%20NCT01663922%20NCT02204475
593950,42417,EMA,EMEA/H/C/002332,https://www.ema.europa.eu/en/medicines/human/EPAR/victrelis
593951,42417,ClinicalTrials,"NCT00160251,NCT00423670,NCT00689390,NCT00705432,NCT00708500,NCT00845065,NCT00910624,NCT01023035,NCT01353911,NCT01390844,NCT01425190,NCT01425203,NCT01482403,NCT01544920,NCT01590225,NCT01591460,NCT01641666,NCT01653236,NCT01945294,NCT02060058",https://clinicaltrials.gov/search?term=NCT00160251%20NCT00423670%20NCT00689390%20NCT00705432%20NCT00708500%20NCT00845065%20NCT00910624%20NCT01023035%20NCT01353911%20NCT01390844%20NCT01425190%20NCT01425203%20NCT01482403%20NCT01544920%20NCT01590225%20NCT01591460%20NCT01641666%20NCT01653236%20NCT01945294%20NCT02060058
593952,42417,FDA,label/2011/202258lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/202258lbl.pdf
593953,47771,ClinicalTrials,NCT01657552,https://clinicaltrials.gov/search?term=NCT01657552
593954,55532,ClinicalTrials,NCT00122694,https://clinicaltrials.gov/search?term=NCT00122694
593955,49378,ClinicalTrials,NCT01214187,https://clinicaltrials.gov/search?term=NCT01214187
593956,47448,ClinicalTrials,NCT01523548,https://clinicaltrials.gov/search?term=NCT01523548
593957,53909,ClinicalTrials,"NCT02425579,NCT03799874",https://clinicaltrials.gov/search?term=NCT02425579%20NCT03799874
593958,133661,ClinicalTrials,NCT01050712,https://clinicaltrials.gov/search?term=NCT01050712
593959,126885,ClinicalTrials,NCT00094406,https://clinicaltrials.gov/search?term=NCT00094406
593960,144081,ClinicalTrials,NCT01484470,https://clinicaltrials.gov/search?term=NCT01484470
593961,136822,ClinicalTrials,NCT02893917,https://clinicaltrials.gov/search?term=NCT02893917
593962,55535,ClinicalTrials,NCT00321581,https://clinicaltrials.gov/search?term=NCT00321581
593963,55536,ClinicalTrials,NCT04090567,https://clinicaltrials.gov/search?term=NCT04090567
593964,107436,ClinicalTrials,NCT01364051,https://clinicaltrials.gov/search?term=NCT01364051
593965,46452,ClinicalTrials,"NCT00503204,NCT00777153,NCT02974621",https://clinicaltrials.gov/search?term=NCT00503204%20NCT00777153%20NCT02974621
593966,55537,ClinicalTrials,NCT00502385,https://clinicaltrials.gov/search?term=NCT00502385
593967,42532,ATC,L01EK02,https://www.whocc.no/atc_ddd_index/?code=L01EK02
593968,42532,ClinicalTrials,"NCT00264004,NCT00475956,NCT00502060,NCT00502567,NCT00503477,NCT00750425,NCT00750841",https://clinicaltrials.gov/search?term=NCT00264004%20NCT00475956%20NCT00502060%20NCT00502567%20NCT00503477%20NCT00750425%20NCT00750841
593969,55538,ClinicalTrials,"NCT00502164,NCT02893917",https://clinicaltrials.gov/search?term=NCT00502164%20NCT02893917
593970,45660,ClinicalTrials,"NCT00423332,NCT03741426",https://clinicaltrials.gov/search?term=NCT00423332%20NCT03741426
593971,107437,ClinicalTrials,NCT02899728,https://clinicaltrials.gov/search?term=NCT02899728
593972,107439,ClinicalTrials,NCT01364051,https://clinicaltrials.gov/search?term=NCT01364051
593973,116231,ClinicalTrials,NCT01208051,https://clinicaltrials.gov/search?term=NCT01208051
593974,55540,ClinicalTrials,"NCT00539331,NCT03334617",https://clinicaltrials.gov/search?term=NCT00539331%20NCT03334617
593975,133662,ClinicalTrials,NCT00503204,https://clinicaltrials.gov/search?term=NCT00503204
593976,55541,ClinicalTrials,NCT00939848,https://clinicaltrials.gov/search?term=NCT00939848
593977,55542,ClinicalTrials,NCT03314740,https://clinicaltrials.gov/search?term=NCT03314740
593978,55543,ClinicalTrials,"NCT00942877,NCT01337401,NCT01391962",https://clinicaltrials.gov/search?term=NCT00942877%20NCT01337401%20NCT01391962
593979,107441,ClinicalTrials,NCT00503412,https://clinicaltrials.gov/search?term=NCT00503412
593980,53664,ClinicalTrials,NCT01160926,https://clinicaltrials.gov/search?term=NCT01160926
593981,55544,ClinicalTrials,"NCT00278889,NCT00384176",https://clinicaltrials.gov/search?term=NCT00278889%20NCT00384176
593982,116232,ClinicalTrials,NCT00960349,https://clinicaltrials.gov/search?term=NCT00960349
593983,116233,ClinicalTrials,NCT01065662,https://clinicaltrials.gov/search?term=NCT01065662
593984,116234,ClinicalTrials,NCT01065662,https://clinicaltrials.gov/search?term=NCT01065662
593985,116235,ClinicalTrials,"NCT01065662,NCT04487587",https://clinicaltrials.gov/search?term=NCT01065662%20NCT04487587
593986,144082,ClinicalTrials,"NCT00306891,NCT00748891,NCT00981721",https://clinicaltrials.gov/search?term=NCT00306891%20NCT00748891%20NCT00981721
593987,116236,ClinicalTrials,NCT00454805,https://clinicaltrials.gov/search?term=NCT00454805
593988,116237,ClinicalTrials,"NCT00532194,NCT01065662,NCT02340611,NCT02855697,NCT02889900,NCT03117933,NCT03278717,NCT03699449",https://clinicaltrials.gov/search?term=NCT00532194%20NCT01065662%20NCT02340611%20NCT02855697%20NCT02889900%20NCT03117933%20NCT03278717%20NCT03699449
593989,116238,ClinicalTrials,NCT00436956,https://clinicaltrials.gov/search?term=NCT00436956
593990,116239,ClinicalTrials,NCT00621361,https://clinicaltrials.gov/search?term=NCT00621361
593991,116240,ClinicalTrials,NCT01065662,https://clinicaltrials.gov/search?term=NCT01065662
593992,55545,ClinicalTrials,NCT00321724,https://clinicaltrials.gov/search?term=NCT00321724
593993,43128,ClinicalTrials,"NCT00238394,NCT00427973",https://clinicaltrials.gov/search?term=NCT00238394%20NCT00427973
593994,47180,ClinicalTrials,NCT00303862,https://clinicaltrials.gov/search?term=NCT00303862
593995,55546,ClinicalTrials,NCT01364051,https://clinicaltrials.gov/search?term=NCT01364051
593996,49255,ClinicalTrials,"NCT01310855,NCT02974621",https://clinicaltrials.gov/search?term=NCT01310855%20NCT02974621
593997,43460,ClinicalTrials,"NCT00243074,NCT00309946",https://clinicaltrials.gov/search?term=NCT00243074%20NCT00309946
593998,55549,ClinicalTrials,NCT00527124,https://clinicaltrials.gov/search?term=NCT00527124
593999,46555,ClinicalTrials,NCT00227760,https://clinicaltrials.gov/search?term=NCT00227760
594000,55550,ClinicalTrials,NCT02899728,https://clinicaltrials.gov/search?term=NCT02899728
594001,55551,ClinicalTrials,NCT01064648,https://clinicaltrials.gov/search?term=NCT01064648
594002,107444,ClinicalTrials,NCT01364051,https://clinicaltrials.gov/search?term=NCT01364051
594003,116241,ClinicalTrials,NCT01208051,https://clinicaltrials.gov/search?term=NCT01208051
594004,43854,ClinicalTrials,"NCT00245063,NCT00410904",https://clinicaltrials.gov/search?term=NCT00245063%20NCT00410904
594005,46976,ClinicalTrials,NCT00244881,https://clinicaltrials.gov/search?term=NCT00244881
594006,53145,ClinicalTrials,"NCT00305656,NCT00662506,NCT00979862,NCT01062425",https://clinicaltrials.gov/search?term=NCT00305656%20NCT00662506%20NCT00979862%20NCT01062425
594007,55555,ClinicalTrials,NCT00588900,https://clinicaltrials.gov/search?term=NCT00588900
594008,116242,ClinicalTrials,NCT01229930,https://clinicaltrials.gov/search?term=NCT01229930
594009,116243,ClinicalTrials,NCT01260688,https://clinicaltrials.gov/search?term=NCT01260688
594010,116244,ClinicalTrials,"NCT00245154,NCT00326599,NCT00795340",https://clinicaltrials.gov/search?term=NCT00245154%20NCT00326599%20NCT00795340
594011,41004,ClinicalTrials,NCT00737594,https://clinicaltrials.gov/search?term=NCT00737594
594012,55556,ClinicalTrials,NCT00597818,https://clinicaltrials.gov/search?term=NCT00597818
594013,55557,ClinicalTrials,NCT02542215,https://clinicaltrials.gov/search?term=NCT02542215
594014,50778,ClinicalTrials,NCT00858637,https://clinicaltrials.gov/search?term=NCT00858637
594015,144083,EMA,EMEA/H/C/002377,https://www.ema.europa.eu/en/medicines/human/EPAR/bindren
594016,136823,ClinicalTrials,NCT00497198,https://clinicaltrials.gov/search?term=NCT00497198
594017,55558,ClinicalTrials,NCT00791011,https://clinicaltrials.gov/search?term=NCT00791011
594018,55559,ClinicalTrials,NCT00791011,https://clinicaltrials.gov/search?term=NCT00791011
594019,55560,ClinicalTrials,NCT01017822,https://clinicaltrials.gov/search?term=NCT01017822
594020,44968,ClinicalTrials,NCT00534027,https://clinicaltrials.gov/search?term=NCT00534027
594021,55561,ClinicalTrials,NCT00791011,https://clinicaltrials.gov/search?term=NCT00791011
594022,55562,ClinicalTrials,NCT00626704,https://clinicaltrials.gov/search?term=NCT00626704
594023,116245,ClinicalTrials,NCT01940172,https://clinicaltrials.gov/search?term=NCT01940172
594024,116246,ClinicalTrials,NCT01940172,https://clinicaltrials.gov/search?term=NCT01940172
594025,55565,ClinicalTrials,NCT00138658,https://clinicaltrials.gov/search?term=NCT00138658
594026,116247,ClinicalTrials,NCT00258375,https://clinicaltrials.gov/search?term=NCT00258375
594027,116248,ClinicalTrials,"NCT00054106,NCT00138918,NCT00258388,NCT01083615,NCT01578655",https://clinicaltrials.gov/search?term=NCT00054106%20NCT00138918%20NCT00258388%20NCT01083615%20NCT01578655
594028,47060,ClinicalTrials,NCT00283101,https://clinicaltrials.gov/search?term=NCT00283101
594029,55566,ClinicalTrials,"NCT00435916,NCT00529503,NCT00655837",https://clinicaltrials.gov/search?term=NCT00435916%20NCT00529503%20NCT00655837
594030,46660,ClinicalTrials,"NCT00079716,NCT00525447,NCT00664898",https://clinicaltrials.gov/search?term=NCT00079716%20NCT00525447%20NCT00664898
594031,46124,ClinicalTrials,"NCT00103779,NCT00556699",https://clinicaltrials.gov/search?term=NCT00103779%20NCT00556699
594032,50680,ClinicalTrials,NCT01059682,https://clinicaltrials.gov/search?term=NCT01059682
594033,50744,ClinicalTrials,"NCT00353522,NCT00400439,NCT00655473,NCT00655538,NCT00658515,NCT01323153,NCT01516541",https://clinicaltrials.gov/search?term=NCT00353522%20NCT00400439%20NCT00655473%20NCT00655538%20NCT00658515%20NCT01323153%20NCT01516541
594034,107449,ClinicalTrials,NCT01516541,https://clinicaltrials.gov/search?term=NCT01516541
594035,50953,ClinicalTrials,"NCT02525939,NCT05918861",https://clinicaltrials.gov/search?term=NCT02525939%20NCT05918861
594036,107450,ClinicalTrials,NCT01516541,https://clinicaltrials.gov/search?term=NCT01516541
594037,136824,ClinicalTrials,NCT00688896,https://clinicaltrials.gov/search?term=NCT00688896
594038,126886,ClinicalTrials,NCT04676867,https://clinicaltrials.gov/search?term=NCT04676867
594039,107451,ClinicalTrials,"NCT00688558,NCT00689442,NCT00697203",https://clinicaltrials.gov/search?term=NCT00688558%20NCT00689442%20NCT00697203
594040,133663,DailyMed,ac8a0f7b-9f69-4495-abbc-3a47cd75a859,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac8a0f7b-9f69-4495-abbc-3a47cd75a859
594041,136825,ClinicalTrials,NCT02777073,https://clinicaltrials.gov/search?term=NCT02777073
594042,136826,DailyMed,423c489c-085b-4320-b892-7868ebd6dc6b,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=423c489c-085b-4320-b892-7868ebd6dc6b
594043,136826,DailyMed,72ad22ae-efe6-4cd6-a302-98aaee423d69,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=72ad22ae-efe6-4cd6-a302-98aaee423d69
594044,136826,EMA,EMEA/H/C/002322,https://www.ema.europa.eu/en/medicines/human/EPAR/forxiga
594045,136826,ClinicalTrials,"NCT02429258,NCT04970940",https://clinicaltrials.gov/search?term=NCT02429258%20NCT04970940
594046,136826,DailyMed,ac8a0f7b-9f69-4495-abbc-3a47cd75a859,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac8a0f7b-9f69-4495-abbc-3a47cd75a859
594047,136826,DailyMed,fc6ae30e-868b-4ac9-b69d-900922503998,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc6ae30e-868b-4ac9-b69d-900922503998
594048,107453,ClinicalTrials,NCT00423306,https://clinicaltrials.gov/search?term=NCT00423306
594049,107454,ClinicalTrials,"NCT01435863,NCT01689220,NCT02653976",https://clinicaltrials.gov/search?term=NCT01435863%20NCT01689220%20NCT02653976
