as_id,rgid,smid,type,relation,value,units,text_value,standard_type,standard_relation,standard_value,standard_units,standard_text_value,comments
15,7,1012627,Liver_Increased mitosis (Hepatocyte),,,,moderate,Liver_Increased mitosis (Hepatocyte),,,,moderate,SAMPLE_ID: 0698055; SP_FLG: false; BARCODE: 003017906003
16,8,1012628,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698062; SP_FLG: false; BARCODE: No ChipData
17,9,1012629,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698063; SP_FLG: false; BARCODE: 003017906008
18,10,1012630,"Liver_Degeneration, fatty (Peripheral)",,,,slight,"Liver_Degeneration, fatty (Peripheral)",,,,slight,SAMPLE_ID: 0698061; SP_FLG: false; BARCODE: 003017906007
19,8,1012631,"Liver_Degeneration, fatty (Peripheral)",,,,slight,"Liver_Degeneration, fatty (Peripheral)",,,,slight,SAMPLE_ID: 0698062; SP_FLG: false; BARCODE: No ChipData
20,9,1012632,"Liver_Degeneration, fatty (Peripheral)",,,,slight,"Liver_Degeneration, fatty (Peripheral)",,,,slight,SAMPLE_ID: 0698063; SP_FLG: false; BARCODE: 003017906008
21,11,1012633,"Liver_Degeneration, fatty (Peripheral)",,,,slight,"Liver_Degeneration, fatty (Peripheral)",,,,slight,SAMPLE_ID: 0698064; SP_FLG: false; BARCODE: 003017906009
22,12,1012634,"Liver_Degeneration, fatty (Peripheral)",,,,slight,"Liver_Degeneration, fatty (Peripheral)",,,,slight,SAMPLE_ID: 0698065; SP_FLG: false; BARCODE: No ChipData
23,10,1012635,"Liver_Deposit, glycogen (Peripheral)",,,,slight,"Liver_Deposit, glycogen (Peripheral)",,,,slight,SAMPLE_ID: 0698061; SP_FLG: false; BARCODE: 003017906007
24,8,1012636,"Liver_Deposit, glycogen (Peripheral)",,,,slight,"Liver_Deposit, glycogen (Peripheral)",,,,slight,SAMPLE_ID: 0698062; SP_FLG: false; BARCODE: No ChipData
25,11,1012637,"Liver_Deposit, glycogen (Peripheral)",,,,slight,"Liver_Deposit, glycogen (Peripheral)",,,,slight,SAMPLE_ID: 0698064; SP_FLG: false; BARCODE: 003017906009
26,12,1012638,"Liver_Deposit, glycogen (Peripheral)",,,,slight,"Liver_Deposit, glycogen (Peripheral)",,,,slight,SAMPLE_ID: 0698065; SP_FLG: false; BARCODE: No ChipData
27,8,1012639,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698062; SP_FLG: false; BARCODE: No ChipData
28,12,1012640,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698065; SP_FLG: false; BARCODE: No ChipData
29,11,1012641,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698064; SP_FLG: false; BARCODE: 003017906009
30,13,1012642,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698074; SP_FLG: false; BARCODE: No ChipData
31,14,1012643,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698075; SP_FLG: false; BARCODE: 003017906015
32,15,1012644,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,SAMPLE_ID: 0698071; SP_FLG: false; BARCODE: No ChipData
33,16,1012645,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,SAMPLE_ID: 0698072; SP_FLG: false; BARCODE: 003017906013
34,17,1012646,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,SAMPLE_ID: 0698073; SP_FLG: false; BARCODE: 003017906014
35,13,1012647,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,SAMPLE_ID: 0698074; SP_FLG: false; BARCODE: No ChipData
36,14,1012648,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,"Liver_Degeneration, fatty (Peripheral)",,,,moderate,SAMPLE_ID: 0698075; SP_FLG: false; BARCODE: 003017906015
37,15,1012649,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698071; SP_FLG: false; BARCODE: No ChipData
38,13,1012650,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698074; SP_FLG: false; BARCODE: No ChipData
39,14,1012651,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698075; SP_FLG: false; BARCODE: 003017906015
40,18,1012652,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698081; SP_FLG: false; BARCODE: 003017906019
41,19,1012653,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698083; SP_FLG: false; BARCODE: No ChipData
42,20,1012654,"Liver_Cellular infiltration, mononuclear cell",,,,slight,"Liver_Cellular infiltration, mononuclear cell",,,,slight,SAMPLE_ID: 0698085; SP_FLG: false; BARCODE: 003017906021
43,18,1012655,"Liver_Degeneration, fatty (Peripheral)",,,,severe,"Liver_Degeneration, fatty (Peripheral)",,,,severe,SAMPLE_ID: 0698081; SP_FLG: false; BARCODE: 003017906019
44,21,1012656,"Liver_Degeneration, fatty (Peripheral)",,,,severe,"Liver_Degeneration, fatty (Peripheral)",,,,severe,SAMPLE_ID: 0698082; SP_FLG: false; BARCODE: No ChipData
45,19,1012657,"Liver_Degeneration, fatty (Peripheral)",,,,severe,"Liver_Degeneration, fatty (Peripheral)",,,,severe,SAMPLE_ID: 0698083; SP_FLG: false; BARCODE: No ChipData
46,22,1012658,"Liver_Degeneration, fatty (Peripheral)",,,,severe,"Liver_Degeneration, fatty (Peripheral)",,,,severe,SAMPLE_ID: 0698084; SP_FLG: false; BARCODE: 003017906020
47,20,1012659,"Liver_Degeneration, fatty (Peripheral)",,,,severe,"Liver_Degeneration, fatty (Peripheral)",,,,severe,SAMPLE_ID: 0698085; SP_FLG: false; BARCODE: 003017906021
48,18,1012660,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0698081; SP_FLG: false; BARCODE: 003017906019
49,23,1012661,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708051; SP_FLG: false; BARCODE: No ChipData
50,24,1012662,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708052; SP_FLG: false; BARCODE: No ChipData
51,25,1012663,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708053; SP_FLG: false; BARCODE: 003017912020
52,24,1012664,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708052; SP_FLG: false; BARCODE: No ChipData
53,26,1012665,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708054; SP_FLG: false; BARCODE: 003017912021
54,27,1012666,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708092; SP_FLG: false; BARCODE: No ChipData
55,28,1012667,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708093; SP_FLG: false; BARCODE: 003017912023
56,29,1012668,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708094; SP_FLG: false; BARCODE: 003017912024
57,30,1012669,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708095; SP_FLG: false; BARCODE: 003017912025
58,31,1012670,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708091; SP_FLG: false; BARCODE: No ChipData
59,28,1012671,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708093; SP_FLG: false; BARCODE: 003017912023
60,29,1012672,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708094; SP_FLG: false; BARCODE: 003017912024
61,32,1012673,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708105; SP_FLG: false; BARCODE: No ChipData
62,33,1012674,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708132; SP_FLG: false; BARCODE: No ChipData
63,34,1012675,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708133; SP_FLG: false; BARCODE: 003017912026
64,35,1012676,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708134; SP_FLG: false; BARCODE: 003017912027
65,36,1012677,Liver_Increased mitosis (Hepatocyte),,,,slight,Liver_Increased mitosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708135; SP_FLG: false; BARCODE: 003017912028
66,35,1012678,Liver_Necrosis (Hepatocyte),,,,slight,Liver_Necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0708134; SP_FLG: true; BARCODE: 003017912027
67,33,1012679,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708132; SP_FLG: false; BARCODE: No ChipData
68,34,1012680,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708133; SP_FLG: false; BARCODE: 003017912026
69,36,1012681,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708135; SP_FLG: false; BARCODE: 003017912028
70,37,1012682,Liver_Single cell necrosis (Centrilobular),,,,moderate,Liver_Single cell necrosis (Centrilobular),,,,moderate,SAMPLE_ID: 0708131; SP_FLG: false; BARCODE: No ChipData
71,35,1012683,Liver_Single cell necrosis (Centrilobular),,,,moderate,Liver_Single cell necrosis (Centrilobular),,,,moderate,SAMPLE_ID: 0708134; SP_FLG: false; BARCODE: 003017912027
72,38,1012684,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708143; SP_FLG: false; BARCODE: 003017913008
73,39,1012685,Liver_Single cell necrosis (Centrilobular),,,,slight,Liver_Single cell necrosis (Centrilobular),,,,slight,SAMPLE_ID: 0708161; SP_FLG: false; BARCODE: 003017916026
74,40,1012686,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510012; SP_FLG: true; BARCODE: 003017401004
75,41,1012687,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510022; SP_FLG: true; BARCODE: No ChipData
76,42,1012688,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0510045; SP_FLG: true; BARCODE: No ChipData
77,43,1012689,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511023; SP_FLG: true; BARCODE: 003017396001
78,44,1012690,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0511025; SP_FLG: true; BARCODE: 003017396002
79,45,1012691,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,SAMPLE_ID: 0511024; SP_FLG: true; BARCODE: No ChipData
80,46,1012692,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0511021; SP_FLG: true; BARCODE: No ChipData
81,45,1012693,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511024; SP_FLG: true; BARCODE: No ChipData
82,47,1012694,Kidney_Scar,,,,minimal,Kidney_Scar,,,,minimal,SAMPLE_ID: 0511022; SP_FLG: true; BARCODE: No ChipData
83,48,1012695,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0511032; SP_FLG: true; BARCODE: No ChipData
84,48,1012696,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511032; SP_FLG: true; BARCODE: No ChipData
85,49,1012697,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511035; SP_FLG: true; BARCODE: No ChipData
86,50,1012698,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511044; SP_FLG: true; BARCODE: No ChipData
87,51,1012699,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511045; SP_FLG: true; BARCODE: 003017396026
88,51,1012700,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511045; SP_FLG: true; BARCODE: No ChipData
89,52,1012701,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510052; SP_FLG: true; BARCODE: No ChipData
90,53,1012702,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0510051; SP_FLG: true; BARCODE: No ChipData
91,52,1012703,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510052; SP_FLG: true; BARCODE: No ChipData
92,54,1012704,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0510062; SP_FLG: true; BARCODE: 003017401019
93,55,1012705,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0510064; SP_FLG: true; BARCODE: No ChipData
94,56,1012706,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510065; SP_FLG: true; BARCODE: No ChipData
95,57,1012707,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510083; SP_FLG: true; BARCODE: 003017400025
96,58,1012708,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510084; SP_FLG: true; BARCODE: 003017400026
97,59,1012709,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511053; SP_FLG: true; BARCODE: 003017395022
98,60,1012710,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511055; SP_FLG: true; BARCODE: No ChipData
99,61,1012711,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511062; SP_FLG: true; BARCODE: 003017396003
100,62,1012712,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511065; SP_FLG: true; BARCODE: 003017396005
101,63,1012713,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0511061; SP_FLG: true; BARCODE: No ChipData
102,64,1012714,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511072; SP_FLG: true; BARCODE: 003017396015
103,65,1012715,Kidney_Hyperplasia (Pelvic epithelium),,,,minimal,Kidney_Hyperplasia (Pelvic epithelium),,,,minimal,SAMPLE_ID: 0511073; SP_FLG: true; BARCODE: No ChipData
104,66,1012716,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511081; SP_FLG: true; BARCODE: 003017396027
105,67,1012717,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511085; SP_FLG: true; BARCODE: 003017396029
106,68,1012718,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511082; SP_FLG: true; BARCODE: No ChipData
107,69,1012719,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511084; SP_FLG: true; BARCODE: No ChipData
108,67,1012720,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511085; SP_FLG: true; BARCODE: No ChipData
109,70,1012721,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510093; SP_FLG: true; BARCODE: 003017401011
110,71,1012722,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510101; SP_FLG: true; BARCODE: 003017401022
111,72,1012723,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510104; SP_FLG: true; BARCODE: 003017401024
112,71,1012724,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510101; SP_FLG: true; BARCODE: No ChipData
113,72,1012725,Kidney_Scar,,,,minimal,Kidney_Scar,,,,minimal,SAMPLE_ID: 0510104; SP_FLG: true; BARCODE: No ChipData
114,73,1012726,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510113; SP_FLG: true; BARCODE: No ChipData
115,74,1012727,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510123; SP_FLG: true; BARCODE: No ChipData
116,74,1012728,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0510123; SP_FLG: true; BARCODE: No ChipData
117,75,1012729,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511095; SP_FLG: true; BARCODE: 003017395026
118,76,1012730,Kidney_Regeneration (Renal tubule),,,,slight,Kidney_Regeneration (Renal tubule),,,,slight,SAMPLE_ID: 0511093; SP_FLG: true; BARCODE: No ChipData
119,77,1012731,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511101; SP_FLG: true; BARCODE: No ChipData
120,78,1012732,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511112; SP_FLG: true; BARCODE: No ChipData
121,79,1012733,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511113; SP_FLG: true; BARCODE: 003017396019
122,78,1012734,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0511112; SP_FLG: true; BARCODE: No ChipData
123,78,1012735,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511112; SP_FLG: true; BARCODE: No ChipData
124,80,1012736,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511121; SP_FLG: true; BARCODE: No ChipData
125,81,1012737,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511122; SP_FLG: true; BARCODE: No ChipData
126,82,1012738,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511124; SP_FLG: true; BARCODE: 003017397001
127,83,1012739,Liver_Necrosis (Liver cell),,,,minimal,Liver_Necrosis (Liver cell),,,,minimal,SAMPLE_ID: 0510144; SP_FLG: true; BARCODE: 003017401026
128,84,1012740,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510143; SP_FLG: true; BARCODE: No ChipData
129,85,1012741,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0510154; SP_FLG: true; BARCODE: No ChipData
130,86,1012742,Liver_Fibrosis,,,,minimal,Liver_Fibrosis,,,,minimal,SAMPLE_ID: 0510162; SP_FLG: true; BARCODE: No ChipData
131,87,1012743,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0510163; SP_FLG: true; BARCODE: 003017401002
132,88,1012744,Kidney_Cyst,,,,minimal,Kidney_Cyst,,,,minimal,SAMPLE_ID: 0511132; SP_FLG: true; BARCODE: No ChipData
133,88,1012745,Kidney_Scar,,,,minimal,Kidney_Scar,,,,minimal,SAMPLE_ID: 0511132; SP_FLG: true; BARCODE: No ChipData
134,89,1012746,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511144; SP_FLG: true; BARCODE: 003017396011
135,90,1012747,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,"Kidney_Cast,hyaline (Renal tubule)",,,,minimal,SAMPLE_ID: 0511154; SP_FLG: true; BARCODE: No ChipData
136,91,1012748,"Kidney_Cyst, hemorrhagic",,,,minimal,"Kidney_Cyst, hemorrhagic",,,,minimal,SAMPLE_ID: 0511152; SP_FLG: true; BARCODE: No ChipData
137,91,1012749,Kidney_Scar,,,,minimal,Kidney_Scar,,,,minimal,SAMPLE_ID: 0511152; SP_FLG: true; BARCODE: No ChipData
138,92,1012750,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511162; SP_FLG: true; BARCODE: 003017397004
139,93,1012751,Liver_Microgranuloma,,,,minimal,Liver_Microgranuloma,,,,minimal,SAMPLE_ID: 0511165; SP_FLG: true; BARCODE: No ChipData
140,94,1012752,Kidney_Regeneration (Renal tubule),,,,minimal,Kidney_Regeneration (Renal tubule),,,,minimal,SAMPLE_ID: 0511164; SP_FLG: true; BARCODE: No ChipData
141,95,1012753,Kidney_Scar,,,,minimal,Kidney_Scar,,,,minimal,SAMPLE_ID: 0511163; SP_FLG: true; BARCODE: No ChipData
142,96,1012754,Liver_Anisonucleosis (Hepatocyte),,,,slight,Liver_Anisonucleosis (Hepatocyte),,,,slight,SAMPLE_ID: 0713095; SP_FLG: false; BARCODE: 003017920028
143,96,1012755,"Liver_Change, acidophilic (Hepatocyte)",,,,moderate,"Liver_Change, acidophilic (Hepatocyte)",,,,moderate,SAMPLE_ID: 0713095; SP_FLG: false; BARCODE: 003017920028
144,97,1012756,Liver_Pyknosis (Hepatocyte),,,,slight,Liver_Pyknosis (Hepatocyte),,,,slight,SAMPLE_ID: 0713091; SP_FLG: false; BARCODE: No ChipData
145,98,1012757,Liver_Pyknosis (Hepatocyte),,,,slight,Liver_Pyknosis (Hepatocyte),,,,slight,SAMPLE_ID: 0713093; SP_FLG: false; BARCODE: 003017920027
146,96,1012758,Liver_Pyknosis (Hepatocyte),,,,moderate,Liver_Pyknosis (Hepatocyte),,,,moderate,SAMPLE_ID: 0713095; SP_FLG: false; BARCODE: 003017920028
147,96,1012759,Liver_Single cell necrosis (Hepatocyte),,,,slight,Liver_Single cell necrosis (Hepatocyte),,,,slight,SAMPLE_ID: 0713095; SP_FLG: false; BARCODE: 003017920028
148,99,1012760,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,SAMPLE_ID: 0713101; SP_FLG: false; BARCODE: 003017921008
149,100,1012761,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,SAMPLE_ID: 0713102; SP_FLG: false; BARCODE: 003017921009
150,101,1012762,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,"Liver_Change, acidophilic (Hepatocyte)",,,,slight,SAMPLE_ID: 0713104; SP_FLG: false; BARCODE: 003017921010
