predbind_id,activity_id,site_id,prediction_method,confidence
7699361,1445178,637,Single domain,high
7699362,1445179,637,Single domain,high
7699363,1445293,1154,Single domain,high
7699364,1445295,1154,Single domain,high
7699365,1445380,268,Single domain,high
7699366,1445491,2453,Multi domain,medium
7699367,1445632,2453,Multi domain,medium
7699368,1445673,268,Single domain,high
7699369,1445743,1508,Single domain,high
7699370,1445779,1156,Single domain,high
7699371,1445904,115,Single domain,high
7699372,1445943,268,Single domain,high
7699373,1445988,1550,Single domain,high
7699374,1446076,928,Single domain,high
7699375,1446078,620,Single domain,high
7699376,1446379,620,Single domain,high
7699377,1446625,300,Single domain,high
7699378,1446644,477,Single domain,high
7699379,1446765,1257,Single domain,high
7699380,1446922,702,Single domain,high
7699381,1446952,792,Single domain,high
7699382,1447003,1690,Single domain,high
7699383,1447005,1034,Single domain,high
7699384,1447113,2003,Single domain,high
7699385,1447134,1034,Single domain,high
7699386,1447195,1156,Single domain,high
7699387,1447389,1257,Single domain,high
7699388,1447390,477,Single domain,high
7699389,1447407,1257,Single domain,high
7699390,1447420,477,Single domain,high
7699391,1447504,1257,Single domain,high
7699392,1447513,2052,Single domain,high
7699393,1447586,268,Single domain,high
7699394,1447599,1156,Single domain,high
7699395,1447775,1508,Single domain,high
7699396,1447830,1257,Single domain,high
7699397,1447837,1257,Single domain,high
7699398,1447855,268,Single domain,high
7699399,1448164,792,Single domain,high
7699400,1448184,1156,Single domain,high
7699401,1448191,1692,Single domain,high
7699402,1448392,155,Single domain,high
7699403,1448424,268,Single domain,high
7699404,1448500,1688,Single domain,high
7699405,1448505,1688,Single domain,high
7699406,1448716,792,Single domain,high
7699407,1448769,1034,Single domain,high
7699408,1448877,1347,Single domain,high
7699409,1448997,1378,Single domain,high
7699410,1449041,1384,Single domain,high
7699411,1449064,111,Single domain,high
7699412,1449128,1378,Single domain,high
7699413,1449142,1530,Single domain,high
7699414,1449150,579,Single domain,high
7699415,1449153,333,Single domain,high
7699416,1449189,1675,Single domain,high
7699417,1449264,1530,Single domain,high
7699418,1449305,1347,Single domain,high
7699419,1449307,1347,Single domain,high
7699420,1449514,1080,Single domain,high
7699421,1449520,1658,Single domain,high
7699422,1449562,579,Single domain,high
7699423,1449565,333,Single domain,high
7699424,1449616,1154,Single domain,high
7699425,1449620,728,Single domain,high
7699426,1449669,500,Single domain,high
7699427,1449678,1690,Single domain,high
7699428,1449729,1156,Single domain,high
7699429,1449741,1154,Single domain,high
7699430,1449750,1154,Single domain,high
7699431,1449874,1257,Single domain,high
7699432,1449875,1257,Single domain,high
7699433,1449946,895,Single domain,high
7699434,1449987,729,Single domain,high
7699435,1450003,729,Single domain,high
7699436,1450015,111,Single domain,high
7699437,1450043,111,Single domain,high
7699438,1450044,111,Single domain,high
7699439,1450086,154,Single domain,high
7699440,1450105,579,Single domain,high
7699441,1450185,1530,Single domain,high
7699442,1450240,1200,Single domain,high
7699443,1450245,1200,Single domain,high
7699444,1450246,532,Single domain,high
7699445,1450250,1200,Single domain,high
7699446,1450257,1156,Single domain,high
7699447,1450412,1508,Single domain,high
7699448,1450421,1508,Single domain,high
7699449,1450521,1508,Single domain,high
7699450,1450607,333,Single domain,high
7699451,1450647,1156,Single domain,high
7699452,1450694,1378,Single domain,high
7699453,1450730,1200,Single domain,high
7699454,1450750,1200,Single domain,high
7699455,1450760,1200,Single domain,high
7699456,1450771,1156,Single domain,high
7699457,1450850,962,Single domain,high
7699458,1450951,1508,Single domain,high
7699459,1450961,1508,Single domain,high
7699460,1451059,1517,Single domain,high
7699461,1451070,1221,Single domain,high
7699462,1451074,1221,Single domain,high
7699463,1451124,482,Single domain,high
7699464,1451183,1378,Single domain,high
7699465,1451204,1248,Single domain,high
7699466,1451222,1248,Single domain,high
7699467,1451233,1248,Single domain,high
7699468,1451291,1530,Single domain,high
7699469,1451292,1530,Single domain,high
7699470,1451296,1530,Single domain,high
7699471,1451325,1248,Single domain,high
7699472,1451335,1415,Single domain,high
7699473,1451398,1101,Single domain,high
7699474,1451401,1530,Single domain,high
7699475,1451418,1466,Single domain,high
7699476,1451430,1466,Single domain,high
7699477,1451666,1248,Single domain,high
7699478,1451672,1248,Single domain,high
7699479,1451690,3170,Single domain,high
7699480,1451697,1248,Single domain,high
7699481,1451712,1530,Single domain,high
7699482,1451716,1530,Single domain,high
7699483,1451757,1530,Single domain,high
7699484,1451768,1530,Single domain,high
7699485,1469454,959,Single domain,high
7699486,1469595,500,Single domain,high
7699487,1469599,1690,Single domain,high
7699488,1469640,1122,Single domain,high
7699489,1469731,500,Single domain,high
7699490,1469735,1690,Single domain,high
7699491,1469738,1122,Single domain,high
7699492,1469844,500,Single domain,high
7699493,1469848,1690,Single domain,high
7699494,1469853,500,Single domain,high
7699495,1469918,697,Single domain,high
7699496,1469923,1481,Single domain,high
7699497,1469929,1481,Single domain,high
7699498,1469976,1312,Single domain,high
7699499,1469988,1690,Single domain,high
7699500,1470010,1484,Single domain,high
7699501,1470047,108,Single domain,high
7699502,1470060,1481,Single domain,high
7699503,1470109,500,Single domain,high
7699504,1470119,1690,Single domain,high
7699505,1470694,1691,Single domain,high
7699506,1470812,1691,Single domain,high
7699507,1470820,1691,Single domain,high
7699508,1470835,1691,Single domain,high
7699509,1470980,1691,Single domain,high
7699510,1471120,1691,Single domain,high
7699511,1471128,1691,Single domain,high
7699512,1471134,1691,Single domain,high
7699513,1471263,1691,Single domain,high
7699514,1471273,1691,Single domain,high
7699515,1471533,1432,Single domain,high
7699516,1471557,1432,Single domain,high
7699517,1471955,1467,Single domain,high
7699518,1472463,1156,Single domain,high
7699519,1472548,1532,Single domain,high
7699520,1472560,1532,Single domain,high
7699521,1472578,1448,Single domain,high
7699522,1452812,585,Single domain,high
7699523,1452926,2004,Single domain,high
7699524,1452985,1050,Multi domain,medium
7699525,1453202,106,Single domain,high
7699526,1453453,1080,Single domain,high
7699527,1453626,106,Single domain,high
7699528,1453671,482,Single domain,high
7699529,1453854,1080,Single domain,high
7699530,1454039,1508,Single domain,high
7699531,1454148,1080,Single domain,high
7699532,1454196,1121,Single domain,high
7699533,1454485,1530,Single domain,high
7699534,1454487,1530,Single domain,high
7699535,1454707,275,Single domain,high
7699536,1454824,1080,Single domain,high
7699537,1454864,697,Single domain,high
7699538,1454998,1584,Single domain,high
7699539,1455003,1512,Single domain,high
7699540,1455008,1512,Single domain,high
7699541,1455196,1481,Single domain,high
7699542,1455208,1481,Single domain,high
7699543,1455213,1378,Single domain,high
7699544,1455236,928,Single domain,high
7699545,1455253,928,Single domain,high
7699546,1455358,390,Single domain,high
7699547,1455360,928,Single domain,high
7699548,1455400,1350,Single domain,high
7699549,1455483,928,Single domain,high
7699550,1455496,1047,Single domain,high
7699551,1455581,259,Single domain,high
7699552,1455609,1047,Single domain,high
7699553,1455620,1481,Single domain,high
7699554,1455724,17,Single domain,high
7699555,1455828,1347,Single domain,high
7699556,1455837,1347,Single domain,high
7699557,1455881,390,Single domain,high
7699558,1455891,928,Single domain,high
7699559,1455892,1122,Single domain,high
7699560,1455899,928,Single domain,high
7699561,1455913,390,Single domain,high
7699562,1455915,300,Single domain,high
7699563,1455921,2957,Single domain,high
7699564,1455931,2957,Single domain,high
7699565,1455937,2957,Single domain,high
7699566,1456015,300,Single domain,high
7699567,1456024,300,Single domain,high
7699568,1456039,300,Single domain,high
7699569,1456045,782,Single domain,high
7699570,1456092,3212,Single domain,high
7699571,1456133,1122,Single domain,high
7699572,1456137,11,Single domain,high
7699573,1456142,1122,Single domain,high
7699574,1456225,1347,Single domain,high
7699575,1456229,1347,Single domain,high
7699576,1456305,928,Single domain,high
7699577,1456309,928,Single domain,high
7699578,1456314,1122,Single domain,high
7699579,1456411,55,Single domain,high
7699580,1456414,928,Single domain,high
7699581,1456417,852,Single domain,high
7699582,1456442,300,Single domain,high
7699583,1456447,1047,Single domain,high
7699584,1456450,1047,Single domain,high
7699585,1456492,3212,Single domain,high
7699586,1456526,55,Single domain,high
7699587,1456532,11,Single domain,high
7699588,1456569,1201,Single domain,high
7699589,1456573,978,Single domain,high
7699590,1456649,1156,Single domain,high
7699591,1456779,1429,Single domain,high
7699592,1456850,1122,Single domain,high
7699593,1456853,928,Single domain,high
7699594,1456858,1122,Single domain,high
7699595,1456870,1047,Single domain,high
7699596,1456871,300,Single domain,high
7699597,1456988,300,Single domain,high
7699598,1457081,1156,Single domain,high
7699599,1457107,928,Single domain,high
7699600,1457112,1122,Single domain,high
7699601,1457119,928,Single domain,high
7699602,1457249,300,Single domain,high
7699603,1457261,1047,Single domain,high
7699604,1457296,620,Single domain,high
7699605,1457315,390,Single domain,high
7699606,1457317,928,Single domain,high
7699607,1457330,1122,Single domain,high
7699608,1457720,483,Single domain,high
7699609,1457742,800,Single domain,high
7699610,1457840,620,Single domain,high
7699611,1457871,1122,Single domain,high
7699612,1457952,928,Single domain,high
7699613,1458146,1201,Single domain,high
7699614,1458151,1201,Single domain,high
7699615,1458157,800,Single domain,high
7699616,1458180,268,Single domain,high
7699617,1458313,2957,Single domain,high
7699618,1458421,824,Single domain,high
7699619,1458549,1201,Single domain,high
7699620,1458621,822,Single domain,high
7699621,1458717,2957,Single domain,high
7699622,1458784,853,Single domain,high
7699623,1458798,853,Single domain,high
7699624,1458800,853,Single domain,high
7699625,1459048,390,Single domain,high
7699626,1459062,928,Single domain,high
7699627,1459085,1215,Single domain,high
7699628,1459251,17,Single domain,high
7699629,1459299,300,Single domain,high
7699630,1459467,928,Single domain,high
7699631,1459475,390,Single domain,high
7699632,1459479,928,Single domain,high
7699633,1459535,3216,Single domain,high
7699634,1459588,259,Single domain,high
7699635,1459600,259,Single domain,high
7699636,1459605,259,Single domain,high
7699637,1459615,792,Single domain,high
7699638,1459639,112,Single domain,high
7699639,1459647,112,Single domain,high
7699640,1460028,1546,Single domain,high
7699641,1460135,1658,Single domain,high
7699642,1460382,782,Single domain,high
7699643,1460403,895,Single domain,high
7699644,1460409,1658,Single domain,high
7699645,1460442,1546,Single domain,high
7699646,1460466,1122,Single domain,high
7699647,1460472,1122,Single domain,high
7699648,1460832,257,Single domain,high
7699649,1461112,390,Single domain,high
7699650,1461129,806,Single domain,high
7699651,1461221,928,Single domain,high
7699652,1461223,390,Single domain,high
7699653,1461370,1122,Single domain,high
7699654,1461496,928,Single domain,high
7699655,1461503,1122,Single domain,high
7699656,1461779,1467,Single domain,high
7699657,1461785,1605,Single domain,high
7699658,1461887,1467,Single domain,high
7699659,1462030,1157,Single domain,high
7699660,1462058,894,Single domain,high
7699661,1462175,3299,Single domain,high
7699662,1462227,1575,Single domain,high
7699663,1462274,1448,Single domain,high
7699664,1462355,1575,Single domain,high
7699665,1462486,106,Single domain,high
7699666,1462584,1530,Single domain,high
7699667,1462741,1698,Single domain,high
7699668,1462787,262,Single domain,high
7699669,1462908,1429,Single domain,high
7699670,1462934,1466,Single domain,high
7699671,1462936,853,Single domain,high
7699672,1462938,1466,Single domain,high
7699673,1462940,853,Single domain,high
7699674,1463019,1698,Single domain,high
7699675,1463042,1156,Single domain,high
7699676,1463052,1429,Single domain,high
7699677,1463248,1448,Single domain,high
7699678,1463466,894,Single domain,high
7699679,1463468,1239,Single domain,high
7699680,1463500,781,Single domain,high
7699681,1463502,1690,Single domain,high
7699682,1463521,1245,Single domain,high
7699683,1463525,160,Single domain,high
7699684,1463605,1239,Single domain,high
7699685,1463612,380,Single domain,high
7699686,1463708,154,Single domain,high
7699687,1463711,1078,Single domain,high
7699688,1463783,1448,Single domain,high
7699689,1463791,160,Single domain,high
7699690,1463800,1245,Single domain,high
7699691,1463818,1691,Single domain,high
7699692,1463827,1691,Single domain,high
7699693,1463844,1034,Single domain,high
7699694,1463959,1691,Single domain,high
7699695,1464090,1014,Single domain,high
7699696,1464145,894,Single domain,high
7699697,1464248,1015,Single domain,high
7699698,1464878,266,Single domain,high
7699699,1465000,266,Single domain,high
7699700,1465220,1239,Single domain,high
7699701,1465359,135,Single domain,high
7699702,1465749,257,Single domain,high
7699703,1465791,1034,Single domain,high
7699704,1465822,257,Single domain,high
7699705,1465844,2278,Single domain,high
7699706,1465890,1201,Single domain,high
7699707,1465892,1605,Single domain,high
7699708,1465904,1201,Single domain,high
7699709,1465940,220,Multi domain,medium
7699710,1465953,2278,Single domain,high
7699711,1465963,1613,Single domain,high
7699712,1466025,1201,Single domain,high
7699713,1466047,1529,Single domain,high
7699714,1466054,220,Multi domain,medium
7699715,1466056,220,Multi domain,medium
7699716,1466062,1078,Single domain,high
7699717,1466063,154,Single domain,high
7699718,1466072,324,Single domain,high
7699719,1466282,1546,Single domain,high
7699720,1466341,324,Single domain,high
7699721,1466576,1546,Single domain,high
7699722,1466647,1014,Single domain,high
7699723,1466698,1529,Single domain,high
7699724,1467150,1157,Single domain,high
7699725,1467241,1529,Single domain,high
7699726,1467270,1157,Single domain,high
7699727,1467281,481,Single domain,high
7699728,1467358,1380,Single domain,high
7699729,1467396,1201,Single domain,high
7699730,1467493,1255,Single domain,high
7699731,1467531,1201,Single domain,high
7699732,1467553,481,Single domain,high
7699733,1467555,1157,Single domain,high
7699734,1467692,1157,Single domain,high
7699735,1467915,1201,Single domain,high
7699736,1467953,1157,Single domain,high
7699737,1468083,1690,Single domain,high
7699738,1468101,1690,Single domain,high
7699739,1468140,1144,Single domain,high
7699740,1468252,1690,Single domain,high
7699741,1468406,54,Single domain,high
7699742,1468408,810,Single domain,high
7699743,1468453,1620,Single domain,high
7699744,1468509,1636,Single domain,high
7699745,1468793,1690,Single domain,high
7699746,1468931,500,Single domain,high
7699747,1468935,500,Single domain,high
7699748,1469317,351,Single domain,high
7699749,1469336,500,Single domain,high
7699750,1490172,2957,Single domain,high
7699751,1490309,220,Multi domain,medium
7699752,1490311,220,Multi domain,medium
7699753,1490317,220,Multi domain,medium
7699754,1490449,220,Multi domain,medium
7699755,1490457,220,Multi domain,medium
7699756,1490585,1009,Single domain,high
7699757,1490745,1662,Single domain,high
7699758,1490784,1484,Single domain,high
7699759,1490803,751,Single domain,high
7699760,1490863,1009,Single domain,high
7699761,1490866,1662,Single domain,high
7699762,1490880,1662,Single domain,high
7699763,1491059,55,Single domain,high
7699764,1491266,1691,Single domain,high
7699765,1491267,163,Single domain,high
7699766,1491296,1691,Single domain,high
7699767,1491301,55,Single domain,high
7699768,1491318,55,Single domain,high
7699769,1491326,55,Single domain,high
7699770,1491409,1239,Single domain,high
7699771,1491437,55,Single domain,high
7699772,1491450,55,Single domain,high
7699773,1491596,751,Single domain,high
7699774,1491597,2437,Single domain,high
7699775,1491654,232,Single domain,high
7699776,1491659,1239,Single domain,high
7699777,1491756,1078,Single domain,high
7699778,1491764,160,Single domain,high
7699779,1491853,353,Single domain,high
7699780,1472675,1532,Single domain,high
7699781,1472678,1532,Single domain,high
7699782,1473388,1156,Single domain,high
7699783,1473555,1078,Single domain,high
7699784,1473687,154,Single domain,high
7699785,1473823,1078,Single domain,high
7699786,1474012,8,Single domain,high
7699787,1474070,2437,Single domain,high
7699788,1474435,1790,Single domain,high
7699789,1474838,111,Single domain,high
7699790,1474986,800,Single domain,high
7699791,1474987,800,Single domain,high
7699792,1475157,699,Single domain,high
7699793,1475264,1944,Single domain,high
7699794,1475409,113,Multi domain,medium
7699795,1475411,113,Multi domain,medium
7699796,1475413,113,Multi domain,medium
7699797,1475468,196,Single domain,high
7699798,1475584,196,Single domain,high
7699799,1475600,1467,Single domain,high
7699800,1475614,995,Single domain,high
7699801,1475733,995,Single domain,high
7699802,1475752,995,Single domain,high
7699803,1475806,113,Multi domain,medium
7699804,1475962,137,Single domain,high
7699805,1476017,995,Single domain,high
7699806,1476139,995,Single domain,high
7699807,1476360,1026,Single domain,high
7699808,1476498,3201,Single domain,high
7699809,1476839,196,Single domain,high
7699810,1476854,587,Single domain,high
7699811,1476930,1841,Single domain,high
7699812,1476977,587,Single domain,high
7699813,1476981,196,Single domain,high
7699814,1477063,1841,Single domain,high
7699815,1477093,685,Single domain,high
7699816,1477117,587,Single domain,high
7699817,1477207,1841,Single domain,high
7699818,1477307,1156,Single domain,high
7699819,1477384,579,Single domain,high
7699820,1477412,81,Single domain,high
7699821,1477464,1676,Single domain,high
7699822,1477542,1156,Single domain,high
7699823,1477661,1156,Single domain,high
7699824,1477713,1601,Single domain,high
7699825,1477936,2278,Single domain,high
7699826,1477942,2278,Single domain,high
7699827,1477986,1601,Single domain,high
7699828,1478029,743,Single domain,high
7699829,1478265,1191,Single domain,high
7699830,1478278,1191,Single domain,high
7699831,1478287,595,Single domain,high
7699832,1478410,1841,Single domain,high
7699833,1478505,3201,Single domain,high
7699834,1478515,1156,Single domain,high
7699835,1478547,1841,Single domain,high
7699836,1478559,1841,Single domain,high
7699837,1478565,1530,Single domain,high
7699838,1478601,1676,Single domain,high
7699839,1478647,3201,Single domain,high
7699840,1478803,1156,Single domain,high
7699841,1478834,1841,Single domain,high
7699842,1478900,196,Single domain,high
7699843,1478902,587,Single domain,high
7699844,1478906,1302,Single domain,high
7699845,1478948,1272,Single domain,high
7699846,1478957,1122,Single domain,high
7699847,1479111,1122,Single domain,high
7699848,1479118,928,Single domain,high
7699849,1479138,928,Single domain,high
7699850,1479190,268,Single domain,high
7699851,1479333,268,Single domain,high
7699852,1479591,1384,Single domain,high
7699853,1479636,2452,Multi domain,medium
7699854,1479640,2452,Multi domain,medium
7699855,1479648,2452,Multi domain,medium
7699856,1479652,2453,Multi domain,medium
7699857,1479713,115,Single domain,high
7699858,1479744,785,Single domain,high
7699859,1481133,390,Single domain,high
7699860,1481250,1122,Single domain,high
7699861,1481420,390,Single domain,high
7699862,1481422,928,Single domain,high
7699863,1481426,928,Single domain,high
7699864,1481434,928,Single domain,high
7699865,1481957,1078,Single domain,high
7699866,1481960,1078,Single domain,high
7699867,1481979,154,Single domain,high
7699868,1481982,154,Single domain,high
7699869,1482153,1670,Single domain,high
7699870,1482195,2452,Multi domain,medium
7699871,1482208,2452,Multi domain,medium
7699872,1482241,514,Single domain,high
7699873,1482386,1241,Single domain,high
7699874,1482514,514,Single domain,high
7699875,1482579,2453,Multi domain,medium
7699876,1482633,360,Single domain,high
7699877,1482643,1241,Single domain,high
7699878,1482736,360,Single domain,high
7699879,1482773,514,Single domain,high
7699880,1482809,500,Single domain,high
7699881,1482821,1690,Single domain,high
7699882,1482823,500,Single domain,high
7699883,1482832,500,Single domain,high
7699884,1482921,1241,Single domain,high
7699885,1482939,1193,Single domain,high
7699886,1483227,1665,Single domain,high
7699887,1483246,2415,Single domain,high
7699888,1483568,1620,Single domain,high
7699889,1483581,1620,Single domain,high
7699890,1483614,196,Single domain,high
7699891,1483907,1078,Single domain,high
7699892,1484109,680,Single domain,high
7699893,1484271,390,Single domain,high
7699894,1484392,390,Single domain,high
7699895,1484394,1122,Single domain,high
7699896,1484504,390,Single domain,high
7699897,1484529,928,Single domain,high
7699898,1484531,390,Single domain,high
7699899,1484532,928,Single domain,high
7699900,1484647,1382,Single domain,high
7699901,1484741,1944,Single domain,high
7699902,1484761,1382,Single domain,high
7699903,1484847,1944,Single domain,high
7699904,1484926,2447,Multi domain,medium
7699905,1484956,1944,Single domain,high
7699906,1484966,1944,Single domain,high
7699907,1484988,1347,Single domain,high
7699908,1485017,589,Single domain,high
7699909,1485022,1620,Single domain,high
7699910,1485060,2523,Single domain,high
7699911,1485104,1347,Single domain,high
7699912,1485130,1620,Single domain,high
7699913,1485144,589,Single domain,high
7699914,1485154,589,Single domain,high
7699915,1485170,166,Single domain,high
7699916,1485174,1530,Single domain,high
7699917,1485184,1530,Single domain,high
7699918,1485257,589,Single domain,high
7699919,1485264,589,Single domain,high
7699920,1485291,1201,Single domain,high
7699921,1485474,1992,Single domain,high
7699922,1485613,196,Single domain,high
7699923,1485631,196,Single domain,high
7699924,1485671,1057,Single domain,high
7699925,1485672,1698,Single domain,high
7699926,1485777,196,Single domain,high
7699927,1486027,27,Single domain,high
7699928,1486156,27,Single domain,high
7699929,1486988,2004,Single domain,high
7699930,1488083,465,Single domain,high
7699931,1488131,2379,Multi domain,medium
7699932,1488155,800,Single domain,high
7699933,1488166,800,Single domain,high
7699934,1488425,491,Single domain,high
7699935,1488446,792,Single domain,high
7699936,1488568,491,Single domain,high
7699937,1488594,1005,Single domain,high
7699938,1488673,532,Single domain,high
7699939,1488690,1156,Single domain,high
7699940,1488697,1846,Single domain,high
7699941,1488699,1156,Single domain,high
7699942,1488701,532,Single domain,high
7699943,1488812,1156,Single domain,high
7699944,1488815,1156,Single domain,high
7699945,1488817,532,Single domain,high
7699946,1488818,1156,Single domain,high
7699947,1488830,1846,Single domain,high
7699948,1488952,1156,Single domain,high
7699949,1489266,589,Single domain,high
7699950,1489278,589,Single domain,high
7699951,1489382,976,Single domain,high
7699952,1489512,1201,Single domain,high
7699953,1489514,1620,Single domain,high
7699954,1489654,2437,Single domain,high
7699955,1489659,1040,Single domain,high
7699956,1489742,2747,Single domain,high
7699957,1489744,2747,Single domain,high
7699958,1489751,2747,Single domain,high
7699959,1489810,74,Single domain,high
7699960,1489821,1040,Single domain,high
7699961,1489826,1239,Single domain,high
7699962,1489844,1239,Single domain,high
7699963,1489893,2437,Single domain,high
7699964,1489913,2437,Single domain,high
7699965,1489917,232,Single domain,high
7699966,1489940,220,Multi domain,medium
7699967,1490058,220,Multi domain,medium
7699968,1490086,380,Single domain,high
7699969,1490167,2957,Single domain,high
7699970,1511832,500,Single domain,high
7699971,1511951,3173,Single domain,high
7699972,1512097,1811,Single domain,high
7699973,1512217,1811,Single domain,high
7699974,1512241,2437,Single domain,high
7699975,1512345,1811,Single domain,high
7699976,1512375,1666,Single domain,high
7699977,1512437,2278,Single domain,high
7699978,1512440,2278,Single domain,high
7699979,1512534,751,Single domain,high
7699980,1512538,751,Single domain,high
7699981,1512541,2437,Single domain,high
7699982,1512926,500,Single domain,high
7699983,1512983,1515,Single domain,high
7699984,1513038,500,Single domain,high
7699985,1513062,1302,Single domain,high
7699986,1513084,1466,Single domain,high
7699987,1513177,1690,Single domain,high
7699988,1513185,1690,Single domain,high
7699989,1513499,1156,Single domain,high
7699990,1513535,2957,Single domain,high
7699991,1513558,1691,Single domain,high
7699992,1513565,163,Single domain,high
7699993,1513610,500,Single domain,high
7699994,1513615,1690,Single domain,high
7699995,1513659,1046,Single domain,high
7699996,1513661,899,Single domain,high
7699997,1513706,500,Single domain,high
7699998,1513757,2453,Multi domain,medium
7699999,1513758,2451,Multi domain,medium
7700000,1513792,532,Single domain,high
7700001,1513793,800,Single domain,high
7700002,1513814,800,Single domain,high
7700003,1513843,500,Single domain,high
7700004,1513848,1690,Single domain,high
7700005,1513958,1690,Single domain,high
7700006,1514050,800,Single domain,high
7700007,1514078,1690,Single domain,high
7700008,1514100,1690,Single domain,high
7700009,1514113,1156,Single domain,high
7700010,1491959,74,Single domain,high
7700011,1491969,1675,Single domain,high
7700012,1491976,74,Single domain,high
7700013,1492031,2278,Single domain,high
7700014,1492081,74,Single domain,high
7700015,1492092,74,Single domain,high
7700016,1492354,353,Single domain,high
7700017,1492376,1313,Single domain,high
7700018,1492529,1380,Single domain,high
7700019,1492531,1138,Single domain,high
7700020,1492533,1380,Single domain,high
7700021,1492590,1020,Single domain,high
7700022,1492669,2278,Single domain,high
7700023,1492891,1509,Single domain,high
7700024,1492934,1122,Single domain,high
7700025,1493144,154,Single domain,high
7700026,1493178,2450,Multi domain,medium
7700027,1493289,390,Single domain,high
7700028,1493290,928,Single domain,high
7700029,1493299,928,Single domain,high
7700030,1493307,390,Single domain,high
