domain_id,domain_type,source_domain_id,domain_name,domain_description
2719,Pfam-A,PF00111,Fer2,
2720,Pfam-A,PF00112,Peptidase_C1,
2721,Pfam-A,PF00113,Enolase_C,
2723,Pfam-A,PF00116,COX2,
2724,Pfam-A,PF00117,GATase,
2726,Pfam-A,PF00119,ATP-synt_A,
2727,Pfam-A,PF00120,Gln-synt_C,
2728,Pfam-A,PF00121,TIM,
2731,Pfam-A,PF00125,Histone,
2732,Pfam-A,PF00128,Alpha-amylase,
2733,Pfam-A,PF00129,MHC_I,
2734,Pfam-A,PF00130,C1_1,
2735,Pfam-A,PF00131,Metallothio,
2737,Pfam-A,PF00133,tRNA-synt_1,
2738,Pfam-A,PF00134,Cyclin_N,
2739,Pfam-A,PF00135,COesterase,
2742,Pfam-A,PF00139,Lectin_legB,
2744,Pfam-A,PF00144,Beta-lactamase,
2745,Pfam-A,PF00145,DNA_methylase,
2747,Pfam-A,PF00147,Fibrinogen_C,
2748,Pfam-A,PF00149,Metallophos,
2749,Pfam-A,PF00151,Lipase,
2750,Pfam-A,PF00152,tRNA-synt_2,
2753,Pfam-A,PF00155,Aminotran_1_2,
2754,Pfam-A,PF00156,Pribosyltran,
2755,Pfam-A,PF00157,Pou,
2756,Pfam-A,PF00158,Sigma54_activat,
2757,Pfam-A,PF00160,Pro_isomerase,
2758,Pfam-A,PF00161,RIP,
2759,Pfam-A,PF00162,PGK,
2761,Pfam-A,PF00167,FGF,
2762,Pfam-A,PF00168,C2,
2763,Pfam-A,PF00169,PH,
2766,Pfam-A,PF00173,Cyt-b5,
2767,Pfam-A,PF00175,NAD_binding_1,
2768,Pfam-A,PF00178,Ets,
2769,Pfam-A,PF00179,UQ_con,
2770,Pfam-A,PF00180,Iso_dh,
2772,Pfam-A,PF00185,OTCace,
2773,Pfam-A,PF00186,DHFR_1,
2774,Pfam-A,PF00191,Annexin,
2775,Pfam-A,PF00193,Xlink,
2776,Pfam-A,PF00194,Carb_anhydrase,
2777,Pfam-A,PF00195,Chal_sti_synt_N,
2778,Pfam-A,PF00196,GerE,
2779,Pfam-A,PF00199,Catalase,
2780,Pfam-A,PF00200,Disintegrin,
2782,Pfam-A,PF00202,Aminotran_3,
2783,Pfam-A,PF00204,DNA_gyraseB,
2784,Pfam-A,PF00205,TPP_enzyme_M,
2785,Pfam-A,PF00206,Lyase_1,
2787,Pfam-A,PF00208,ELFV_dehydrog,
2789,Pfam-A,PF00210,Ferritin,
2790,Pfam-A,PF00211,Guanylate_cyc,
2793,Pfam-A,PF00215,OMPdecase,
2794,Pfam-A,PF00216,Bac_DNA_binding,
2795,Pfam-A,PF00217,ATP-gua_Ptrans,
2796,Pfam-A,PF00219,IGFBP,
2798,Pfam-A,PF00224,PK,
2799,Pfam-A,PF00225,Kinesin,
2800,Pfam-A,PF00226,DnaJ,
2801,Pfam-A,PF00227,Proteasome,
2802,Pfam-A,PF00229,TNF,
2804,Pfam-A,PF00232,Glyco_hydro_1,
2805,Pfam-A,PF00233,PDEase_I,
2806,Pfam-A,PF00241,Cofilin_ADF,
2808,Pfam-A,PF00243,NGF,
2810,Pfam-A,PF00245,Alk_phosphatase,
2811,Pfam-A,PF00246,Peptidase_M14,
2812,Pfam-A,PF00248,Aldo_ket_red,
2813,Pfam-A,PF00249,Myb_DNA-binding,
2814,Pfam-A,PF00250,Forkhead,
2815,Pfam-A,PF00254,FKBP_C,
2816,Pfam-A,PF00258,Flavodoxin_1,
2818,Pfam-A,PF00264,Tyrosinase,
2820,Pfam-A,PF00266,Aminotran_5,
2821,Pfam-A,PF00268,Ribonuc_red_sm,
2822,Pfam-A,PF00270,DEAD,
2823,Pfam-A,PF00271,Helicase_C,
2824,Pfam-A,PF00273,Serum_albumin,
2825,Pfam-A,PF00274,Glycolytic,
2827,Pfam-A,PF00278,Orn_DAP_Arg_deC,
2828,Pfam-A,PF00282,Pyridoxal_deC,
2829,Pfam-A,PF00285,Citrate_synt,
2832,Pfam-A,PF00289,Biotin_carb_N,
2834,Pfam-A,PF00294,PfkB,
2836,Pfam-A,PF00303,Thymidylat_synt,
2837,Pfam-A,PF00305,Lipoxygenase,
2838,Pfam-A,PF00306,ATP-synt_ab_C,
2839,Pfam-A,PF00307,CH,
2841,Pfam-A,PF00316,FBPase,
2842,Pfam-A,PF00317,Ribonuc_red_lgN,
2844,Pfam-A,PF00320,GATA,
2845,Pfam-A,PF00324,AA_permease,
2846,Pfam-A,PF00326,Peptidase_S9,
2848,Pfam-A,PF00334,NDK,
2851,Pfam-A,PF00337,Gal-bind_lectin,
2852,Pfam-A,PF00339,Arrestin_N,
2853,Pfam-A,PF00340,IL1,
2854,Pfam-A,PF00341,PDGF,
2855,Pfam-A,PF00342,PGI,
2857,Pfam-A,PF00345,PapD_N,
2859,Pfam-A,PF00348,polyprenyl_synt,
2860,Pfam-A,PF00349,Hexokinase_1,
2861,Pfam-A,PF00350,Dynamin_N,
2862,Pfam-A,PF00351,Biopterin_H,
2863,Pfam-A,PF00354,Pentaxin,
2866,Pfam-A,PF00362,Integrin_beta,
2868,Pfam-A,PF00364,Biotin_lipoyl,
2869,Pfam-A,PF00365,PFK,
2871,Pfam-A,PF00370,FGGY_N,
2872,Pfam-A,PF00372,Hemocyanin_M,
2873,Pfam-A,PF00373,FERM_M,
2875,Pfam-A,PF00377,Prion,
2876,Pfam-A,PF00378,ECH_1,
2877,Pfam-A,PF00383,dCMP_cyt_deam_1,
2878,Pfam-A,PF00385,Chromo,
2879,Pfam-A,PF00386,C1q,
2882,Pfam-A,PF00390,malic,
2883,Pfam-A,PF00393,6PGD,
2884,Pfam-A,PF00394,Cu-oxidase,
2885,Pfam-A,PF00397,WW,
2886,Pfam-A,PF00398,RrnaAD,
2888,Pfam-A,PF00405,Transferrin,
2889,Pfam-A,PF00406,ADK,
2890,Pfam-A,PF00412,LIM,
2891,Pfam-A,PF00413,Peptidase_M10,
2894,Pfam-A,PF00419,Fimbrial,
2900,Pfam-A,PF00431,CUB,
2903,Pfam-A,PF00438,S-AdoMet_synt_N,
2904,Pfam-A,PF00439,Bromodomain,
2905,Pfam-A,PF00440,TetR_N,
2907,Pfam-A,PF00447,HSF_DNA-bind,
2908,Pfam-A,PF00449,Urease_alpha,
2909,Pfam-A,PF00450,Peptidase_S10,
2912,Pfam-A,PF00456,Transketolase_N,
2913,Pfam-A,PF00458,WHEP-TRS,
2915,Pfam-A,PF00462,Glutaredoxin,
2916,Pfam-A,PF00463,ICL,
2917,Pfam-A,PF00464,SHMT,
2922,Pfam-A,PF00478,IMPDH,
2923,Pfam-A,PF00479,G6PD_N,
2926,Pfam-A,PF00484,Pro_CA,
2927,Pfam-A,PF00485,PRK,
2928,Pfam-A,PF00487,FA_desaturase,
2929,Pfam-A,PF00489,IL6,
2930,Pfam-A,PF00490,ALAD,
2931,Pfam-A,PF00491,Arginase,
2932,Pfam-A,PF00494,SQS_PSY,
2937,Pfam-A,PF00503,G-alpha,
2938,Pfam-A,PF00505,HMG_box,
2943,Pfam-A,PF00511,PPV_E2_C,
2944,Pfam-A,PF00512,HisKA,
2950,Pfam-A,PF00519,PPV_E1_C,
2956,Pfam-A,PF00530,SRCR,
2957,Pfam-A,PF00531,Death,
2960,Pfam-A,PF00536,SAM_1,
2962,Pfam-A,PF00540,Gag_p17,
2964,Pfam-A,PF00547,Urease_gamma,
2966,Pfam-A,PF00549,Ligase_CoA,
2967,Pfam-A,PF00550,PP-binding,
2968,Pfam-A,PF00551,Formyl_trans_N,
2969,Pfam-A,PF00552,IN_DBD_C,
2970,Pfam-A,PF00554,RHD_DNA_bind,
2971,Pfam-A,PF00557,Peptidase_M24,
2973,Pfam-A,PF00561,Abhydrolase_1,
2974,Pfam-A,PF00562,RNA_pol_Rpb2_6,
2975,Pfam-A,PF00564,PB1,
2976,Pfam-A,PF00567,TUDOR,
2977,Pfam-A,PF00569,ZZ,
2978,Pfam-A,PF00570,HRDC,
2979,Pfam-A,PF00571,CBS,
2982,Pfam-A,PF00574,CLP_protease,
2983,Pfam-A,PF00575,S1,
2984,Pfam-A,PF00576,Transthyretin,
2985,Pfam-A,PF00578,AhpC-TSA,
2987,Pfam-A,PF00580,UvrD-helicase,
2988,Pfam-A,PF00581,Rhodanese,
2990,Pfam-A,PF00586,AIRS,
2991,Pfam-A,PF00587,tRNA-synt_2b,
2994,Pfam-A,PF00594,Gla,
2995,Pfam-A,PF00595,PDZ,
2999,Pfam-A,PF00605,IRF,
3000,Pfam-A,PF00607,Gag_p24,
3002,Pfam-A,PF00610,DEP,
3007,Pfam-A,PF00615,RGS,
3009,Pfam-A,PF00618,RasGEF_N,
3010,Pfam-A,PF00619,CARD,
3011,Pfam-A,PF00620,RhoGAP,
3012,Pfam-A,PF00621,RhoGEF,
3014,Pfam-A,PF00623,RNA_pol_Rpb1_2,
3015,Pfam-A,PF00625,Guanylate_kin,
3016,Pfam-A,PF00627,UBA,
3017,Pfam-A,PF00628,PHD,
3018,Pfam-A,PF00629,MAM,
3019,Pfam-A,PF00639,Rotamase,
3020,Pfam-A,PF00640,PID,
3021,Pfam-A,PF00641,zf-RanBP,
3024,Pfam-A,PF00645,zf-PARP,
3027,Pfam-A,PF00650,CRAL_TRIO,
3028,Pfam-A,PF00651,BTB,
3029,Pfam-A,PF00652,Ricin_B_lectin,
3030,Pfam-A,PF00653,BIR,
3032,Pfam-A,PF00656,Peptidase_C14,
3037,Pfam-A,PF00665,rve,
3038,Pfam-A,PF00667,FAD_binding_1,
3039,Pfam-A,PF00670,AdoHcyase_NAD,
3040,Pfam-A,PF00672,HAMP,
3043,Pfam-A,PF00679,EFG_C,
3046,Pfam-A,PF00682,HMGL-like,
3047,Pfam-A,PF00684,DnaJ_CXXCXGXG,
3048,Pfam-A,PF00685,Sulfotransfer_1,
3050,Pfam-A,PF00687,Ribosomal_L1,
3053,Pfam-A,PF00690,Cation_ATPase_N,
3054,Pfam-A,PF00692,dUTPase,
3055,Pfam-A,PF00693,Herpes_TK,
3057,Pfam-A,PF00698,Acyl_transf_1,
3058,Pfam-A,PF00699,Urease_beta,
3059,Pfam-A,PF00701,DHDPS,
3060,Pfam-A,PF00702,Hydrolase,
3061,Pfam-A,PF00703,Glyco_hydro_2,
3062,Pfam-A,PF00704,Glyco_hydro_18,
3063,Pfam-A,PF00707,IF3_C,
3064,Pfam-A,PF00709,Adenylsucc_synt,
3065,Pfam-A,PF00710,Asparaginase,
3066,Pfam-A,PF00715,IL2,
3068,Pfam-A,PF00717,Peptidase_S24,
3070,Pfam-A,PF00725,3HCDH,
3071,Pfam-A,PF00728,Glyco_hydro_20,
3072,Pfam-A,PF00731,AIRC,
3073,Pfam-A,PF00733,Asn_synthase,
3074,Pfam-A,PF00749,tRNA-synt_1c,
3077,Pfam-A,PF00753,Lactamase_B,
3078,Pfam-A,PF00754,F5_F8_type_C,
3080,Pfam-A,PF00756,Esterase,
3081,Pfam-A,PF00757,Furin-like,
3082,Pfam-A,PF00758,EPO_TPO,
3083,Pfam-A,PF00763,THF_DHG_CYH,
3085,Pfam-A,PF00768,Peptidase_S11,
3086,Pfam-A,PF00769,ERM,
3087,Pfam-A,PF00772,DnaB,
3093,Pfam-A,PF00782,DSPc,
3094,Pfam-A,PF00786,PBD,
3095,Pfam-A,PF00787,PX,
3096,Pfam-A,PF00788,RA,
3097,Pfam-A,PF00792,PI3K_C2,
3098,Pfam-A,PF00793,DAHP_synth_1,
3099,Pfam-A,PF00794,PI3K_rbd,
3101,Pfam-A,PF00801,PKD,
3102,Pfam-A,PF00809,Pterin_bind,
3103,Pfam-A,PF00812,Ephrin,
3106,Pfam-A,PF00821,PEPCK_C,
3111,Pfam-A,PF00842,Ala_racemase_C,
3112,Pfam-A,PF00850,Hist_deacetyl,
3114,Pfam-A,PF00853,Runt,
3116,Pfam-A,PF00855,PWWP,
3124,Pfam-A,PF00868,Transglut_N,
3125,Pfam-A,PF00869,Flavi_glycoprot,
3126,Pfam-A,PF00870,P53,
3129,Pfam-A,PF00881,Nitroreductase,
3130,Pfam-A,PF00882,Zn_dep_PLPC,
3131,Pfam-A,PF00883,Peptidase_M17,
3133,Pfam-A,PF00885,DMRL_synthase,
3137,Pfam-A,PF00899,ThiF,
3138,Pfam-A,PF00903,Glyoxalase,
3139,Pfam-A,PF00905,Transpeptidase,
3140,Pfam-A,PF00906,Hepatitis_core,
3141,Pfam-A,PF00907,T-box,
3143,Pfam-A,PF00910,RNA_helicase,
3147,Pfam-A,PF00927,Transglut_C,
3150,Pfam-A,PF00931,NB-ARC,
3151,Pfam-A,PF00932,LTD,
3152,Pfam-A,PF00933,Glyco_hydro_3,
3155,Pfam-A,PF00947,Pico_P2A,
3160,Pfam-A,PF00958,GMP_synt_C,
3161,Pfam-A,PF00959,Phage_lysozyme,
3162,Pfam-A,PF00962,A_deaminase,
3163,Pfam-A,PF00965,TIMP,
3164,Pfam-A,PF00969,MHC_II_beta,
3165,Pfam-A,PF00970,FAD_binding_6,
3166,Pfam-A,PF00972,Flavi_NS5,
3167,Pfam-A,PF00975,Thioesterase,
3169,Pfam-A,PF00988,CPSase_sm_chain,
3170,Pfam-A,PF00989,PAS,
3180,Pfam-A,PF01007,IRK,
3182,Pfam-A,PF01019,G_glu_transpept,
3183,Pfam-A,PF01023,S_100,
3186,Pfam-A,PF01028,Topoisom_I,
3191,Pfam-A,PF01035,DNA_binding_1,
3193,Pfam-A,PF01048,PNP_UDP_1,
3195,Pfam-A,PF01053,Cys_Met_Meta_PP,
3196,Pfam-A,PF01055,Glyco_hydro_31,
3200,Pfam-A,PF01063,Aminotran_4,
3201,Pfam-A,PF01064,Activin_recp,
3203,Pfam-A,PF01067,Calpain_III,
3204,Pfam-A,PF01068,DNA_ligase_A_M,
3205,Pfam-A,PF01070,FMN_dh,
3206,Pfam-A,PF01071,GARS_A,
3208,Pfam-A,PF01074,Glyco_hydro_38,
3211,Pfam-A,PF01082,Cu2_monooxygen,
3212,Pfam-A,PF01085,HH_signal,
3213,Pfam-A,PF01088,Peptidase_C12,
3214,Pfam-A,PF01091,PTN_MK_C,
3217,Pfam-A,PF01096,TFIIS_C,
3220,Pfam-A,PF01112,Asparaginase_2,
3221,Pfam-A,PF01116,F_bP_aldolase,
3222,Pfam-A,PF01118,Semialdhyde_dh,
3223,Pfam-A,PF01120,Alpha_L_fucos,
3225,Pfam-A,PF01126,Heme_oxygenase,
3236,Pfam-A,PF01154,HMG_CoA_synt_N,
3237,Pfam-A,PF01156,IU_nuc_hydro,
3240,Pfam-A,PF01168,Ala_racemase_N,
3243,Pfam-A,PF01179,Cu_amine_oxid,
3244,Pfam-A,PF01180,DHO_dh,
3245,Pfam-A,PF01182,Glucosamine_iso,
3247,Pfam-A,PF01187,MIF,
3249,Pfam-A,PF01202,SKI,
3251,Pfam-A,PF01208,URO-D,
3254,Pfam-A,PF01214,CK_II_beta,
3255,Pfam-A,PF01217,Clat_adaptor_s,
3257,Pfam-A,PF01220,DHquinase_II,
3259,Pfam-A,PF01223,Endonuclease_NS,
3260,Pfam-A,PF01225,Mur_ligase,
3262,Pfam-A,PF01230,HIT,
3264,Pfam-A,PF01233,NMT,
3266,Pfam-A,PF01238,PMI_typeI,
3268,Pfam-A,PF01244,Peptidase_M19,
3271,Pfam-A,PF01261,AP_endonuc_2,
3272,Pfam-A,PF01262,AlaDh_PNT_C,
3274,Pfam-A,PF01266,DAO,
3278,Pfam-A,PF01288,HPPK,
3280,Pfam-A,PF01301,Glyco_hydro_35,
3281,Pfam-A,PF01315,Ald_Xan_dh_C,
3282,Pfam-A,PF01321,Creatinase_N,
3283,Pfam-A,PF01323,DSBA,
3284,Pfam-A,PF01324,Diphtheria_R,
3285,Pfam-A,PF01327,Pep_deformylase,
3287,Pfam-A,PF01335,DED,
3288,Pfam-A,PF01336,tRNA_anti-codon,
3289,Pfam-A,PF01340,MetJ,
3291,Pfam-A,PF01346,FKBP_N,
3295,Pfam-A,PF01363,FYVE,
3296,Pfam-A,PF01364,Peptidase_C25,
3298,Pfam-A,PF01367,5_3_exonuc,
3300,Pfam-A,PF01369,Sec7,
3302,Pfam-A,PF01373,Glyco_hydro_14,
3303,Pfam-A,PF01380,SIS,
3304,Pfam-A,PF01382,Avidin,
3308,Pfam-A,PF01392,Fz,
3309,Pfam-A,PF01393,Chromo_shadow,
3310,Pfam-A,PF01396,zf-C4_Topoisom,
3312,Pfam-A,PF01399,PCI,
3313,Pfam-A,PF01400,Astacin,
3316,Pfam-A,PF01404,Ephrin_lbd,
3318,Pfam-A,PF01409,tRNA-synt_2d,
3321,Pfam-A,PF01421,Reprolysin,
3322,Pfam-A,PF01424,R3H,
3324,Pfam-A,PF01426,BAH,
3326,Pfam-A,PF01429,MBD,
3328,Pfam-A,PF01433,Peptidase_M1,
3329,Pfam-A,PF01435,Peptidase_M48,
3332,Pfam-A,PF01442,Apolipoprotein,
3334,Pfam-A,PF01447,Peptidase_M4,
3335,Pfam-A,PF01451,LMWPc,
3338,Pfam-A,PF01467,CTP_transf_like,
3339,Pfam-A,PF01471,PG_binding_1,
3340,Pfam-A,PF01477,PLAT,
3342,Pfam-A,PF01487,DHquinase_I,
3348,Pfam-A,PF01513,NAD_kinase,
3362,Pfam-A,PF01556,DnaJ_C,
3366,Pfam-A,PF01564,Spermine_synth,
3367,Pfam-A,PF01565,FAD_binding_4,
3371,Pfam-A,PF01575,MaoC_dehydratas,
3374,Pfam-A,PF01588,tRNA_bind,
3375,Pfam-A,PF01590,GAF,
3376,Pfam-A,PF01593,Amino_oxidase,
3377,Pfam-A,PF01596,Methyltransf_3,
3379,Pfam-A,PF01607,CBM_14,
3380,Pfam-A,PF01612,DNA_pol_A_exo1,
3382,Pfam-A,PF01630,Glyco_hydro_56,
3386,Pfam-A,PF01640,Peptidase_C10,
3388,Pfam-A,PF01648,ACPS,
3390,Pfam-A,PF01652,IF4E,
3391,Pfam-A,PF01661,Macro,
3399,Pfam-A,PF01712,dNK,
3409,Pfam-A,PF01753,zf-MYND,
3412,Pfam-A,PF01759,NTR,
3413,Pfam-A,PF01761,DHQ_synthase,
3418,Pfam-A,PF01799,Fer2_2,
3421,Pfam-A,PF01817,CM_2,
3423,Pfam-A,PF01821,ANATO,
3424,Pfam-A,PF01822,WSC,
3425,Pfam-A,PF01823,MACPF,
3427,Pfam-A,PF01826,TIL,
3428,Pfam-A,PF01833,TIG,
3429,Pfam-A,PF01835,A2M_N,
3432,Pfam-A,PF01842,ACT,
3435,Pfam-A,PF01852,START,
3438,Pfam-A,PF01857,RB_B,
3439,Pfam-A,PF01858,RB_A,
3441,Pfam-A,PF01909,NTP_transf_2,
3442,Pfam-A,PF01915,Glyco_hydro_3_C,
3443,Pfam-A,PF01916,DS,
3446,Pfam-A,PF01979,Amidohydro_1,
3447,Pfam-A,PF02008,zf-CXXC,
3450,Pfam-A,PF02015,Glyco_hydro_45,
3452,Pfam-A,PF02022,Integrase_Zn,
3453,Pfam-A,PF02025,IL5,
3455,Pfam-A,PF02036,SCP2,
3456,Pfam-A,PF02037,SAP,
3458,Pfam-A,PF02055,Glyco_hydro_30,
3472,Pfam-A,PF02142,MGS,
3474,Pfam-A,PF02148,zf-UBP,
3475,Pfam-A,PF02149,KA1,
3476,Pfam-A,PF02150,RNA_POL_M_15KD,
3477,Pfam-A,PF02152,FolB,
3483,Pfam-A,PF02172,KIX,
3485,Pfam-A,PF02174,IRS,
3486,Pfam-A,PF02177,APP_N,
3492,Pfam-A,PF02196,RBD,
3493,Pfam-A,PF02197,RIIa,
3494,Pfam-A,PF02198,SAM_PNT,
3495,Pfam-A,PF02201,SWIB,
3497,Pfam-A,PF02214,BTB_2,
3498,Pfam-A,PF02217,T_Ag_DNA_bind,
3499,Pfam-A,PF02223,Thymidylate_kin,
3503,Pfam-A,PF02230,Abhydrolase_2,
3506,Pfam-A,PF02237,BPL_C,
3507,Pfam-A,PF02244,Propep_M14,
3509,Pfam-A,PF02258,SLT_beta,
3512,Pfam-A,PF02267,Rib_hydrolayse,
3513,Pfam-A,PF02268,TFIIA_gamma_N,
3517,Pfam-A,PF02275,CBAH,
3519,Pfam-A,PF02310,B12-binding,
3521,Pfam-A,PF02319,E2F_TDP,
3524,Pfam-A,PF02359,CDC48_N,
3527,Pfam-A,PF02373,JmjC,
3532,Pfam-A,PF02403,Seryl_tRNA_N,
3534,Pfam-A,PF02436,PYC_OADA,
3535,Pfam-A,PF02449,Glyco_hydro_42,
3537,Pfam-A,PF02452,PemK_toxin,
3544,Pfam-A,PF02518,HATPase_c,
3545,Pfam-A,PF02525,Flavodoxin_2,
3546,Pfam-A,PF02540,NAD_synthase,
3555,Pfam-A,PF02607,B12-binding_2,
3556,Pfam-A,PF02629,CoA_binding,
3564,Pfam-A,PF02727,Cu_amine_oxidN2,
3565,Pfam-A,PF02728,Cu_amine_oxidN3,
3566,Pfam-A,PF02729,OTCace_N,
3567,Pfam-A,PF02736,Myosin_N,
3568,Pfam-A,PF02737,3HCDH_N,
3569,Pfam-A,PF02738,Ald_Xan_dh_C2,
3570,Pfam-A,PF02739,5_3_exonuc_N,
3572,Pfam-A,PF02746,MR_MLE_N,
3573,Pfam-A,PF02751,TFIIA_gamma_C,
3574,Pfam-A,PF02752,Arrestin_C,
3575,Pfam-A,PF02753,PapD_C,
3576,Pfam-A,PF02758,PYRIN,
3577,Pfam-A,PF02763,Diphtheria_C,
3578,Pfam-A,PF02764,Diphtheria_T,
3579,Pfam-A,PF02765,POT1,
3580,Pfam-A,PF02769,AIRS_C,
3581,Pfam-A,PF02770,Acyl-CoA_dh_M,
3582,Pfam-A,PF02772,S-AdoMet_synt_M,
3583,Pfam-A,PF02773,S-AdoMet_synt_C,
3584,Pfam-A,PF02774,Semialdhyde_dhC,
3585,Pfam-A,PF02775,TPP_enzyme_C,
3586,Pfam-A,PF02776,TPP_enzyme_N,
3587,Pfam-A,PF02777,Sod_Fe_C,
3588,Pfam-A,PF02779,Transket_pyr,
3589,Pfam-A,PF02780,Transketolase_C,
3590,Pfam-A,PF02781,G6PD_C,
3591,Pfam-A,PF02782,FGGY_C,
3592,Pfam-A,PF02784,Orn_Arg_deC_N,
3593,Pfam-A,PF02785,Biotin_carb_C,
3594,Pfam-A,PF02786,CPSase_L_D2,
3595,Pfam-A,PF02787,CPSase_L_D3,
3596,Pfam-A,PF02789,Peptidase_M17_N,
3600,Pfam-A,PF02797,Chal_sti_synt_C,
3601,Pfam-A,PF02798,GST_N,
3602,Pfam-A,PF02799,NMT_C,
3603,Pfam-A,PF02800,Gp_dh_C,
3604,Pfam-A,PF02801,Ketoacyl-synt_C,
3605,Pfam-A,PF02803,Thiolase_C,
3606,Pfam-A,PF02806,Alpha-amylase_C,
3607,Pfam-A,PF02807,ATP-gua_PtransN,
3609,Pfam-A,PF02812,ELFV_dehydrog_N,
3611,Pfam-A,PF02815,MIR,
3613,Pfam-A,PF02820,MBT,
3615,Pfam-A,PF02824,TGS,
3616,Pfam-A,PF02828,L27,
3617,Pfam-A,PF02832,Flavi_glycop_C,
3619,Pfam-A,PF02836,Glyco_hydro_2_C,
3620,Pfam-A,PF02837,Glyco_hydro_2_N,
3621,Pfam-A,PF02838,Glyco_hydro_20b,
3623,Pfam-A,PF02843,GARS_C,
3624,Pfam-A,PF02844,GARS_N,
3626,Pfam-A,PF02852,Pyr_redox_dim,
3629,Pfam-A,PF02864,STAT_bind,
3630,Pfam-A,PF02865,STAT_int,
3631,Pfam-A,PF02866,Ldh_1_C,
3633,Pfam-A,PF02868,Peptidase_M4_C,
3634,Pfam-A,PF02870,Methyltransf_1N,
3635,Pfam-A,PF02872,5_nucleotid_C,
3636,Pfam-A,PF02873,MurB_C,
3637,Pfam-A,PF02874,ATP-synt_ab_N,
3638,Pfam-A,PF02875,Mur_ligase_C,
3639,Pfam-A,PF02877,PARP_reg,
3640,Pfam-A,PF02882,THF_DHG_CYH_C,
3641,Pfam-A,PF02884,Lyase_8_C,
3642,Pfam-A,PF02885,Glycos_trans_3N,
3643,Pfam-A,PF02886,LBP_BPI_CETP_C,
3644,Pfam-A,PF02887,PK_C,
3646,Pfam-A,PF02893,GRAM,
3648,Pfam-A,PF02898,NO_synthase,
3649,Pfam-A,PF02902,Peptidase_C48,
