activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type
31896,45453,6511,235480,933,=,2.0,nM,1,Ki,,,0,8.7,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki,=,2.0,nM,,,
31897,29589,6518,237264,606480,=,913.0,nM,0,Ki low,,,0,,BAO_0000179,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki low,=,913.0,nM,,,
31898,70500,6518,237264,606480,=,89.0,%,0,CPA,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,CPA,=,89.0,%,,,
31899,29428,6518,237241,607062,=,102.0,nM,0,Ki high,,,0,,BAO_0000179,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki high,=,102.0,nM,,,
31900,29585,6518,237241,607062,=,614.0,nM,0,Ki low,,,0,,BAO_0000179,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Ki low,=,614.0,nM,,,
31901,70500,6518,237241,607062,=,89.0,%,0,CPA,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,CPA,=,89.0,%,,,
31902,157315,6744,76153,69076,=,13000.0,nM,1,EC50,,,0,4.89,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,1.3e-05,M,,,
31903,69217,6744,76153,69076,=,90.0,M,0,EC10,,,0,,BAO_0000179,UO_0000062,http://www.openphacts.org/units/Molar,,,,1,EC10,=,90.0,M,,,
31904,230384,6744,76153,69076,>,1.8,,0,Selective toxicity,,,0,,BAO_0000179,,,,,,1,Selective toxicity,>,1.8,,,,
31905,183072,8059,166102,147570,=,77.0,%,0,Inhibitory response,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibitory response,=,77.0,%,,,
31906,184900,8059,166102,147570,=,0.18,,0,Relative potency,,,0,,BAO_0000179,,,,,,1,Relative potency,=,0.18,,,,
31907,183072,8059,166050,147020,=,94.0,%,0,Inhibitory response,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibitory response,=,94.0,%,,,
31908,184900,8059,166050,147020,=,0.34,,0,Relative potency,,,0,,BAO_0000179,,,,,,1,Relative potency,=,0.34,,,,
31909,54524,8175,91168,82960,=,19010.78,nM,1,Ki,,,0,4.72,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Log 1/Ki,=,4.721,,,,
31910,54525,8175,91168,82960,=,158124.8,nM,1,Ki,,Outside typical range,0,,BAO_0000192,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,Log 1/Ki,=,3.801,,,,
31911,50861,8270,321019,217341,=,50.1,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,50.1,%,,,
31912,50862,8270,321019,217341,=,81.6,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,81.6,%,,,
31913,134102,7929,263388,547533,=,11.0,%,0,T/C,,,0,,BAO_0001103,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,T/C,=,11.0,%,,,
31914,136960,7929,263388,547533,=,0.17,,0,Average lesion score,,,0,,BAO_0000179,,,,,,1,Average lesion score,=,0.17,,,,
31915,134012,7929,263388,547533,=,94.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,94.0,%,,,
31916,136965,7929,263388,547533,=,0.33,,0,Average lesion score,,,0,,BAO_0000179,,,,,,1,Average lesion score,=,0.33,,,,
31917,136964,7929,263388,547533,=,0.55,,0,Average lesion score,,,0,,BAO_0000179,,,,,,1,Average lesion score,=,0.55,,,,
31918,136963,7929,263388,547533,=,0.83,,0,Average lesion score,,,0,,BAO_0000179,,,,,,1,Average lesion score,=,0.83,,,,
31919,136962,7929,263388,547533,=,0.83,,0,Average lesion score,,,0,,BAO_0000179,,,,,,1,Average lesion score,=,0.83,,,,
31920,134022,7929,263388,547533,=,87.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,87.0,%,,,
31921,134021,7929,263388,547533,=,80.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,80.0,%,,,
31922,134020,7929,263388,547533,=,67.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,67.0,%,,,
31923,134019,7929,263388,547533,=,67.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,67.0,%,,,
31924,134017,7929,263388,547533,=,85.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,85.0,%,,,
31925,134016,7929,263388,547533,=,78.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,78.0,%,,,
31926,134015,7929,263388,547533,=,78.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,78.0,%,,,
31927,134014,7929,263388,547533,=,70.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,70.0,%,,,
31928,74791,7596,115911,102218,=,27.0,nM,1,Kb,,,0,,BAO_0000587,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,KB,=,0.027,uM,,,
31929,175180,7596,115911,102218,=,0.075,umol.kg-1,1,ED50,,,0,,BAO_0003036,,,,,,1,ED50,=,0.075,uM kg-1,,,
31930,228606,7596,115911,102218,=,116.0,,0,Ratio,,,0,,BAO_0000193,,,,,,1,Ratio,=,116.0,,,,
31931,85333,7596,115911,102218,=,25.12,nM,1,Kd,,,0,7.6,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,7.6,,,,
31932,84075,7596,115911,102218,=,125892.54,nM,1,Kd,,Outside typical range,0,,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,3.9,,,,
31933,217037,7596,115911,102218,=,398107.17,nM,1,Kd,,Outside typical range,0,,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,3.4,,,,
31934,39014,7596,115911,102218,=,50118.72,nM,1,Kd,,,0,4.3,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,4.3,,,,
31935,187698,7688,321246,272700,<,0.2,u equiv,0,Saluretic potency,,,0,,BAO_0000179,,,,,,1,Saluretic potency,<,0.2,u equiv,,,
31936,187699,7688,321246,272700,<,0.3,u equiv,0,Saluretic potency,,,0,,BAO_0000179,,,,,,1,Saluretic potency,<,0.3,u equiv,,,
31937,59371,7688,321246,272700,=,100.0,u equiv min-1,0,Saluretic potency,,,0,,BAO_0000179,,,,,,1,Saluretic potency,=,100.0,u equiv min-1,,,
31938,230695,7362,302448,257829,,,,0,Log SP,Sweet,,0,,BAO_0000179,,,,,,1,Log SP,,,,,,
31939,230696,7362,302636,256834,,,,0,Log SP,Tasteless,,0,,BAO_0000179,,,,,,1,Log SP,,,,,,
31940,230692,7362,302623,257258,=,1.61,,0,Log SP,,,0,,BAO_0000179,,,,,,1,Log SP,=,1.61,,,,
31941,230692,7362,302611,257740,=,2.24,,0,Log SP,,,0,,BAO_0000179,,,,,,1,Log SP,=,2.24,,,,
31942,230694,7362,302580,257102,,,,0,Log SP,Not sweet,,0,,BAO_0000179,,,,,,1,Log SP,,,,,,
31943,230692,7362,302525,1799334,=,1.44,,0,Log SP,,,0,,BAO_0000179,,,,,,1,Log SP,=,1.44,,,,
31944,230692,7362,302519,257774,=,1.2,,0,Log SP,,,0,,BAO_0000179,,,,,,1,Log SP,=,1.2,,,,
31945,230692,7362,302480,1544453,=,0.71,,0,Log SP,,,0,,BAO_0000179,,,,,,1,Log SP,=,0.71,,,,
31946,198853,6918,310535,263645,=,0.009,ug.mL-1,1,IC50,,,0,,BAO_0000190,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,I50,=,9.0,ng ml-1,,,
31947,198854,6918,310535,263645,>,0.2,ug.mL-1,1,IC50,,,0,,BAO_0000190,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,I50,>,200.0,ng ml-1,,,
31948,92965,6918,310535,263645,=,0.056,ug.mL-1,1,IC50,,,0,,BAO_0000190,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,I50,=,56.0,ng ml-1,,,
31949,92966,6918,310535,263645,=,0.064,ug.mL-1,1,IC50,,,0,,BAO_0000190,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,I50,=,64.0,ng ml-1,,,
31950,75460,6955,22496,21892,=,2.9,ug.mL-1,1,IC50,,,0,,BAO_0000190,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,IC50,=,2.9,ug ml-1,,,
31951,174407,6955,22496,21892,=,8.8,mg.kg-1,1,ED50,,,0,,BAO_0003036,UO_0000308,,,,,1,ED50,=,8.8,mg kg-1,,,
31952,175381,6955,22496,21892,,,mg.kg-1,0,ED50,Not Active,,0,,BAO_0003036,UO_0000308,,,,,1,ED50,,,mg kg-1,,,
31953,171186,7018,110557,99368,=,20.0,mg kg-1 day-1,0,Dose,,,0,,BAO_0000179,UO_0000311,,,,,1,Dose,=,20.0,mg kg-1 day-1,,,
31954,81863,7018,110557,99368,=,100.0,mg kg-1 day-1,0,Dose,,,0,,BAO_0000179,UO_0000311,,,,,1,Dose,=,100.0,mg kg-1 day-1,,,
31955,76690,8017,12560,11976,=,7.943,nM,1,Kd,,,0,8.1,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,8.1,,,,
31956,77802,8017,12560,11976,=,199.53,nM,1,Kd,,,0,6.7,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,6.7,,,,
31957,230413,8017,12560,11976,=,25.1,,0,Selectivity,,,0,,BAO_0002136,,,,,,1,Selectivity,=,25.1,,,,
31958,73218,8017,12560,11976,>,60.0,min,0,Duration,,,0,,BAO_0000179,UO_0000031,http://qudt.org/vocab/unit#MinuteTime,,,,1,Duration,>,60.0,min,,,
31959,183072,8059,166067,147493,=,8.0,%,0,Inhibitory response,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibitory response,=,8.0,%,,,
31960,183072,8059,166065,546102,=,2.0,%,0,Inhibitory response,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibitory response,=,2.0,%,,,
31961,183072,8059,166055,146563,=,9.0,%,0,Inhibitory response,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibitory response,=,9.0,%,,,
31962,39347,7725,342567,100708,=,37.15,nM,1,Kd,,,0,7.43,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,7.43,,,,
31963,38000,7725,342567,100708,=,16.98,nM,1,Kd,,,0,7.77,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,7.77,,,,
31964,39161,7725,342567,100708,=,29.4,nM,1,IC50,,,0,7.53,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,29.4,nM,,,
31965,37821,7725,342567,100708,=,30.8,nM,1,IC50,,,0,7.51,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,30.8,nM,,,
31966,37991,7725,342567,100708,=,1.05,,0,Ratio,,,0,,BAO_0000193,,,,,,1,Ratio,=,1.05,,,,
31967,114790,7272,55684,51923,=,100.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,100.0,%,,,
31968,114938,7272,55684,51923,=,80.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,80.0,%,,,
31969,114937,7272,55684,51923,=,20.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,20.0,%,,,
31970,114936,7272,55684,51923,=,0.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,0.0,%,,,
31971,114939,7272,55684,51923,=,0.0,%,0,Reduction,,,0,,BAO_0000082,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Reduction,=,0.0,%,,,
31972,203102,7273,56233,378124,=,7.8,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,7.8,ug ml-1,,,
31973,206743,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31974,206526,7273,56233,378124,=,250.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,250.0,ug ml-1,,,
31975,207507,7273,56233,378124,=,125.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,125.0,ug ml-1,,,
31976,67751,7273,56233,378124,=,3.9,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,3.9,ug ml-1,,,
31977,93426,7273,56233,378124,<,1.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,<,1.0,ug ml-1,,,
31978,197796,7273,56233,378124,=,2.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,2.0,ug ml-1,,,
31979,161992,7273,56233,378124,=,62.5,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,62.5,ug ml-1,,,
31980,160493,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31981,160005,7273,56233,378124,=,62.5,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,62.5,ug ml-1,,,
31982,202673,7273,56233,378124,=,7.8,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,7.8,ug ml-1,,,
31983,197786,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31984,161986,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31985,161990,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31986,161987,7273,56233,378124,=,31.2,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,31.2,ug ml-1,,,
31987,161992,7273,56233,378124,=,31.2,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,31.2,ug ml-1,,,
31988,161989,7273,56233,378124,=,62.5,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,62.5,ug ml-1,,,
31989,161988,7273,56233,378124,=,15.6,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,=,15.6,ug ml-1,,,
31990,161991,7273,56233,378124,>,125.0,ug.mL-1,1,MIC,,,0,,BAO_0002146,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,MIC,>,125.0,ug ml-1,,,
31991,123822,7481,308445,261936,=,1584.89,nM,1,IC50,,,0,5.8,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pI50,=,5.8,,,,
31992,52263,7481,308445,261936,,,,0,pI50,Not Active,,0,,BAO_0000179,,,,,,1,pI50,,,,,,
31993,96567,7481,308445,261936,,,,0,pI50,Not Active,,0,,BAO_0000179,,,,,,1,pI50,,,,,,
31994,63308,7481,308445,261936,,,,0,pI50,Not Determined,,0,,BAO_0000179,,,,,,1,pI50,,,,,,
31995,76690,8017,12542,12169,>,1000.0,nM,1,Kd,,,0,,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,<,6.0,,,,
31996,76690,8017,12545,11993,=,0.3981,nM,1,Kd,,,0,9.4,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,9.4,,,,
31997,77802,8017,12545,11993,=,0.7943,nM,1,Kd,,,0,9.1,BAO_0000034,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,pA2,=,9.1,,,,
31998,230413,8017,12545,11993,=,2.0,,0,Selectivity,,,0,,BAO_0002136,,,,,,1,Selectivity,=,2.0,,,,
31999,73218,8017,12545,11993,>,60.0,min,0,Duration,,,0,,BAO_0000179,UO_0000031,http://qudt.org/vocab/unit#MinuteTime,,,,1,Duration,>,60.0,min,,,
32000,143277,8313,4864,4738,=,6.0,,0,Growth of cells,,,0,,BAO_0000179,,,,,,1,Growth of cells,=,6.0,,,,
32001,138489,8313,4864,4738,=,6.0,,0,Growth of cells,,,0,,BAO_0000179,,,,,,1,Growth of cells,=,6.0,,,,
32002,19270,8329,347523,292816,=,1.065,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.065,,,,
32003,19133,8329,347523,292816,=,1.104,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.104,,,,
32004,19134,8329,347523,292816,=,1.206,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.206,,,,
32005,19269,8329,347523,292816,=,1.396,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.396,,,,
32006,18266,8329,347523,292816,=,248400.0,ug.mL-1,1,Solubility,,Outside typical range,0,,BAO_0002135,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,Solubility,=,24.84,g dl-1,,,
32007,18264,8329,347523,292816,=,170000.0,ug.mL-1,1,Solubility,,Outside typical range,0,,BAO_0002135,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,Solubility,=,17.0,g dl-1,,,
32008,19270,8329,347504,293747,=,1.061,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.061,,,,
32009,19133,8329,347504,293747,=,1.117,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.117,,,,
32010,19134,8329,347504,293747,=,1.234,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.234,,,,
32011,19269,8329,347504,293747,=,1.339,,0,Solubility ratio,,,0,,BAO_0000179,,,,,,1,Solubility ratio,=,1.339,,,,
32012,18266,8329,347504,293747,=,238800.0,ug.mL-1,1,Solubility,,Outside typical range,0,,BAO_0002135,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,Solubility,=,23.88,g dl-1,,,
32013,18264,8329,347504,293747,=,172900.0,ug.mL-1,1,Solubility,,Outside typical range,0,,BAO_0002135,UO_0000274,http://www.openphacts.org/units/MicrogramPerMilliliter,,,,1,Solubility,=,17.29,g dl-1,,,
32014,84487,9599,134420,120073,=,45.0,%,0,MP,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,MP,=,45.0,%,,,
32015,84488,9599,134420,120073,=,0.0,%,0,MP,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,MP,=,0.0,%,,,
32016,84012,9599,134420,120073,=,0.0,%,0,DP,,,0,,BAO_0000179,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,DP,=,0.0,%,,,
