sitecomp_id,site_id,component_id,domain_id,site_residues
575,1217,1290,4003.0,
577,1435,1342,4003.0,
578,1438,2656,3193.0,
579,558,686,2683.0,
580,1636,1393,2712.0,
581,139,624,2776.0,
585,143,3051,3388.0,
587,1226,2470,4410.0,
588,1643,1638,2818.0,
590,1648,3880,2683.0,
592,1002,5277,2744.0,
595,1657,5122,3077.0,
596,781,324,2712.0,
597,576,221,2681.0,
598,786,1084,4003.0,
600,789,1598,3700.0,
602,1663,3128,3193.0,
603,790,490,4003.0,
604,1012,219,4003.0,
605,380,241,2712.0,
608,1669,819,2732.0,
609,1253,1451,2683.0,
610,385,2320,3112.0,
611,1030,2294,2841.0,
612,1032,2553,2714.0,
613,1673,1123,2712.0,
614,1674,1724,2810.0,
615,173,2292,4003.0,
617,590,1507,2683.0,
620,813,2969,2677.0,
621,392,2244,3093.0,
623,1680,2829,4028.0,
624,395,2801,2683.0,
626,605,5159,2928.0,
627,607,5409,3280.0,
630,1271,4039,3675.0,
636,1277,1934,2683.0,
637,202,591,4003.0,
639,616,1016,3280.0,
640,620,2045,2776.0,
641,825,17,2683.0,
642,406,1784,3037.0,
644,1064,2507,2720.0,
645,623,3425,2688.0,
647,835,4159,2931.0,
650,633,5585,4221.0,
651,1296,4490,2812.0,
652,634,4622,2971.0,
653,842,4563,2973.0,
655,1305,2280,2683.0,
657,1308,2288,2776.0,
658,1514,667,2776.0,
659,224,2904,2891.0,
660,854,2134,2932.0,
661,1086,728,2702.0,
663,228,2453,2891.0,
664,229,2241,2683.0,
666,1312,1060,2712.0,
667,647,2233,2776.0,
669,231,1408,2812.0,
670,649,3039,2683.0,
671,439,2978,3512.0,
672,238,3638,2714.0,
674,867,4361,3274.0,
675,241,4323,3138.0,
677,445,4948,2805.0,
678,245,5708,2776.0,
679,871,5640,2836.0,
680,874,338,4003.0,
681,449,951,2702.0,
686,879,3783,2683.0,
688,36,3568,2773.0,
689,1106,3777,3274.0,
690,1338,3979,2973.0,
691,1115,3906,2702.0,
693,1544,1330,2702.0,
695,1545,1946,2683.0,
701,265,489,2683.0,
702,1358,1902,2683.0,
703,908,2496,2712.0,
704,1132,1238,2714.0,
705,909,2660,2682.0,
707,1136,1241,3106.0,
709,1362,646,2720.0,
710,1558,1197,2891.0,
711,1559,2197,2681.0,
713,491,1680,3376.0,
715,1367,929,2891.0,
717,279,2397,2739.0,
718,280,1262,2732.0,
720,1368,1670,3225.0,
721,1371,4961,2683.0,
723,68,4027,4420.0,
727,1152,3933,2744.0,
728,695,4774,3213.0,
729,1572,4627,2720.0,
731,1384,2154,2720.0,
732,699,1796,2693.0,
733,302,1422,2891.0,
735,79,1706,2739.0,
737,1165,1383,2712.0,
738,86,4960,4003.0,
740,1387,1984,2683.0,
741,1389,3582,2683.0,
742,92,2566,4003.0,
745,1590,3523,2932.0,
747,1392,4427,4003.0,
754,1595,4412,2748.0,
756,319,4276,2720.0,
757,1179,4585,2683.0,
758,726,4227,4377.0,
760,955,769,2683.0,
764,113,2556,2683.0,
768,970,2554,2714.0,
770,332,1411,2712.0,
771,535,1563,2776.0,
774,744,2769,2711.0,
775,981,2999,2812.0,
778,345,3846,2928.0,
780,130,4535,4401.0,
783,1426,323,2745.0,
784,1210,505,2748.0,
785,991,676,3883.0,
786,752,1361,2720.0,
788,1633,1352,2683.0,
789,135,470,2712.0,
795,763,2764,2702.0,
796,354,5788,2683.0,
797,765,1120,2714.0,
801,562,1803,3280.0,
802,563,2674,2732.0,
804,565,2896,3399.0,
805,145,2694,2682.0,
806,566,3500,4003.0,
808,999,3749,2773.0,
809,1228,380,4003.0,
813,772,4468,4003.0,
815,1652,4382,3579.0,
816,1232,4872,2720.0,
818,569,5779,3289.0,
819,572,4729,2683.0,
822,1448,187,2712.0,
824,1009,244,2773.0,
825,1011,3294,2681.0,
828,1460,2086,2702.0,
829,1254,800,2712.0,
831,1256,560,2711.0,
832,1258,1382,2683.0,
833,814,1856,2805.0,
834,1261,2412,2712.0,
836,597,2680,4003.0,
837,1684,3892,2712.0,
838,184,3644,3062.0,
839,602,3322,4332.0,
841,1042,4379,2812.0,
842,189,5090,2916.0,
844,190,5563,2836.0,
848,1687,4045,2702.0,
849,1044,5466,2683.0,
850,1688,124,2805.0,
851,1689,396,2773.0,
852,1273,155,4410.0,
853,612,1399,2891.0,
854,613,2242,3749.0,
855,1053,2464,3112.0,
856,405,633,2683.0,
857,1056,2742,2682.0,
858,1485,2459,2973.0,
865,828,3702,2683.0,
867,626,4008,2869.0,
869,415,4147,2739.0,
870,1493,4151,2926.0,
872,628,5145,2712.0,
877,1079,701,2754.0,
879,642,496,2682.0,
880,644,1504,2739.0,
881,855,2182,2711.0,
883,858,1630,3112.0,
884,859,1326,2683.0,
886,1311,107,3112.0,
887,435,1338,4003.0,
888,863,2064,2681.0,
889,1316,2149,2683.0,
890,438,2303,2683.0,
891,24,3174,2793.0,
892,441,3889,2683.0,
893,653,3861,4003.0,
894,444,4642,2688.0,
897,655,5733,2714.0,
900,28,1843,2681.0,
903,1531,2286,2682.0,
907,458,3923,2702.0,
909,253,223,3162.0,
910,667,402,2712.0,
913,1349,2787,2702.0,
916,260,3085,2859.0,
918,472,821,4003.0,
921,1356,1405,2702.0,
922,674,1651,3683.0,
923,49,971,3093.0,
927,911,3304,2683.0,
929,487,587,2812.0,
930,1363,4956,2696.0,
931,1561,1505,2714.0,
932,1138,2368,2812.0,
934,914,1323,3376.0,
935,918,714,3377.0,
936,1143,1061,2744.0,
937,63,2819,2877.0,
938,919,2756,2683.0,
944,1569,4889,3285.0,
945,696,4682,4003.0,
947,73,4038,3193.0,
954,1581,2638,3683.0,
955,933,1031,4003.0,
959,1167,2919,4003.0,
962,519,3692,3335.0,
963,522,5457,2744.0,
964,720,4906,2683.0,
965,314,5631,2836.0,
966,101,5635,2931.0,
968,727,4415,2720.0,
969,1401,4278,2728.0,
970,106,147,4003.0,
974,1408,3250,2683.0,
976,1409,2503,2973.0,
977,1613,1285,2720.0,
978,534,1044,4003.0,
981,120,1245,3112.0,
982,1618,297,4003.0,
983,739,3115,2712.0,
985,1205,3084,2739.0,
987,342,2565,4003.0,
988,984,2669,3883.0,
989,1626,3513,2683.0,
990,542,2771,4003.0,
991,347,4030,4003.0,
992,132,5101,3285.0,
993,547,5456,2744.0,
995,136,1456,3032.0,
996,352,1526,3138.0,
997,1221,1372,2683.0,
998,1433,1556,4003.0,
1000,1434,2225,4003.0,
1001,760,2189,2812.0,
1002,557,1052,3112.0,
1005,998,2530,2926.0,
1007,771,3676,4003.0,
1009,1234,3936,3390.0,
1010,153,4284,2928.0,
1013,1237,3994,2683.0,
1015,1239,245,2712.0,
1016,373,272,2757.0,
1018,1660,135,2681.0,
1019,578,382,4003.0,
1020,1662,705,2773.0,
1021,787,989,2805.0,
1022,376,2440,2971.0,
1023,1664,3995,2711.0,
1024,580,73,2859.0,
1025,1247,296,2818.0,
1026,795,2278,3545.0,
1027,584,703,3499.0,
1028,1667,1157,2683.0,
1029,798,3097,2739.0,
1030,1024,1232,2773.0,
1034,1668,1522,2739.0,
1035,1672,2936,2805.0,
1038,389,1678,2681.0,
1039,1678,998,2753.0,
1040,592,2640,2682.0,
1041,391,2356,2891.0,
1043,393,2570,2886.0,
1044,600,3445,2681.0,
1045,817,3602,2744.0,
1048,1043,5735,2702.0,
1049,1270,5739,2891.0,
1055,203,2419,2683.0,
1056,1279,2279,4003.0,
1059,1699,902,3139.0,
1061,206,4978,2683.0,
1062,1063,3477,2793.0,
1065,413,4074,2683.0,
1066,1706,4198,2683.0,
1067,1066,4149,3285.0,
1069,417,5206,2681.0,
1070,213,5678,3062.0,
1071,1290,4602,2926.0,
1072,1291,4562,2683.0,
1077,4,118,2922.0,
1079,1509,366,2702.0,
1086,14,2230,2714.0,
1088,15,1377,3376.0,
1090,1092,3201,2683.0,
1091,861,1666,2677.0,
1093,1093,2941,3080.0,
1094,235,2827,2720.0,
1095,236,1866,3223.0,
1096,1521,1648,4133.0,
1097,442,3352,4377.0,
1100,870,5030,3077.0,
1101,872,5691,3376.0,
1103,1329,51,2683.0,
1104,1330,1972,2702.0,
1105,1537,3656,2841.0,
1106,1538,3588,2720.0,
1107,661,3832,3112.0,
1108,884,3958,3193.0,
1109,1108,4480,2776.0,
1110,888,4145,2682.0,
1111,1111,5756,3098.0,
1112,1113,4219,4377.0,
1116,1116,4043,2776.0,
1117,892,4275,2859.0,
1118,1543,4241,3139.0,
1119,666,173,4003.0,
1120,40,169,2712.0,
1126,1548,770,3366.0,
1130,1551,2398,2683.0,
1131,907,1101,3112.0,
1132,267,1153,3225.0,
1133,477,2079,2805.0,
1136,484,1294,2891.0,
1138,57,1659,2932.0,
1139,273,2876,2812.0,
1142,277,2597,2682.0,
1144,1562,937,2720.0,
1146,1565,2831,2683.0,
1147,924,3774,3139.0,
1148,693,3311,2812.0,
1154,925,4675,2683.0,
1160,75,3258,2677.0,
1162,507,1895,2683.0,
1169,305,3290,2891.0,
1170,937,1943,3112.0,
1172,89,408,4003.0,
1173,1171,2996,3200.0,
1175,716,3717,3062.0,
1178,1592,4697,4377.0,
1179,1393,4799,3093.0,
1180,947,5725,3055.0,
1182,1397,5039,3112.0,
1184,721,4710,2922.0,
1185,950,4764,2926.0,
1186,951,5246,2854.0,
1187,952,4702,2836.0,
1191,729,162,3683.0,
1194,325,809,2683.0,
1195,1606,2177,2805.0,
1198,735,321,2683.0,
1202,537,999,3193.0,
1203,1621,1968,4377.0,
1204,123,433,4003.0,
1207,540,3267,4003.0,
1208,1208,3214,4003.0,
1209,749,3877,2714.0,
1211,548,4938,3376.0,
1212,549,4947,2773.0,
1214,1218,1180,2683.0,
1215,554,946,2696.0,
1216,1437,1053,2805.0,
1217,137,1593,2720.0,
1219,357,3574,3257.0,
1224,364,3803,3093.0,
1226,367,3314,2712.0,
1227,1001,4320,2683.0,
1228,779,4620,2812.0,
1230,1656,4353,3032.0,
1234,784,2125,2711.0,
1235,156,765,3138.0,
1236,158,1746,2683.0,
1238,1242,4299,2688.0,
1239,378,92,2702.0,
1240,160,4847,2712.0,
1244,382,912,2773.0,
1245,1020,3254,3193.0,
1246,163,228,2739.0,
1251,1028,549,2683.0,
1252,1255,387,2712.0,
1253,170,2033,4003.0,
1255,1676,617,2683.0,
1256,390,1913,2776.0,
1257,596,2577,2696.0,
1260,604,4214,2720.0,
1261,188,5102,2776.0,
1262,1475,4878,3255.0,
1267,1281,3371,2702.0,
1268,621,3624,2836.0,
1269,1062,3013,2825.0,
1270,622,3353,4377.0,
1271,1286,3527,2714.0,
1272,1287,3734,2932.0,
1276,1712,4666,2909.0,
1278,1068,4457,2714.0,
1280,1069,5123,3193.0,
1281,839,4921,3077.0,
1283,1293,5458,4377.0,
1284,840,5425,2855.0,
1285,1301,93,2702.0,
1286,1511,734,4221.0,
1287,638,1838,2702.0,
1289,1083,898,2683.0,
1290,1309,1058,2681.0,
1291,1517,966,2683.0,
1292,16,1711,2804.0,
1293,227,593,2720.0,
1294,18,2704,3499.0,
1295,862,1671,2720.0,
1298,865,3642,2818.0,
1300,243,5263,2744.0,
1301,447,725,3244.0,
1306,1532,2409,2683.0,
1308,454,2416,2720.0,
1309,878,1646,3077.0,
1311,248,3549,4003.0,
1312,880,2893,2683.0,
1314,882,3519,4377.0,
1318,1107,4140,3274.0,
1320,459,3931,2926.0,
1322,252,4375,2683.0,
1325,466,783,2702.0,
1329,1357,1516,3112.0,
1330,52,2451,3683.0,
1331,478,1025,4003.0,
1332,677,1506,2696.0,
1333,910,2478,2714.0,
1334,269,5000,2683.0,
1338,1563,2415,2720.0,
1340,495,2534,2732.0,
1344,927,339,2712.0,
1349,702,1725,2739.0,
1350,1586,1282,2696.0,
1351,87,2092,2805.0,
1353,938,3851,2683.0,
1354,1168,3058,2937.0,
1355,91,2955,3062.0,
1357,1390,2725,2805.0,
1358,714,2954,2683.0,
1361,520,3771,2702.0,
1362,311,4033,2682.0,
1363,1394,4213,2720.0,
1364,718,4486,2810.0,
1367,102,4235,3249.0,
1368,317,4614,2916.0,
1369,318,4676,2683.0,
1371,1597,4297,3133.0,
1372,724,5690,3376.0,
1373,322,4600,3421.0,
1375,323,405,4377.0,
1376,107,300,2712.0,
1378,956,3257,2891.0,
1379,527,1798,2805.0,
1381,1192,772,2683.0,
1383,528,1356,4420.0,
1386,328,774,2696.0,
1387,966,2187,2891.0,
1388,1611,1207,3112.0,
1392,1614,2295,3883.0,
1397,740,2747,2681.0,
1399,539,1679,2683.0,
1400,979,2143,3139.0,
1402,1416,3554,2683.0,
1403,1417,2683,4003.0,
1405,126,2689,2745.0,
1406,127,3470,4003.0,
1407,985,3264,3139.0,
1409,986,3828,2682.0,
1413,131,4319,2683.0,
1415,751,1966,4003.0,
1416,753,867,2739.0,
1420,1216,3076,3399.0,
1422,551,2592,2683.0,
1423,756,1421,2683.0,
1424,1635,1517,2984.0,
1425,360,1667,3257.0,
1428,1651,3920,3717.0,
1430,1446,5095,3717.0,
1432,778,4451,4377.0,
1433,372,4599,2773.0,
1434,1238,95,2702.0,
1438,1665,301,2681.0,
1440,582,2965,3285.0,
1441,1019,3194,2681.0,
1443,1021,1587,2712.0,
1445,801,865,2971.0,
1446,1252,526,2683.0,
1447,1025,3125,3899.0,
1448,1463,3409,3112.0,
1449,1027,1828,2712.0,
1450,804,2905,2891.0,
1452,169,1023,2683.0,
1453,1035,279,4003.0,
1455,1257,1340,2805.0,
1456,1036,1078,4003.0,
1457,591,1219,2711.0,
1459,1259,1135,2712.0,
1460,1260,1313,2834.0,
1464,1262,1989,2677.0,
1466,1681,3016,3868.0,
1467,1265,1862,3112.0,
1468,1266,3679,2702.0,
1470,185,4017,2810.0,
1471,1685,4696,4377.0,
1472,397,4751,3274.0,
1473,398,3980,2748.0,
1476,196,314,2691.0,
1477,1047,347,2702.0,
1478,198,748,2702.0,
1479,404,2296,2805.0,
1481,615,1091,3266.0,
1483,1484,1792,3037.0,
1484,1488,2540,2937.0,
1486,409,2681,4003.0,
1488,826,3018,2702.0,
1489,827,1640,2702.0,
1491,1285,3800,2683.0,
1493,412,3778,4003.0,
1494,1288,4426,2926.0,
1496,830,5571,4003.0,
1497,1710,4104,3285.0,
1498,215,4724,3213.0,
1502,837,3950,2931.0,
1503,3,5575,2683.0,
1504,635,4626,3032.0,
1505,218,4295,2891.0,
1506,1073,4778,2693.0,
1507,1075,291,2973.0,
1512,223,799,2712.0,
1513,429,2281,2753.0,
1514,857,3119,3032.0,
1516,1088,1145,4003.0,
1517,20,2600,2682.0,
1519,1313,2947,2683.0,
1520,440,3218,3335.0,
1521,1317,3782,2683.0,
1522,1522,3703,2683.0,
1525,1096,5247,2720.0,
1526,1526,2762,2748.0,
1527,875,1473,2782.0,
1528,1528,1527,2702.0,
1529,1328,2818,2683.0,
1530,877,2628,2683.0,
1531,1334,1809,2720.0,
1532,660,2988,2683.0,
1534,1539,3600,4377.0,
1535,250,3649,2928.0,
1537,1109,4433,2683.0,
1538,1114,4625,2683.0,
1541,254,333,2922.0,
1542,668,306,2805.0,
1549,45,1743,2805.0,
1550,263,1090,2886.0,
1551,901,1799,2805.0,
1554,264,1511,4003.0,
1555,1359,933,2683.0,
1556,50,2166,2681.0,
1557,51,1150,2702.0,
1558,1552,2495,3223.0,
1560,481,36,2683.0,
1562,679,1842,2711.0,
1565,59,3118,3032.0,
1566,488,1723,2712.0,
1567,684,1379,3048.0,
1568,915,904,2683.0,
1569,1141,2653,2683.0,
1572,1370,3156,3077.0,
1574,691,3761,4003.0,
1576,1570,4988,2891.0,
1578,1578,1634,2702.0,
1580,1383,856,2720.0,
1581,505,2390,2702.0,
1583,77,573,2696.0,
1588,700,4959,4003.0,
1591,304,1348,2683.0,
1592,703,677,2683.0,
1593,84,957,2812.0,
1596,939,2519,2682.0,
1597,309,2631,4377.0,
1598,713,3035,2683.0,
1600,717,3594,2691.0,
1603,948,5636,2931.0,
1604,1396,5583,3669.0,
1609,1186,3200,3032.0,
1610,1190,733,2714.0,
1614,967,257,3112.0,
1616,119,2361,3683.0,
1617,122,1924,2683.0,
1620,983,1807,3244.0,
1622,1624,2692,2683.0,
1623,1209,2986,3193.0,
1624,128,3451,4003.0,
1628,1219,1304,2683.0,
1629,553,1845,3112.0,
1630,757,2057,2805.0,
1631,350,2067,2712.0,
1637,142,2666,3517.0,
1641,1229,3586,4221.0,
1642,567,3460,2702.0,
1644,1444,4748,2683.0,
1646,776,5010,2690.0,
1648,1654,4674,2683.0,
1649,1236,4558,2859.0,
1650,1004,4277,2859.0,
1651,155,379,2805.0,
1653,1007,3032,2682.0,
1654,1013,934,4003.0,
1658,1454,289,3244.0,
1659,1248,227,4003.0,
1660,1458,3025,2891.0,
1663,162,815,2971.0,
1664,797,345,4003.0,
1665,384,1884,2720.0,
1667,168,1390,2683.0,
1670,807,2239,2711.0,
1671,171,5018,2683.0,
1672,808,40,2683.0,
1675,387,614,3032.0,
1678,811,1265,3193.0,
1679,599,3576,2748.0,
1680,1041,3657,2682.0,
1682,1472,3528,4410.0,
1687,818,5255,2815.0,
1689,1480,331,2702.0,
1691,1482,334,2712.0,
1693,1050,178,3112.0,
1694,823,1491,2711.0,
1695,201,604,2841.0,
1696,1278,1665,4003.0,
1697,1694,1607,2702.0,
1701,1284,5015,2683.0,
1705,210,5036,2683.0,
1707,1496,5683,2683.0,
1708,1497,5738,2891.0,
1709,214,4114,2773.0,
1710,630,5037,2681.0,
1711,836,4505,2714.0,
1712,1500,4673,2683.0,
1713,631,4509,3106.0,
1714,1503,4294,4377.0,
1715,1800,4102,2681.0,
1717,2000,5032,4377.0,
1718,2100,1449,2683.0,
1719,2200,321,2683.0,
1720,2200,1797,2683.0,
1721,2300,5428,3093.0,
1722,2400,3859,4003.0,
1723,2500,5504,2683.0,
1725,1716,3429,2683.0,
1726,1717,7228,3093.0,
1735,1726,5161,2834.0,
1736,1727,3837,2683.0,
1737,1728,3964,2683.0,
1742,1733,2868,2702.0,
1743,1734,2150,2683.0,
1744,1735,3755,3517.0,
1745,1736,7302,3517.0,
1748,1739,2763,2702.0,
1749,1740,2765,2702.0,
1750,1741,4153,2846.0,
1752,1743,835,2683.0,
1753,1744,847,2683.0,
1754,1745,847,2683.0,
1755,1746,5018,2683.0,
1756,1747,2234,2702.0,
1762,1753,4305,3032.0,
1771,1762,4498,3032.0,
1772,1763,5985,2720.0,
1773,1764,2480,2720.0,
1775,1766,4943,2681.0,
1776,1767,1252,2681.0,
1777,1768,1812,2681.0,
1778,1769,3060,2681.0,
1779,1770,680,2681.0,
1780,1771,7300,3274.0,
1786,1777,3896,2683.0,
1787,1778,7052,2683.0,
1791,1782,664,2720.0,
1792,1783,3130,2681.0,
1793,1784,3544,2681.0,
1794,1785,1257,2681.0,
1795,1786,3282,2681.0,
1796,1787,1558,2681.0,
1797,1788,2176,2681.0,
1799,1790,3162,2640.0,
1802,1793,1707,2683.0,
1803,1794,4169,2696.0,
1806,1797,3382,2683.0,
1807,1798,3556,2683.0,
1808,1799,2439,2683.0,
1819,1811,1737,3055.0,
1821,1813,1242,3162.0,
1823,1815,2466,2683.0,
1824,1816,2147,2683.0,
1825,1817,6873,2683.0,
1826,1818,6985,2702.0,
1827,1819,435,2757.0,
1837,1829,1199,3162.0,
1839,1831,4116,2677.0,
1842,1834,1269,2683.0,
1843,1835,2992,2683.0,
1848,1840,6857,2702.0,
1850,1842,5881,3077.0,
1851,1843,4015,2744.0,
1852,1844,4099,2744.0,
1853,1845,4407,3225.0,
1855,1847,780,3683.0,
1861,1853,2741,2805.0,
