activity_id,bei,sei,le,lle
32437,18.94,12.53,0.36,5.54
32439,17.91,14.16,0.34,3.77
32440,20.33,16.07,0.39,4.85
32441,20.42,16.14,0.39,4.89
32443,31.18,20.48,0.6,5.8
32444,22.42,14.72,0.44,2.14
32446,15.04,6.95,0.28,3.84
32453,28.9,7.71,0.59,5.8
32454,19.19,5.21,0.36,2.47
32455,19.1,5.18,0.36,2.44
32456,11.94,4.66,0.23,4.87
32462,17.74,8.09,0.33,4.37
32463,19.4,8.85,0.36,5.12
32468,16.57,4.57,0.3,1.99
32469,19.98,5.51,0.36,2.9
32472,22.03,5.87,0.41,3.28
32473,21.51,5.73,0.4,3.16
32481,12.78,4.83,0.24,3.67
32482,16.68,6.31,0.31,5.4
32484,13.31,5.47,0.26,3.41
32485,15.42,6.34,0.3,4.53
32487,20.71,19.59,0.39,5.17
32488,14.86,14.06,0.28,2.77
32504,25.0,35.12,0.46,5.45
32505,19.12,26.86,0.35,3.39
32512,22.11,31.07,0.41,4.44
32513,21.06,29.59,0.39,4.07
32518,21.79,,,
32519,16.93,55.33,0.31,0.92
32520,15.02,49.07,0.28,0.14
32522,19.07,6.88,0.36,4.49
32523,17.48,6.3,0.33,3.85
32524,21.68,14.04,0.39,1.92
32525,24.16,8.6,0.46,4.84
32526,22.72,9.16,0.43,4.17
32527,17.85,6.39,0.35,7.54
32528,16.5,6.08,0.33,6.4
32532,29.92,20.06,0.72,6.71
32533,32.15,21.55,0.77,7.38
32534,27.09,18.16,0.65,5.87
32538,14.0,3.49,0.27,3.29
32543,23.27,21.19,0.43,4.45
32544,13.95,12.7,0.26,0.92
32561,15.26,6.09,0.28,2.95
32563,14.54,2.7,0.35,5.81
32564,21.23,6.71,0.43,7.14
32566,23.42,7.4,0.48,7.95
32567,17.28,5.46,0.35,5.67
32570,12.85,6.13,0.25,1.64
32571,11.1,5.3,0.22,0.67
32572,10.27,4.9,0.2,0.21
32573,11.74,4.7,0.22,3.56
32574,10.38,4.15,0.2,2.78
32575,8.01,3.2,0.15,1.43
32576,10.96,4.51,0.21,2.98
32577,11.58,4.76,0.22,3.35
32578,7.98,3.28,0.15,1.2
32579,15.24,5.46,0.29,3.26
32580,12.48,4.47,0.24,2.19
32581,10.78,3.86,0.2,1.53
32582,11.2,3.6,0.22,3.45
32583,9.7,3.12,0.19,2.71
32585,10.63,3.01,0.21,2.85
32601,15.11,9.84,0.27,0.28
32612,15.49,5.68,0.35,4.7
32613,10.27,3.77,0.23,2.26
32615,18.77,15.24,0.34,2.74
32616,6.67,,,
32618,23.52,11.24,0.46,4.03
32619,22.67,10.83,0.44,3.75
32621,12.73,4.97,0.25,4.31
32622,12.84,5.02,0.25,4.36
32649,19.13,11.45,0.35,3.95
32665,22.81,41.8,0.43,1.84
32666,15.85,29.04,0.3,-0.88
32667,18.17,33.28,0.35,0.03
32669,17.12,31.36,0.33,-0.38
32672,17.97,32.93,0.34,-0.05
32675,14.69,26.91,0.28,-1.33
32678,14.01,25.67,0.27,-1.59
32680,13.62,6.4,0.25,0.26
32712,27.06,21.32,0.5,5.15
32713,24.65,12.71,0.45,4.84
32722,27.85,14.39,0.66,4.34
32728,32.53,5.49,0.63,6.5
32739,27.05,14.28,0.51,4.69
32745,9.46,3.35,0.19,2.48
32761,21.02,11.27,0.38,3.05
32763,17.02,5.94,0.34,3.17
32780,18.67,3.62,0.34,2.29
32781,21.47,4.16,0.39,2.89
32822,23.06,5.33,0.44,8.71
32823,14.88,3.44,0.28,5.84
32829,21.03,7.99,0.44,5.63
32888,28.95,18.62,0.59,4.61
32889,27.24,17.51,0.56,4.23
32896,32.69,23.48,0.62,4.71
32897,29.57,21.24,0.56,4.1
32901,10.1,6.22,0.19,2.24
32902,8.77,5.41,0.17,1.26
32905,11.3,6.38,0.21,1.72
32906,9.24,5.22,0.18,0.14
32922,22.55,20.6,0.44,4.26
32933,16.25,11.07,0.3,1.39
32934,16.66,7.9,0.31,2.79
32939,15.16,10.29,0.28,2.04
32950,38.29,16.79,0.73,4.11
32952,31.32,13.73,0.6,2.94
32955,29.33,14.39,0.54,3.53
32957,26.99,13.24,0.5,3.09
32960,19.28,8.64,0.35,4.29
32961,19.76,8.86,0.36,4.45
32962,19.5,8.74,0.35,4.37
32963,22.86,10.25,0.41,5.53
32964,18.65,8.36,0.34,4.07
32983,22.14,20.49,0.41,3.55
32993,14.31,5.76,0.27,6.51
33012,16.57,4.94,0.31,3.46
33013,13.84,4.13,0.26,2.5
33023,18.44,10.6,0.36,1.93
33027,16.67,23.59,0.32,-1.14
33028,15.38,21.76,0.29,-1.53
33029,13.15,4.53,0.24,3.75
33033,24.13,11.24,0.43,2.25
33034,10.68,4.67,0.19,-0.02
33036,12.65,6.47,0.24,2.99
33049,13.22,6.7,0.31,1.64
33054,26.1,7.71,0.48,3.79
33055,23.59,6.97,0.44,3.21
33056,22.17,7.71,0.48,3.09
33057,23.82,8.28,0.52,3.54
33196,19.13,9.0,0.35,4.7
33241,16.1,5.62,0.32,2.17
33242,16.47,9.48,0.31,2.9
33270,11.51,5.87,0.21,1.04
33271,8.0,3.86,0.15,-0.54
33274,39.64,6.77,0.8,11.27
33275,27.67,4.72,0.56,8.96
33278,32.36,30.24,0.61,4.48
33279,27.72,25.9,0.52,3.46
33282,20.25,17.6,0.37,3.83
33283,19.82,17.22,0.36,3.67
33284,20.1,17.46,0.37,3.77
33285,15.81,13.74,0.29,2.23
33292,11.83,3.96,0.23,5.22
33293,9.04,3.03,0.18,3.97
33296,34.62,13.21,0.7,7.79
33306,26.03,29.29,0.49,2.84
33307,18.22,20.5,0.34,0.7
33316,18.75,17.09,0.35,3.12
33317,25.18,22.94,0.46,5.12
33321,22.32,26.82,0.41,3.83
33322,29.47,35.41,0.55,5.96
33329,21.2,9.74,0.41,4.26
33336,19.17,8.8,0.37,3.4
33337,20.49,9.41,0.4,3.96
33339,33.12,58.73,0.6,4.22
33343,27.23,34.09,0.55,3.8
33344,19.57,24.5,0.39,1.55
33346,23.93,18.52,0.45,4.9
33351,16.32,8.76,0.32,3.33
33353,12.32,5.24,0.23,3.73
33357,13.81,9.04,0.26,1.14
33358,13.22,6.16,0.26,6.0
33360,12.43,4.25,0.24,5.48
33362,30.88,21.99,0.58,4.39
33363,20.63,10.86,0.38,5.39
33364,22.16,11.66,0.41,5.99
33365,23.18,12.2,0.43,6.39
33367,16.43,8.07,0.32,2.06
33368,21.0,10.31,0.41,3.68
33371,14.16,4.58,0.27,5.7
33372,15.94,5.16,0.3,6.49
33373,18.72,6.06,0.35,7.72
33375,17.67,12.97,0.34,2.48
33376,16.16,16.21,0.31,-0.45
33377,17.75,17.8,0.34,0.29
33378,15.85,15.89,0.31,-0.6
33379,11.1,11.13,0.21,-2.81
33380,11.3,11.33,0.22,-2.72
33392,6.53,2.44,0.12,1.69
33393,7.98,2.32,0.15,4.7
33401,14.92,15.48,0.3,1.78
33406,9.77,4.57,0.19,2.04
33408,9.25,4.33,0.18,1.77
33410,22.06,12.39,0.45,3.24
33411,15.95,12.31,0.33,1.43
33412,21.07,10.06,0.41,3.89
33423,18.58,4.26,0.43,3.5
33446,19.47,11.62,0.37,4.08
33447,16.23,9.68,0.31,2.68
33448,19.01,11.34,0.36,3.88
33451,12.82,5.71,0.24,2.19
33452,9.57,4.26,0.18,0.39
33453,12.27,5.47,0.23,1.89
33462,18.53,12.18,0.35,2.91
33463,13.56,8.91,0.26,0.71
33464,17.18,11.28,0.32,2.31
33471,13.85,3.28,0.26,8.33
33473,19.89,9.62,0.36,3.14
33474,19.78,9.57,0.36,3.11
33475,17.62,8.52,0.32,2.48
33478,19.4,9.38,0.35,3.0
33479,24.94,14.63,0.45,2.5
33486,13.65,9.12,0.26,2.29
33493,22.46,27.19,0.43,2.67
33500,8.28,2.19,0.16,10.59
33501,7.72,2.04,0.15,10.04
33502,7.59,,,
33503,8.91,,,
33505,6.85,,,
33507,24.57,13.03,0.53,6.44
33510,17.03,8.11,0.31,2.88
33513,17.64,8.06,0.34,3.19
33532,32.33,48.94,0.59,5.55
33533,30.59,46.3,0.56,5.01
33534,29.79,39.81,0.55,4.55
33535,25.36,33.89,0.47,3.34
33542,9.76,4.91,0.19,2.21
33546,9.66,5.08,0.19,1.99
33547,19.88,16.13,0.38,3.7
33548,18.35,14.89,0.35,3.0
33549,20.01,16.23,0.38,3.75
33551,7.11,2.36,0.14,5.7
33559,12.2,6.57,0.23,1.73
33560,14.24,7.89,0.27,2.46
33576,22.19,10.61,0.49,5.62
33577,12.08,4.8,0.23,2.2
33578,20.07,6.58,0.37,6.78
33587,29.47,23.05,0.53,2.6
33588,20.04,25.13,0.35,1.35
33591,12.55,9.31,0.25,1.87
33593,19.28,11.04,0.37,3.97
33595,13.91,8.75,0.29,3.09
33597,10.12,5.18,0.21,2.34
33601,15.39,7.45,0.28,2.92
33617,14.03,6.22,0.27,0.38
33618,13.88,6.15,0.27,0.33
33623,18.18,8.96,0.36,2.22
33624,22.09,10.88,0.43,3.63
33627,19.96,63.95,0.36,1.83
33628,17.5,56.07,0.32,0.85
33630,18.33,6.0,0.34,4.75
33631,20.02,6.56,0.38,5.43
33632,21.5,7.04,0.4,6.02
33649,18.75,13.79,0.38,1.53
33650,18.41,23.02,0.43,0.87
33651,25.46,9.25,0.52,3.65
33652,29.43,17.41,0.61,4.55
33654,12.85,5.17,0.24,3.29
33655,16.44,6.61,0.31,4.97
33656,18.53,7.45,0.35,5.95
33664,23.51,35.69,0.43,5.12
33665,15.14,22.98,0.28,1.95
33674,20.84,32.8,0.39,3.7
33675,15.57,24.5,0.29,1.63
33684,21.77,34.08,0.4,4.11
33685,16.44,25.74,0.3,2.03
33698,20.81,8.64,0.4,4.25
33699,26.35,44.36,0.48,5.34
33700,23.02,38.76,0.42,4.19
33701,25.57,43.05,0.47,5.08
33702,24.74,68.83,0.45,4.05
33703,23.03,64.06,0.42,3.51
33704,26.46,73.6,0.48,4.6
33705,7.11,1.79,0.14,6.29
33729,13.92,21.32,0.26,0.05
33730,13.66,20.91,0.25,-0.07
33732,20.0,6.49,0.38,4.84
33735,19.91,54.84,0.37,2.14
33736,17.23,6.17,0.34,6.53
33737,17.87,5.82,0.35,7.44
33738,15.41,6.57,0.3,5.26
33739,17.32,6.06,0.34,6.98
33755,23.81,21.68,0.44,4.65
33756,14.42,13.13,0.27,1.1
33764,29.38,55.71,0.52,2.7
33765,22.05,41.81,0.39,0.5
33768,18.49,4.39,0.38,8.32
33769,21.1,5.01,0.44,9.43
33770,19.28,4.58,0.4,8.65
33774,17.53,4.52,0.33,2.74
33775,15.47,5.19,0.29,1.7
33776,19.98,6.7,0.37,3.49
33777,19.97,6.55,0.4,6.57
33778,23.75,7.79,0.48,8.02
33779,20.87,6.85,0.42,6.92
33780,17.07,5.6,0.35,5.45
33783,16.91,5.82,0.33,5.28
33785,18.51,6.36,0.37,5.99
33786,13.61,4.68,0.27,3.8
33789,17.02,5.63,0.35,5.94
33790,21.67,7.17,0.44,7.75
33791,19.87,6.57,0.4,7.05
33792,13.63,4.51,0.28,4.63
33793,22.0,7.27,0.45,7.87
33795,13.46,5.95,0.26,3.32
33796,11.06,4.89,0.21,1.99
33797,7.39,3.26,0.14,-0.05
33798,13.05,4.78,0.25,4.39
33799,12.26,4.49,0.24,3.98
33800,9.08,3.33,0.18,2.31
33801,12.95,4.29,0.25,4.1
33802,12.19,4.04,0.24,3.72
33803,8.69,2.88,0.17,1.94
33812,28.87,10.63,0.58,10.52
33813,19.07,7.02,0.38,7.07
33816,27.54,10.14,0.55,10.06
33817,18.68,6.88,0.37,6.94
33820,29.23,10.76,0.59,10.65
33821,19.08,7.03,0.38,7.08
33824,28.5,10.49,0.57,10.4
33825,18.94,6.97,0.38,7.03
33850,20.01,9.35,0.42,2.26
33851,20.06,9.38,0.42,2.27
33852,19.92,9.31,0.41,2.23
33853,18.11,6.78,0.35,2.84
33854,18.01,6.74,0.35,2.81
33859,20.18,11.71,0.39,4.18
33860,19.22,11.15,0.37,3.82
33865,22.65,16.21,0.45,3.12
33866,22.44,16.05,0.45,3.04
33867,22.44,16.05,0.45,3.04
33868,13.9,5.71,0.27,2.68
33869,13.8,5.66,0.26,2.63
33871,17.18,16.2,0.35,1.98
33872,15.28,14.41,0.31,1.08
33876,14.43,13.54,0.28,0.57
33877,13.76,12.91,0.27,0.25
33891,13.78,5.88,0.27,4.12
33892,16.65,7.1,0.33,5.41
33893,19.39,8.27,0.38,6.64
33922,13.01,7.04,0.26,4.33
33923,15.44,9.4,0.29,4.72
33927,7.67,,,
33928,6.38,,,
33929,7.31,,,
33930,8.48,,,
33931,7.28,,,
33933,16.62,8.96,0.31,3.23
33937,36.78,6.94,0.72,6.73
33938,30.01,5.67,0.59,5.46
33939,30.95,5.84,0.61,5.64
33940,48.77,15.31,0.9,4.73
33941,43.93,13.79,0.81,4.14
33942,46.31,14.54,0.86,4.43
33945,22.49,26.63,0.47,2.65
33946,21.77,13.01,0.4,4.7
33953,15.2,21.72,0.37,1.09
33958,21.41,11.97,0.42,4.79
33959,39.64,5.97,0.78,8.35
33960,25.14,3.79,0.49,5.86
33964,23.24,3.5,0.46,5.53
33967,19.08,8.96,0.35,3.16
33968,19.33,9.08,0.36,3.24
33969,19.61,9.21,0.36,3.32
33972,15.45,7.26,0.29,2.02
34022,31.14,40.04,0.61,5.43
34036,15.64,6.19,0.3,3.2
34041,29.22,5.87,0.52,5.34
34049,23.93,5.06,0.43,2.93
34050,26.63,5.63,0.48,3.43
34062,21.58,13.01,0.4,4.7
34081,25.52,5.69,0.49,10.07
34082,15.47,3.45,0.3,6.8
34084,18.7,6.07,0.35,6.42
34085,19.7,6.39,0.37,6.83
34091,17.75,26.47,0.32,2.98
34092,16.53,24.66,0.3,2.5
34093,21.37,31.87,0.39,4.43
34095,18.78,3.86,0.39,4.93
34126,11.13,6.19,0.21,2.76
34127,10.2,5.68,0.2,2.05
34128,10.95,6.21,0.21,3.52
34129,10.87,6.16,0.21,3.45
34152,16.48,6.29,0.41,2.74
34164,23.42,8.4,0.44,7.2
34165,22.26,7.98,0.42,6.75
34166,21.32,17.41,0.39,5.54
34170,22.93,12.15,0.43,4.85
34171,21.24,11.26,0.4,4.27
34172,22.25,11.79,0.42,4.62
34173,25.67,13.6,0.48,5.78
34174,22.38,11.86,0.42,4.66
34176,19.11,9.26,0.35,3.82
34177,18.93,9.18,0.34,3.75
34178,18.78,9.1,0.34,3.69
34179,22.28,10.8,0.41,5.0
34180,17.35,8.41,0.32,3.16
34194,18.35,11.61,0.34,3.47
34201,14.17,3.56,0.26,2.27
34202,14.17,3.56,0.26,2.27
34203,22.37,5.63,0.41,5.12
34204,14.97,7.78,0.28,3.83
34205,23.19,18.48,0.45,3.36
34209,15.36,9.78,0.3,1.68
34211,17.15,9.66,0.33,5.25
34224,25.79,10.55,0.51,8.2
34225,22.56,9.23,0.45,6.87
34226,25.06,10.25,0.5,7.9
34227,19.27,7.88,0.38,5.53
34228,19.99,8.18,0.4,5.83
34229,19.83,8.11,0.4,5.76
34242,11.71,3.58,0.22,2.33
34243,17.61,5.38,0.33,4.45
34244,14.51,4.44,0.27,3.33
34260,19.84,10.76,0.38,1.4
34263,16.07,11.36,0.31,1.26
34268,13.42,4.51,0.25,3.87
34272,15.09,5.26,0.28,4.77
34276,28.88,20.42,0.56,3.46
34283,14.31,6.5,0.26,-0.31
34284,14.31,6.5,0.26,-0.31
34285,11.8,5.46,0.22,0.19
34287,11.85,5.66,0.22,-0.1
34289,11.14,5.37,0.21,-0.17
34291,9.7,4.53,0.18,-0.48
34293,11.35,6.42,0.22,2.4
34295,14.22,8.96,0.27,3.23
34297,11.77,7.26,0.23,2.89
34300,12.3,15.8,0.24,-3.88
34307,14.2,8.45,0.28,1.15
34313,14.39,7.93,0.29,2.12
34330,16.6,4.17,0.31,2.68
34332,19.36,5.92,0.39,3.14
34333,20.41,6.24,0.41,3.39
34352,13.14,3.65,0.25,7.46
34353,13.6,3.78,0.26,7.72
34354,13.95,3.88,0.26,7.91
34355,14.57,4.05,0.28,8.25
34429,22.88,13.78,0.42,4.23
34430,23.45,14.13,0.43,4.42
34435,7.2,2.45,0.14,3.4
34436,7.75,2.64,0.15,3.85
34449,22.64,17.88,0.41,3.12
34460,7.26,,,
34462,5.83,,,
34464,7.37,,,
34467,9.8,3.89,0.18,7.73
34469,9.8,3.89,0.18,7.73
34471,9.2,3.65,0.17,7.2
34497,14.52,9.21,0.27,1.76
34499,16.96,8.53,0.31,3.34
34548,13.65,5.81,0.25,2.56
34550,14.66,8.12,0.27,0.81
34551,10.91,5.8,0.2,-0.43
34553,9.07,3.84,0.17,0.02
34555,26.55,26.05,0.48,3.0
34560,18.26,5.5,0.36,3.55
34563,29.11,33.71,0.53,3.43
34564,17.7,20.5,0.33,0.21
34566,11.79,4.27,0.23,1.81
34567,17.29,6.26,0.33,4.28
34568,11.59,2.8,0.23,8.91
34570,10.38,2.51,0.2,8.23
34571,12.14,2.93,0.24,9.22
34572,13.91,3.42,0.27,9.91
34574,10.9,2.68,0.21,8.14
34575,12.82,3.16,0.25,9.28
34582,12.25,5.56,0.23,0.26
34584,30.19,211.83,0.55,3.67
34588,29.74,36.97,0.59,4.56
34589,19.86,24.69,0.4,1.68
34591,25.54,18.39,0.49,4.73
34592,23.29,17.57,0.44,4.01
34604,15.76,10.55,0.31,2.91
34609,11.14,5.51,0.21,2.29
34614,9.8,4.94,0.18,-0.58
34616,9.51,3.32,0.18,1.54
34617,8.65,3.15,0.17,0.45
34621,13.5,4.59,0.28,6.1
34626,23.89,17.6,0.44,3.88
34629,15.5,12.37,0.29,3.55
34630,15.79,12.61,0.29,3.67
34631,18.91,15.1,0.35,4.94
34633,15.94,5.33,0.31,2.78
34634,18.47,6.17,0.36,3.76
34635,14.68,4.91,0.29,2.3
34636,9.41,2.52,0.22,0.94
34637,17.57,4.32,0.38,8.12
34638,13.47,3.31,0.29,6.55
34640,15.84,3.38,0.32,6.28
34641,14.29,3.05,0.29,5.77
34643,18.75,15.52,0.38,1.83
34644,18.75,15.51,0.38,1.83
34649,16.73,25.6,0.32,3.11
34650,19.63,30.03,0.38,4.3
34651,14.64,22.4,0.28,2.25
34652,15.79,25.0,0.3,2.56
34653,18.21,28.82,0.35,3.58
34654,13.59,21.5,0.26,1.62
34655,14.16,7.28,0.27,1.8
34656,13.98,7.19,0.27,1.7
34657,13.37,5.91,0.26,2.16
34658,13.96,6.17,0.27,2.49
34659,13.61,8.84,0.25,1.22
34668,12.51,6.09,0.24,3.71
34669,17.24,6.91,0.34,5.78
34670,8.67,3.47,0.17,1.13
34671,11.89,4.76,0.23,2.87
34672,21.99,10.74,0.43,3.51
34673,23.02,9.8,0.42,4.41
34712,17.19,11.41,0.31,2.31
34713,14.61,9.92,0.26,0.94
34714,9.91,2.31,0.19,4.77
34715,9.78,2.28,0.19,4.71
34716,8.85,2.07,0.17,4.29
34723,15.21,20.32,0.29,0.13
34724,15.59,20.84,0.3,0.28
34725,14.67,19.6,0.28,-0.09
34726,13.56,18.11,0.26,-0.52
34728,21.02,25.92,0.41,2.11
34729,16.06,19.81,0.32,0.32
34730,15.71,19.38,0.31,0.19
34731,14.02,17.29,0.28,-0.42
34733,21.76,11.91,0.39,2.58
34734,20.17,11.04,0.36,2.14
34735,18.26,10.0,0.32,1.62
34738,20.89,11.44,0.37,2.34
34742,21.28,7.94,0.4,5.19
34746,15.19,13.74,0.34,1.23
34749,11.75,6.79,0.22,0.88
34751,11.99,7.68,0.22,1.63
34752,14.58,7.88,0.27,4.03
34753,18.06,8.56,0.35,4.0
34754,16.21,7.69,0.31,3.04
34756,18.85,43.49,0.35,2.2
34757,19.1,44.08,0.35,2.29
34758,16.85,38.89,0.31,1.48
34783,20.63,16.88,0.39,4.37
34784,17.81,14.58,0.34,3.07
34785,15.44,12.63,0.29,1.97
34786,17.09,13.98,0.33,2.74
34787,17.74,14.58,0.34,3.3
34788,16.48,13.54,0.32,2.72
34792,14.2,7.45,0.26,1.13
34795,23.66,9.3,0.47,5.86
34797,19.31,10.52,0.36,4.36
34798,16.31,8.88,0.3,3.1
34808,25.08,20.24,0.44,2.49
34809,20.95,7.77,0.38,2.95
34810,14.14,13.23,0.28,1.96
34814,17.46,10.95,0.32,2.21
34815,17.17,11.94,0.32,1.98
34827,10.12,3.5,0.19,5.29
34847,21.58,11.13,0.42,2.58
34848,19.5,,,
34849,16.69,,,
34850,17.34,,,
34851,16.01,,,
34858,17.75,5.6,0.33,4.14
34859,18.29,5.77,0.34,4.33
34860,20.94,6.6,0.39,5.27
34875,17.89,19.4,0.39,0.77
34876,21.69,27.12,0.51,1.72
34879,12.2,4.31,0.23,4.39
34880,17.04,6.02,0.32,6.72
34881,15.53,5.49,0.29,5.99
34882,12.82,5.0,0.24,3.48
34883,17.17,6.7,0.32,5.46
34884,19.1,7.45,0.36,6.34
34885,18.49,6.68,0.35,5.47
34886,17.24,6.22,0.33,4.94
34887,14.41,6.19,0.29,5.23
34911,47.32,8.6,0.91,7.78
34912,46.19,8.4,0.88,7.59
34919,26.62,45.11,0.48,4.57
34920,17.51,29.66,0.32,1.54
34929,6.97,1.78,0.13,5.74
34931,20.28,62.7,0.37,1.73
34932,15.9,49.15,0.29,0.04
34934,17.47,7.4,0.32,4.41
34935,18.89,8.0,0.35,5.08
34936,14.07,5.96,0.26,2.34
34946,11.74,3.3,0.22,2.96
34947,12.04,3.39,0.23,3.11
34948,19.88,4.88,0.38,3.74
34949,20.67,5.08,0.39,3.97
34953,12.78,3.12,0.24,5.57
34954,12.27,3.0,0.23,5.31
34962,15.99,4.25,0.3,6.87
34963,13.91,3.7,0.26,5.87
34974,25.41,12.4,0.51,8.4
34975,24.09,11.76,0.48,7.88
34976,23.57,11.5,0.47,7.68
34977,23.86,11.64,0.47,7.79
34978,25.69,12.53,0.51,8.51
34979,20.41,9.27,0.42,6.35
34980,26.18,49.64,0.47,2.06
34982,20.58,8.16,0.43,4.63
34983,21.99,8.72,0.46,5.11
34984,21.24,8.43,0.44,4.85
34985,21.62,6.21,0.46,6.04
34986,22.99,6.61,0.49,6.48
34987,22.28,6.4,0.47,6.25
34991,20.66,5.96,0.43,5.2
34992,22.44,6.47,0.47,5.83
34993,21.45,6.19,0.45,5.48
34997,20.53,4.66,0.44,7.07
34998,22.14,5.03,0.48,7.65
34999,21.36,4.85,0.46,7.37
35000,17.51,5.32,0.36,5.12
35001,19.02,5.78,0.39,5.75
35002,18.21,5.54,0.37,5.41
35009,7.4,,,
35013,21.43,6.52,0.44,7.3
35014,26.65,8.1,0.54,9.16
35015,21.81,6.63,0.44,7.44
